"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2295,0.2225,0.1237,0.1857,0.3285
"5am",0.2301,0.2196,0.1241,0.1858,0.3293
"6am",0.222,0.2149,0.1174,0.1858,0.3247
"7am",0.198,0.2109,0.1102,0.1767,0.3093
"8am",0.1957,0.2131,0.1094,0.1755,0.3059
"9am",0.2033,0.212,0.113,0.1656,0.3019
"10am",0.1994,0.2197,0.1169,0.1785,0.3133
"11am",0.1967,0.2163,0.1079,0.1776,0.3047
"12am",0.1963,0.2219,0.1087,0.1812,0.2902
"1pm",0.1932,0.2164,0.1058,0.1666,0.3009
"2pm",0.2005,0.2153,0.1175,0.1761,0.3029
"3pm",0.206,0.2156,0.1225,0.1698,0.3183
"4pm",0.1985,0.2239,0.1325,0.1749,0.3228
"5pm",0.2171,0.2228,0.1276,0.1844,0.3256
"6pm",0.2291,0.2216,0.1218,0.1861,0.3265
"7pm",0.2239,0.2285,0.1223,0.1902,0.3302
"8pm",0.2329,0.2273,0.1259,0.1897,0.3321
"9pm",0.2262,0.2222,0.1207,0.1829,0.3287
"10pm",0.2276,0.2245,0.1234,0.1865,0.3246
"11pm",0.2259,0.2256,0.1196,0.1872,0.3243
"12pm",0.2278,0.2265,0.1222,0.1909,0.3254
"1am",0.2292,0.2278,0.1233,0.1894,0.3271
"2am",0.2281,0.2284,0.1232,0.1898,0.3275
"3am",0.2269,0.2287,0.1216,0.1899,0.3287
