"hour","mode1","mode2","mode3"
"4am",0.372,0.3135,0.2474
"5am",0.3743,0.3144,0.2454
"6am",0.4104,0.313,0.2376
"7am",0.401,0.2941,0.1986
"8am",0.4085,0.2777,0.1735
"9am",0.4113,0.2753,0.17
"10am",0.4291,0.2904,0.1855
"11am",0.4368,0.288,0.1736
"12am",0.4259,0.3096,0.2105
"1pm",0.4149,0.3082,0.2099
"2pm",0.4153,0.3086,0.2132
"3pm",0.4341,0.3157,0.2158
"4pm",0.4265,0.3172,0.2202
"5pm",0.3953,0.3258,0.2397
"6pm",0.3739,0.3236,0.2431
"7pm",0.376,0.3225,0.2467
"8pm",0.3728,0.3164,0.2397
"9pm",0.3696,0.3136,0.2393
"10pm",0.3686,0.3147,0.2431
"11pm",0.3702,0.3167,0.2458
"12pm",0.3695,0.3172,0.2482
"1am",0.3696,0.3163,0.2488
"2am",0.3689,0.3162,0.2488
"3am",0.3689,0.3165,0.2501
