"hour","age1","age2","age3","age4"
"4am",0.1719,0.1662,0.1132,0.1249
"5am",0.1719,0.173,0.1144,0.1295
"6am",0.1729,0.1728,0.1048,0.1391
"7am",0.2381,0.1567,0.0996,0.1737
"8am",0.2438,0.1535,0.0884,0.1963
"9am",0.2438,0.1396,0.085,0.2001
"10am",0.2483,0.1558,0.088,0.1979
"11am",0.2468,0.1569,0.0909,0.201
"12am",0.2341,0.1622,0.0962,0.1969
"1pm",0.2526,0.1535,0.0958,0.197
"2pm",0.249,0.1579,0.0941,0.1974
"3pm",0.2374,0.1539,0.0887,0.1874
"4pm",0.2229,0.1577,0.0924,0.1733
"5pm",0.1894,0.1645,0.1013,0.1495
"6pm",0.1804,0.1498,0.1032,0.1387
"7pm",0.1749,0.1581,0.1099,0.135
"8pm",0.174,0.1622,0.1144,0.1286
"9pm",0.1757,0.1584,0.1142,0.1272
"10pm",0.1712,0.1601,0.1146,0.1272
"11pm",0.167,0.1599,0.1143,0.1256
"12pm",0.17,0.1609,0.1148,0.1254
"1am",0.171,0.1605,0.1146,0.1248
"2am",0.1703,0.1604,0.114,0.1245
"3am",0.1717,0.1602,0.1135,0.1254
