"hour","act1","act2","act3","act4","act5"
"4am",-0.029733118358066,0.0270363501967455,-0.056854008582592,0,0.161683084044361
"5am",-0.0360204854470827,-0.00611693130391289,-0.0646453524022236,-0.0317628818595715,0.0156276237845914
"6am",-0.0102372313787108,-0.0177172233164124,-0.0802585872572998,-0.0733824355154874,0.0804904917776035
"7am",0.0995462690770798,-0.0112960876344482,0.0778398449366934,0.0369400221134396,0.0320398713703293
"8am",0.260126307163578,0.206322749691233,0.160414650398029,-0.100710339642586,0.0474248490817232
"9am",0.258471736622365,0.230815491895787,0.19252911397617,0.0418685167871321,-0.0143224830237633
"10am",0.318186557977913,0.230631797157721,0.190344745225279,0.0770423738086243,-0.0971095360908426
"11am",0.372687489679551,0.28624300857601,0.189777072301189,-0.0442079204416266,0.0657236117319848
"12am",0.371621888544263,0.275936485737004,0.129668568610624,0.104051405967281,0.137514723715379
"1pm",0.335886078432423,0.226139969192252,0.164525024469539,0.0419069730693332,0.0832864359774
"2pm",0.297321916972392,0.263248555749835,0.189999961773331,-0.0487362046057696,0.0675023987745342
"3pm",0.320733234329335,0.287462556361405,0.201446294790278,-0.0409247739494275,0.127640893296546
"4pm",0.339338016608925,0.357484880568508,0.210918811730235,-0.0757697159045333,0.170588025546244
"5pm",0.333721144493389,0.332529090591196,0.302942704291208,-0.069735327571528,0.229038074009901
"6pm",0.260036358812811,0.339010887101154,0.31381097016615,-0.100129953302819,0.184916321234667
"7pm",0.26680013261546,0.209660957609899,0.0974850556549029,-0.00796512732408535,0.241691396417985
"8pm",0.239611633618555,0.0047990782362241,-0.0470158116661091,-0.0134380922971934,0.266125046502812
"9pm",0.2870222487157,0.000314938038058257,-0.0334491207477648,0.104868029283735,0.330027617133166
"10pm",0.326647246385787,0.04160646605558,-0.0764508545575141,0.291961386699065,0.393492820303931
"11pm",0.309802373857447,0.0165341949198485,0.0157658073383277,0.164883863033324,0.344256095682057
"12pm",0.260515885030809,-0.0326606102198526,0.0167180015898531,-0.0641389934974574,0.326062537157471
"1am",0.275590295193567,-0.126927051922281,0.0168197542101785,-0.0675269699043016,0.393432710058907
"2am",0.179640698162471,-0.156690687642759,0.0168197542101785,-0.0739678011741787,0.31656791363746
"3am",0.0854569217331844,-0.152873364895591,0.016314618538919,-0.0733892589122214,0.26523871521436
