"hour","act1","act2","act3","act4","act5"
"4am",0.3236,0.349,0.9338,0.6812,0
"5am",0.27,0.2917,0.8842,0.9703,0.6719
"6am",0.2308,0.2362,0.7463,0.8741,0.6156
"7am",0.2296,0.1765,0.5405,0.6378,0.331
"8am",0.2595,0.1877,0.4702,0.4245,0.2242
"9am",0.2837,0.1874,0.4734,0.3486,0.2005
"10am",0.2752,0.1912,0.4701,0.3097,0.2062
"11am",0.2822,0.1956,0.4823,0.4115,0.2122
"12am",0.2738,0.2084,0.4849,0.4891,0.2017
"1pm",0.2791,0.202,0.4897,0.431,0.2094
"2pm",0.2863,0.2039,0.4891,0.4004,0.1364
"3pm",0.2804,0.205,0.4909,0.4025,0.1478
"4pm",0.2927,0.2445,0.5322,0.3641,0.1644
"5pm",0.2926,0.2904,0.6443,0.3591,0.1789
"6pm",0.2605,0.3116,0.7341,0.4315,0.2173
"7pm",0.2332,0.3284,0.7708,0.5912,0.2171
"8pm",0.2174,0.3282,0.8378,0.7458,0.2053
"9pm",0.2554,0.3395,0.8634,0.8191,0.2572
"10pm",0.3106,0.3436,0.8814,0.8117,0.3286
"11pm",0.3135,0.3476,0.9243,0.8259,0.3701
"12pm",0.3204,0.3497,0.9241,0.8154,0.4105
"1am",0.3171,0.3344,0.924,0.8459,0.4399
"2am",0.3208,0.333,0.9241,0.8574,0.4629
"3am",0.3088,0.342,0.9243,0.8568,0.4999
