"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604";"9984.74604"
"4am";" 908.43715";" 731.21193";" 718.28199";" 990.02279";" 957.68532";" 866.95156";"1653.78780";" 830.56697";" 570.74723";"1366.93428";" 313.74091";" 382.22887";" 228.60762";" 459.89245";" 618.96179";" 647.96846";" 248.76626";" 425.97056";" 934.41596";" 163.04947";" 128.51600";" 105.07646";"  51.97393";" 183.52311";" 134.51955";"  43.58705";"  38.70609";" 180.91377"
"5am";" 908.43715";" 731.21193";" 718.28199";" 990.02279";" 957.68532";" 866.95156";"1653.78780";" 830.56697";" 570.74723";"1366.93428";" 313.74091";" 382.22887";" 228.60762";" 459.89245";" 618.96179";" 647.96846";" 248.76626";" 425.97056";" 934.41596";" 163.04947";" 128.51600";" 105.07646";"  51.97393";" 183.52311";" 134.51955";"  43.58705";"  38.70609";" 180.91377"
"6am";" 908.43715";" 731.21193";" 718.28199";" 837.84839";" 957.68532";" 866.95156";"1653.78780";" 830.56697";" 570.74723";"1519.10868";" 313.74091";" 382.22887";" 228.60762";" 459.89245";" 618.96179";" 647.96846";" 248.76626";" 425.97056";" 934.41596";" 163.04947";" 128.51600";" 105.07646";"  51.97393";" 183.52311";" 134.51955";"  43.58705";"  38.70609";" 180.91377"
"7am";" 908.43715";" 731.21193";" 718.28199";" 990.02279";" 957.68532";" 866.95156";"1653.78780";" 830.56697";" 570.74723";"1413.17725";" 313.74091";" 382.22887";" 228.60762";" 417.63202";" 544.23698";" 647.96846";" 186.98110";" 387.23426";" 934.41596";" 163.04947";" 128.51600";" 105.07646";"  13.32220";" 164.51896";" 134.51955";"  43.58705";"  38.70609";" 180.91377"
"8am";" 876.63957";" 718.12285";" 573.53819";"1124.56597";" 677.13269";" 976.46193";"1653.78780";" 901.10085";" 570.18421";"1414.42027";" 461.33643";" 307.50865";" 176.27423";" 378.75309";" 590.47995";" 593.96764";" 186.98110";" 454.36506";" 934.41596";" 163.04947";" 128.51600";" 105.07646";"  13.32220";" 164.51896";" 117.84851";"  43.58705";"  38.70609";" 180.91377"
"9am";"1441.46154";" 792.68410";" 703.78740";" 904.05832";" 575.84807";" 862.33806";"1314.48844";" 873.69528";" 620.73424";"1571.85494";" 345.72419";" 375.84190";" 104.66678";" 373.16345";" 590.47995";" 593.96764";" 186.98110";" 304.96724";" 838.05796";" 106.90537";" 128.51600";" 105.07646";"   0.00000";" 129.73891";" 134.51955";"  43.58705";"   0.00000";" 180.91377"
"10am";"1145.29732";" 876.91894";" 769.54981";" 795.37989";" 493.51308";" 908.68905";"1480.75858";" 803.74429";" 570.74723";"1434.52468";" 286.74864";" 443.96261";"  52.33339";" 278.14042";" 606.03260";" 709.93888";" 199.56183";" 295.87766";" 838.05796";" 163.04947";" 128.51600";" 105.07646";"  13.32220";" 129.73891";" 102.60738";"  31.00632";"   0.00000";" 149.46000"
"11am";"1115.39530";" 931.93019";" 653.25004";" 808.70189";" 544.05508";"1063.69181";"1505.45862";" 691.77109";" 510.96166";"1128.48250";" 332.42694";" 443.96261";" 176.27423";" 373.24692";" 514.89888";" 647.96846";" 186.98110";" 337.11444";" 741.69996";" 163.04947";" 128.51600";" 105.07646";"  51.97393";" 129.73891";"  85.93634";"  43.58705";"  19.89629";" 180.91377"
