"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953";"0.264560315261953"
"max";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009";"67.4161575412009"
"4am";"56.85990";"49.89371";"56.87958";"54.90128";"61.64033";"29.04888";"56.66235";"49.93784";"57.77375";"60.66315";"60.88326";"55.15143";"57.26482";"57.37462";"54.13569"
"5am";"57.17826";"49.89371";"57.71612";"53.91709";"61.49132";"27.89346";"57.95415";"49.91557";"57.51462";"59.85403";"60.97349";"54.80971";"58.61810";"57.37462";"54.54040"
"6am";"56.82745";"49.79827";"57.67749";"55.44949";"61.63109";"27.58513";"56.42025";"48.82945";"56.16676";"60.43905";"61.48281";"56.79046";"58.80445";"58.56746";"55.13053"
"7am";"58.34102";"55.38365";"57.00291";"54.69932";"64.03790";"27.50171";"52.31698";"52.32950";"55.76562";"62.32450";"64.05930";"56.18705";"59.66124";"53.58604";"55.54606"
"8am";"57.31748";"55.85456";"52.47856";"61.36241";"54.28993";"37.85153";"60.02520";"55.22118";"53.79488";"57.80872";"62.87069";"51.40480";"57.67848";"58.91640";"56.33140"
"9am";"57.14586";"55.55625";"52.06964";"58.29694";"52.46109";"38.76997";"58.37804";"58.30997";"53.83822";"56.60879";"56.77090";"55.99539";"57.75986";"51.45759";"56.36597"
"10am";"54.13006";"53.83534";"52.46524";"62.18287";"51.64117";"40.54738";"60.03140";"56.90156";"52.03975";"56.36887";"59.93717";"56.31747";"60.67054";"61.38444";"56.49434"
"11am";"56.28064";"57.45817";"54.83593";"50.09244";"48.75004";"37.78408";"56.94217";"57.09293";"53.51065";"55.40702";"63.75876";"57.41223";"61.76853";"57.10412";"58.31711"
"12am";"58.34135";"56.47828";"55.86637";"52.00862";"61.18888";"32.18323";"63.92664";"51.27455";"54.20653";"57.80592";"64.51320";"60.37993";"58.73391";"52.25742";"53.81557"
"1pm";"59.87904";"51.78137";"55.58464";"50.95486";"60.32596";"39.22456";"52.79861";"55.98787";"52.08280";"57.01407";"67.29735";"58.05561";"57.68231";"54.25733";"45.58364"
"2pm";"59.97896";"53.63672";"52.66554";"61.11036";"61.85187";"44.91803";"47.32843";"57.97834";"55.41334";"52.19467";"57.36151";"50.55628";"55.38726";"60.74995";"46.24124"
"3pm";"57.72864";"53.51471";"55.96262";"58.09173";"58.71826";"45.51261";"50.45861";"56.11823";"49.78490";"50.43839";"64.14306";"47.87856";"60.67600";"61.89359";"50.22617"
"4pm";"58.84231";"52.66796";"52.42013";"53.46450";"58.88036";"42.27422";"60.38273";"53.43771";"58.23554";"57.19986";"59.47634";"51.36905";"56.76319";"59.12545";"50.13302"
"5pm";"59.10391";"56.52268";"51.86090";"50.63884";"58.85233";"38.42245";"52.30040";"57.61324";"59.09006";"52.18179";"56.94564";"52.77181";"55.46755";"57.20902";"55.16430"
"6pm";"54.50683";"54.02054";"51.17646";"45.03982";"62.35192";"28.68670";"67.41616";"57.33553";"59.02390";"62.10581";"59.12950";"54.34664";"59.79981";"61.95148";"55.53436"
"7pm";"50.81083";"53.79331";"57.13602";"53.53718";"61.41993";"29.45523";"58.59120";"56.01676";"57.46705";"63.00840";"59.18212";"54.69355";"57.18776";"56.94548";"54.01019"
"8pm";"52.60670";"53.37947";"57.79138";"53.08532";"63.46816";"29.30994";"55.27935";"54.42819";"57.90335";"61.45793";"55.88553";"53.31128";"56.57278";"58.51313";"53.55914"
"9pm";"54.26096";"51.28034";"57.95674";"52.32501";"63.48497";"27.49953";"55.48439";"52.61879";"58.31746";"61.82016";"57.07927";"54.97029";"56.68191";"58.92102";"54.16424"
"10pm";"54.58112";"50.83039";"57.86905";"52.45055";"60.83398";"29.44626";"52.72039";"52.74062";"57.66966";"63.19161";"57.25153";"54.53647";"56.27839";"58.51751";"53.80165"
"11pm";"54.77889";"51.40142";"57.94336";"52.18502";"60.09956";"30.14507";"53.70816";"50.88279";"57.95285";"61.87689";"56.41301";"54.25932";"57.10391";"57.63381";"54.59867"
"12pm";"54.63961";"51.40142";"57.65690";"53.89797";"60.09956";"30.31292";"53.89564";"51.12596";"58.47432";"61.69561";"56.51467";"54.25932";"56.73769";"57.63381";"54.24436"
"1am";"56.52944";"48.93208";"56.82890";"54.54100";"60.09956";"30.17260";"55.83422";"51.12596";"58.06918";"61.69561";"56.51467";"54.25932";"56.73769";"57.48220";"54.24436"
"2am";"56.34399";"48.93208";"56.82890";"54.54100";"60.09956";"30.17260";"56.00611";"50.86227";"58.06918";"61.69561";"56.51467";"54.25932";"56.73769";"57.48220";"54.24436"
"3am";"56.34399";"48.93208";"58.57396";"54.54100";"60.09956";"30.17260";"56.00611";"50.60358";"58.06918";"58.05254";"56.51467";"54.25932";"56.73769";"57.48220";"54.24436"
