"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888";"7838.888"
"4am";"6417.479";"6295.289";"6251.071";"  52.767";"4592.792";"4430.999";"   0.000";"   0.000";"  33.315";"  20.648";"   0.000";"  53.140";"   0.000";"  74.930";"   0.000";"   0.000";"  27.332";"   0.000"
"5am";"6421.809";"6295.289";"6242.111";"   0.000";"4554.452";"4460.802";"   0.000";"   0.000";"  33.315";"  20.648";"   0.000";"  44.301";"   0.000";"  74.930";"   0.000";"   0.000";"  27.332";"   0.000"
"6am";"6539.090";"6050.306";"6189.215";"  18.865";"4477.582";"4236.514";"   0.000";"  13.210";"  33.315";"  70.714";"   0.000";"  89.481";"   0.000";"  76.339";"   0.000";"  46.698";"  27.332";"   0.000"
"7am";"6343.812";"5454.801";"5299.016";" 540.436";"3746.496";"3549.944";"   0.000";" 112.006";" 198.508";" 201.383";"   0.000";" 141.650";" 152.235";" 637.019";" 112.968";"  72.978";" 127.348";"  79.194"
"8am";"6454.018";"4133.251";"5451.399";" 837.373";"2904.581";"2966.854";"  24.925";" 208.117";" 512.361";" 583.953";"  59.462";" 556.122";" 263.892";"1137.687";" 112.968";" 154.431";" 127.348";"  79.194"
"9am";"5871.811";"4192.622";"5342.772";" 975.118";"2635.307";"2955.634";"  24.925";" 208.117";" 570.113";" 689.302";"  83.877";" 817.368";" 363.182";"1213.099";" 112.968";" 204.982";" 162.392";" 132.479"
"10am";"6165.084";"3670.837";"5629.980";" 973.510";"2374.067";"2836.708";"  24.925";" 208.117";" 542.698";" 689.302";"  83.877";" 978.093";" 389.315";"1213.099";" 143.305";" 204.982";" 127.348";" 105.081"
"11am";"5949.812";"4046.760";"5409.865";" 949.847";"2560.838";"2930.753";"  24.925";" 266.169";" 542.698";" 690.626";" 102.742";" 914.968";" 277.405";"1177.107";" 112.968";" 184.888";" 127.348";" 105.081"
"12am";"6170.053";"5040.615";"5278.231";" 640.806";"2950.353";"3190.568";"   0.000";" 224.073";" 401.398";" 493.179";"  24.415";" 566.781";" 267.911";" 782.154";" 112.968";" 149.844";" 151.766";" 129.205"
"1pm";"5734.393";"4695.845";"5384.572";" 978.424";"2567.135";"2943.096";"  24.925";" 215.864";" 499.621";" 695.865";" 123.152";" 921.555";" 370.389";"1047.900";"  74.944";" 149.844";" 142.516";"  79.194"
"2pm";"5579.439";"4402.386";"5119.742";"1157.746";"2152.786";"2779.722";"  70.051";" 215.864";" 494.272";" 758.066";"  80.409";"1035.582";" 490.208";"1148.516";" 127.711";" 121.523";" 305.679";"  79.194"
"3pm";"5788.944";"4044.096";"4837.911";"1134.828";"2316.768";"2988.016";"  66.516";" 246.578";" 615.292";" 631.921";"  86.328";" 843.427";" 502.623";"1189.404";"  99.983";" 121.523";" 616.362";"  79.194"
"4pm";"5807.511";"4121.924";"5224.226";"1050.211";"2493.397";"3318.730";"  24.925";" 214.413";" 319.133";" 522.727";" 116.327";" 936.892";" 494.872";" 869.135";"  74.944";"  76.866";" 422.706";"  42.307"
"5pm";"5521.660";"4635.114";"5775.572";" 941.175";"3055.988";"3690.478";"  24.925";" 129.634";" 154.335";" 485.559";" 162.430";" 708.456";" 366.536";" 629.913";" 131.287";"  51.354";" 184.644";"  42.307"
"6pm";"6038.727";"5342.757";"6003.277";" 352.573";"3458.202";"4228.552";"  25.039";"  89.755";" 123.998";" 275.693";" 124.878";" 368.052";" 190.119";" 645.185";"  38.024";"  26.315";" 150.845";"  90.231"
"7pm";"6296.442";"5793.133";"6569.674";" 201.451";"4050.576";"4184.268";"   0.000";"   0.000";"  24.418";" 190.211";"  79.051";" 122.051";"  70.219";" 233.614";"  38.024";"   0.000";" 244.123";"  90.231"
"8pm";"6244.318";"6109.234";"6587.659";" 163.343";"4132.225";"4353.713";"   0.000";"   0.000";"  24.418";" 157.283";"  93.621";"  95.771";"  60.251";" 149.525";"  38.024";"   0.000";" 135.022";"   0.000"
"9pm";"6426.350";"5923.483";"6936.066";" 163.343";"4138.436";"4409.093";"   0.000";"   0.000";"  24.418";"  56.017";"  93.621";"  95.771";"  26.315";" 114.481";"   0.000";"   0.000";" 135.022";"   0.000"
"10pm";"6219.151";"6153.693";"6865.555";" 138.925";"4154.007";"4581.494";"   0.000";"   0.000";" 149.984";"  56.017";"  27.332";"  77.154";"  26.315";"  34.832";"   0.000";"   0.000";" 135.022";"   0.000"
"11pm";"6356.223";"6250.790";"6760.042";"  88.847";"4230.293";"4600.359";"   0.000";"   0.000";" 125.566";"   0.000";"  27.332";"  52.736";"  26.315";"  34.832";"   0.000";"   0.000";" 135.022";"   0.000"
"12pm";"6320.783";"6432.064";"6821.734";"  88.847";"4343.982";"4570.022";"   0.000";"   0.000";" 125.566";"   0.000";"  27.332";"  24.415";"  26.315";"  34.832";"   0.000";"   0.000";"   0.000";"   0.000"
"1am";"6307.573";"6432.064";"6821.734";"  88.847";"4417.914";"4583.232";"   0.000";"   0.000";" 125.566";"   0.000";"  27.332";"  24.415";"  26.315";"  34.832";"   0.000";"   0.000";"   0.000";"   0.000"
"2am";"6286.925";"6452.712";"6821.734";"  88.847";"4463.929";"4583.232";"   0.000";"   0.000";" 125.566";"   0.000";"  27.332";"  24.415";"  26.315";"  34.832";"   0.000";"   0.000";"   0.000";"   0.000"
"3am";"6286.925";"6452.712";"6821.734";"  88.847";"4463.929";"4583.232";"   0.000";"   0.000";" 125.566";"   0.000";"  27.332";"  24.415";"  26.315";"  34.832";"   0.000";"   0.000";"   0.000";"   0.000"
