"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214";"2040.214"
"max";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684";"11321.684"
"4am";"6508.379";"6295.289";"6438.052";"7891.655";"4857.278";"4678.358";"5173.235";"5757.585";"4354.060";"4282.022";"5248.991";"7832.563";"7247.769";"7365.387";"6058.951";"6768.982";"7241.361";"4397.294"
"5am";"6633.284";"6295.289";"6581.066";"7872.749";"4770.778";"4736.101";"5146.404";"5467.599";"4328.191";"4300.642";"5182.169";"7769.552";"7247.769";"7441.165";"5966.553";"6771.613";"7201.875";"4352.778"
"6am";"6917.161";"6077.137";"6591.722";"7764.145";"4693.908";"4548.941";"5012.744";"5507.145";"4326.744";"4554.035";"5076.156";"7821.840";"7440.851";"7167.705";"5779.434";"6195.290";"6657.850";"4133.178"
"7am";"9318.878";"6199.821";"7313.376";"8209.754";"4479.065";"4850.257";"3924.410";"4711.241";"4509.330";"4457.992";"4046.102";"7087.461";"6716.337";"7251.253";"4567.256";"5556.766";"5067.836";"3290.829"
"8am";"10748.803";" 5566.528";" 8580.209";" 7957.221";" 4209.497";" 4766.808";" 3242.863";" 4587.038";" 5324.256";" 4726.255";" 3765.636";" 6958.410";" 6325.054";" 8338.549";" 3499.314";" 4518.827";" 4775.550";" 2377.959"
"9am";"10876.549";" 5821.311";" 8884.052";" 7682.029";" 4091.667";" 4847.361";" 3029.196";" 4545.156";" 5175.315";" 4607.156";" 3528.862";" 7444.216";" 5872.110";" 8358.200";" 3363.352";" 4502.244";" 4695.549";" 2304.285"
"10am";"11321.684";" 5502.847";" 9396.758";" 7159.270";" 3695.270";" 4748.759";" 2864.730";" 4789.496";" 4927.654";" 4879.523";" 3416.346";" 7528.139";" 6038.423";" 8343.511";" 3180.085";" 4315.167";" 4636.056";" 2040.214"
"11am";"11023.890";" 5691.355";" 8628.770";" 7403.924";" 3798.353";" 4785.846";" 2972.877";" 4671.636";" 5531.405";" 4938.686";" 3687.527";" 7252.350";" 5830.116";" 8109.800";" 3242.570";" 4427.840";" 4714.810";" 2367.582"
"12am";"10141.293";" 6535.688";" 7541.123";" 7470.412";" 3845.932";" 4701.944";" 3805.041";" 4913.297";" 5125.177";" 4766.337";" 4002.958";" 7036.987";" 5950.368";" 7882.116";" 3870.562";" 5130.145";" 5025.727";" 2645.090"
"1pm";"10263.986";" 6491.565";" 8233.122";" 7493.820";" 3497.610";" 4846.041";" 3404.195";" 4649.819";" 5565.660";" 5163.285";" 3719.582";" 7291.550";" 6031.189";" 7849.269";" 3668.612";" 4753.525";" 4784.561";" 2334.961"
"2pm";"10414.107";" 6260.180";" 8178.954";" 7115.332";" 3089.340";" 4677.724";" 3318.314";" 4472.781";" 5478.499";" 4728.070";" 3687.387";" 7357.833";" 6396.252";" 7922.809";" 3532.177";" 4880.831";" 5131.592";" 2294.607"
"3pm";"10666.317";" 5813.245";" 7747.349";" 7379.049";" 3209.567";" 4695.874";" 3214.633";" 4621.372";" 5162.347";" 4384.322";" 3778.102";" 7477.174";" 6433.070";" 7877.162";" 3421.890";" 5130.176";" 5700.482";" 2083.487"
"4pm";"9899.829";"5830.450";"7473.298";"7096.869";"3140.644";"4582.377";"3430.282";"4761.103";"4829.711";"4679.647";"3943.108";"7718.591";"6455.635";"7741.414";"3546.253";"5146.738";"6230.504";"2645.329"
"5pm";"8311.014";"5424.783";"7261.956";"7436.494";"3443.204";"4549.636";"4058.214";"5014.806";"4103.752";"4743.269";"4239.315";"8155.044";"7058.717";"7505.276";"4441.632";"5212.764";"6933.178";"3351.058"
"6pm";"7898.776";"5828.186";"7145.904";"7416.848";"3531.850";"4721.511";"4837.603";"5031.658";"4186.803";"4793.821";"4951.399";"7559.945";"7423.748";"7668.971";"5460.281";"5908.056";"7027.178";"3657.243"
"7pm";"7695.545";"6092.248";"7327.241";"7624.725";"4134.619";"4390.368";"4928.154";"5401.462";"4050.072";"4845.669";"5204.775";"7150.613";"7904.961";"7487.754";"5710.820";"6364.901";"7455.583";"4214.151"
"8pm";"7374.623";"6237.925";"7070.494";"7486.179";"4333.613";"4462.118";"4977.846";"5533.702";"4092.950";"4870.120";"5406.382";"7510.431";"7706.581";"7766.857";"5992.822";"6790.693";"7347.052";"4243.960"
"9pm";"7475.674";"6078.659";"7293.722";"7724.635";"4339.824";"4517.498";"5084.235";"5602.110";"4127.642";"4717.332";"5376.841";"7617.127";"7636.435";"7786.754";"5965.278";"6635.025";"7354.331";"4334.415"
