"hour","act1","act2","act3","act4","act5"
"4am",0.3884,0.4528,0.9678,0.6507,0
"5am",0.3072,0.3464,0.9444,0.9589,0.5974
"6am",0.269,0.2884,0.8501,0.9146,0.5788
"7am",0.2873,0.2181,0.5935,0.8328,0.3957
"8am",0.3134,0.2105,0.5281,0.474,0.2892
"9am",0.3207,0.2033,0.5302,0.4564,0.2054
"10am",0.3267,0.2038,0.5309,0.4427,0.2015
"11am",0.3255,0.2101,0.5324,0.4899,0.1803
"12am",0.3325,0.2156,0.51,0.5651,0.2852
"1pm",0.3275,0.2129,0.5268,0.5829,0.2057
"2pm",0.3295,0.2157,0.5392,0.5358,0.1949
"3pm",0.3285,0.2162,0.5445,0.5224,0.1813
"4pm",0.3306,0.2311,0.5735,0.5305,0.1816
"5pm",0.3406,0.2677,0.6852,0.5515,0.2085
"6pm",0.2971,0.2854,0.7132,0.5708,0.2257
"7pm",0.2904,0.3075,0.7844,0.7491,0.2861
"8pm",0.2895,0.4067,0.8944,0.9468,0.2717
"9pm",0.2954,0.494,0.954,0.9901,0.3
"10pm",0.3648,0.551,0.9722,0.9614,0.3858
"11pm",0.4033,0.5953,0.9819,0.9633,0.4492
"12pm",0.4204,0.6267,0.982,0.9887,0.4744
"1am",0.4115,0.6343,0.9821,0.4816,0
"2am",0.3888,0.6322,0.9821,0.4625,0
"3am",0.3755,0.625,0.982,0.4597,0
