"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1111,0.2874,0.2316,0.1221,0.2036
"5am",0.1082,0.2842,0.2309,0.1251,0.2054
"6am",0.1043,0.2932,0.2304,0.1389,0.206
"7am",0.1074,0.4179,0.2261,0.2065,0.223
"8am",0.1178,0.4332,0.2187,0.2446,0.2425
"9am",0.1212,0.4411,0.2348,0.238,0.2475
"10am",0.1201,0.4463,0.2207,0.2436,0.2331
"11am",0.1255,0.4334,0.2147,0.2451,0.2344
"12am",0.1201,0.4106,0.2152,0.2373,0.2317
"1pm",0.1271,0.4213,0.2142,0.2348,0.2292
"2pm",0.1213,0.4244,0.2047,0.2258,0.2363
"3pm",0.1132,0.4188,0.2064,0.2209,0.2323
"4pm",0.1136,0.3861,0.2274,0.2023,0.2367
"5pm",0.1123,0.3406,0.2242,0.165,0.2135
"6pm",0.1063,0.2906,0.2232,0.1338,0.201
"7pm",0.1063,0.2798,0.2208,0.1266,0.2094
"8pm",0.1073,0.2805,0.2243,0.1267,0.2059
"9pm",0.1106,0.2851,0.2211,0.1259,0.2084
"10pm",0.1103,0.2892,0.2277,0.123,0.2085
"11pm",0.1123,0.2885,0.2272,0.1248,0.2083
"12pm",0.1129,0.2879,0.2277,0.125,0.2059
"1am",0.1135,0.2882,0.2276,0.1257,0.2069
"2am",0.1138,0.2896,0.2273,0.124,0.2066
"3am",0.1133,0.2895,0.2269,0.1235,0.2032
