"hour","age1","age2","age3","age4"
"4am",0.2169,0.1398,0.1338,0.1036
"5am",0.2141,0.1388,0.1329,0.106
"6am",0.22,0.1404,0.129,0.117
"7am",0.314,0.1471,0.1253,0.1731
"8am",0.328,0.1504,0.1091,0.2097
"9am",0.3306,0.1505,0.1101,0.2116
"10am",0.343,0.1501,0.1125,0.2127
"11am",0.3333,0.1469,0.1073,0.2097
"12am",0.32,0.1505,0.1154,0.2056
"1pm",0.3252,0.1503,0.1168,0.2091
"2pm",0.3289,0.1407,0.1162,0.1937
"3pm",0.3205,0.1494,0.1213,0.1938
"4pm",0.2916,0.1447,0.1228,0.1841
"5pm",0.2671,0.133,0.1344,0.1538
"6pm",0.2247,0.1303,0.1325,0.1266
"7pm",0.2154,0.1448,0.1376,0.1142
"8pm",0.2178,0.1394,0.1351,0.109
"9pm",0.2153,0.1416,0.137,0.109
"10pm",0.2182,0.1428,0.1374,0.1072
"11pm",0.221,0.1445,0.1384,0.1083
"12pm",0.2199,0.1408,0.1379,0.1074
"1am",0.2197,0.1417,0.1379,0.1076
"2am",0.22,0.1401,0.1382,0.1062
"3am",0.2198,0.14,0.1374,0.1058
