"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.0327116150053938,0.268587854235384,0.546869577806259,0.397700379706434,0.295681372992047
"5am",0.0268527404298601,0.272776362774342,0.53128346602277,0.40245660598785,0.28856201709609
"6am",0.0121850517293605,0.253102394973704,0.495196315132191,0.355225706222489,0.265006796722357
"7am",-0.0114666358046222,0.263880861158149,0.423743984220516,0.367815604178299,0.286660723851615
"8am",-0.0571339093925688,0.29169787518898,0.354173616621054,0.28977862027176,0.301093986869372
"9am",-0.0445639894289198,0.312518152757435,0.337524614336432,0.307296609338549,0.335461820917566
"10am",-0.061760249232851,0.305607435670652,0.300262526559376,0.229578340783679,0.274694959018252
"11am",-0.0916809877677313,0.288692396383457,0.30181588040318,0.277916489328828,0.307715570023014
"12am",-0.0313768686054847,0.37096262821093,0.338470453704447,0.262816957276874,0.360127088385809
"1pm",-0.036649295732508,0.341471490461254,0.268573562987137,0.214997673366304,0.262121797899286
"2pm",-0.0380141194332983,0.362591597374605,0.315598520149657,0.208439319938275,0.294946802267903
"3pm",-0.0479835961500375,0.375653526121061,0.352104864274339,0.251197897440974,0.260129437661547
"4pm",-0.0500626077205099,0.360259023959735,0.428802031590551,0.297408914562515,0.292972205319314
"5pm",0.0256852828850212,0.268925722315703,0.528418785285095,0.372805032674263,0.315287191533581
"6pm",0.0534572134454223,0.301595087726203,0.57290652798983,0.402181449382556,0.281732973023735
"7pm",0.0441394650948724,0.298543198706985,0.558187407140871,0.37396315555262,0.303449406009753
"8pm",0.0647571724873941,0.275594185778644,0.549138736919973,0.378819822949376,0.289370284899367
"9pm",0.0724725626412517,0.278363631926549,0.540061469620523,0.377439887354066,0.30096761555264
"10pm",0.0588395337429373,0.279371463397965,0.553926482122004,0.389752481171736,0.311673760911953
"11pm",0.0467648049180782,0.278146491179747,0.546731491191474,0.37238755743805,0.298628099781435
"12pm",0.0515228612557819,0.278102382931916,0.543861858873484,0.369973579675184,0.2919086472246
"1am",0.0471083565490703,0.281368566130322,0.543281751354018,0.369795069506623,0.292547109458165
"2am",0.0462134244088066,0.281865434398618,0.544719082609519,0.378578094409537,0.291608305426295
"3am",0.0473794657278058,0.288734479791464,0.548610128470151,0.381438809553843,0.289408224061906
