"hour","mode1","mode2","mode3"
"4am",0.2458,0.2451,0.2341
"5am",0.2464,0.2471,0.2365
"6am",0.2633,0.2393,0.2297
"7am",0.3398,0.2408,0.2181
"8am",0.3589,0.2377,0.2168
"9am",0.3749,0.2371,0.214
"10am",0.3807,0.2342,0.2054
"11am",0.3844,0.2319,0.2001
"12am",0.3645,0.2605,0.223
"1pm",0.3634,0.2573,0.2362
"2pm",0.3628,0.2588,0.2299
"3pm",0.3527,0.2655,0.2359
"4pm",0.3189,0.2523,0.2297
"5pm",0.2778,0.263,0.2348
"6pm",0.2339,0.2532,0.2427
"7pm",0.2342,0.2444,0.2277
"8pm",0.2464,0.2394,0.2277
"9pm",0.2491,0.2426,0.2319
"10pm",0.2493,0.2421,0.2312
"11pm",0.247,0.2438,0.2341
"12pm",0.2481,0.2446,0.2348
"1am",0.2488,0.2454,0.2361
"2am",0.2506,0.245,0.2365
"3am",0.2512,0.2458,0.2368
