"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2582,0.2814,0.1922,0.178,0.2417
"5am",0.2539,0.2759,0.1907,0.1768,0.2409
"6am",0.2425,0.2764,0.1865,0.176,0.2398
"7am",0.2168,0.2632,0.1703,0.1642,0.2292
"8am",0.2108,0.248,0.1544,0.1535,0.2199
"9am",0.2108,0.2442,0.1572,0.1583,0.2206
"10am",0.1957,0.2451,0.1574,0.1542,0.2217
"11am",0.1999,0.2407,0.1604,0.1494,0.2125
"12am",0.2094,0.234,0.1544,0.1527,0.2357
"1pm",0.1906,0.2382,0.1577,0.1465,0.223
"2pm",0.2008,0.2326,0.1481,0.1473,0.2222
"3pm",0.2074,0.2302,0.1591,0.1542,0.2211
"4pm",0.2158,0.2449,0.177,0.1579,0.2193
"5pm",0.2252,0.2439,0.1839,0.1597,0.2146
"6pm",0.2402,0.2617,0.189,0.1807,0.2104
"7pm",0.2562,0.2659,0.1923,0.1761,0.2273
"8pm",0.2532,0.2708,0.1942,0.1718,0.2278
"9pm",0.2577,0.2715,0.1927,0.1773,0.2341
"10pm",0.2584,0.2709,0.1949,0.1789,0.2387
"11pm",0.2591,0.2715,0.195,0.1795,0.2388
"12pm",0.2586,0.2731,0.1952,0.1788,0.2369
"1am",0.259,0.2738,0.1954,0.1789,0.236
"2am",0.2615,0.2757,0.1969,0.1792,0.2364
"3am",0.2617,0.2756,0.1968,0.1775,0.2366
