"hour","resarea1","resarea2","resarea3"
"4am",0.9841,0.9831,0.9882
"5am",0.9773,0.9761,0.9837
"6am",0.9588,0.9549,0.9677
"7am",0.8107,0.8039,0.8507
"8am",0.6989,0.6615,0.7125
"9am",0.6667,0.6151,0.6742
"10am",0.6558,0.5963,0.6659
"11am",0.6729,0.6191,0.68
"12am",0.7003,0.6653,0.7111
"1pm",0.6769,0.6289,0.6764
"2pm",0.6591,0.5889,0.6436
"3pm",0.6761,0.6048,0.6579
"4pm",0.7382,0.6765,0.7047
"5pm",0.844,0.8021,0.8047
"6pm",0.92,0.889,0.8746
"7pm",0.9472,0.9196,0.9087
"8pm",0.9569,0.9348,0.9296
"9pm",0.9685,0.9512,0.9502
"10pm",0.9772,0.9641,0.9688
"11pm",0.9822,0.9747,0.9773
"12pm",0.9845,0.9799,0.9815
"1am",0.9857,0.9813,0.9819
"2am",0.9879,0.9837,0.9838
"3am",0.9895,0.9859,0.9868
