"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.1968,0.2405,0.183,0.1622,0.2081
"5am",0.1955,0.2334,0.1824,0.1602,0.2057
"6am",0.1898,0.2301,0.182,0.1665,0.2091
"7am",0.1955,0.2323,0.1652,0.1517,0.1891
"8am",0.2181,0.2245,0.1386,0.1413,0.2015
"9am",0.2222,0.2248,0.1395,0.1371,0.2067
"10am",0.2056,0.2204,0.1308,0.1341,0.1998
"11am",0.2166,0.2162,0.1369,0.1382,0.1935
"12am",0.2153,0.2206,0.1363,0.1353,0.1886
"1pm",0.2062,0.2244,0.1458,0.1482,0.2028
"2pm",0.2275,0.2222,0.1418,0.1424,0.2062
"3pm",0.2283,0.2143,0.1523,0.1481,0.1921
"4pm",0.2331,0.2142,0.1678,0.1475,0.207
"5pm",0.2123,0.2117,0.1722,0.1479,0.1947
"6pm",0.2101,0.2149,0.1812,0.1486,0.1814
"7pm",0.2096,0.2192,0.1812,0.1568,0.1961
"8pm",0.1984,0.2281,0.1802,0.161,0.1944
"9pm",0.2025,0.2259,0.1822,0.1653,0.1996
"10pm",0.1999,0.2247,0.1832,0.1637,0.2031
"11pm",0.1998,0.226,0.1851,0.1657,0.2023
"12pm",0.1989,0.2296,0.1858,0.1651,0.2037
"1am",0.1994,0.2297,0.186,0.1659,0.2033
"2am",0.2013,0.2302,0.1872,0.1632,0.2045
"3am",0.2022,0.2317,0.1869,0.162,0.2039
