"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2159,0.1625,0.1132,0.2346
"5am",0.2182,0.1621,0.1132,0.231
"6am",0.2199,0.1563,0.112,0.2284
"7am",0.2391,0.1559,0.1102,0.2266
"8am",0.2524,0.1614,0.1157,0.2263
"9am",0.2591,0.1595,0.1153,0.2281
"10am",0.2621,0.1515,0.1066,0.2261
"11am",0.2645,0.155,0.114,0.2254
"12am",0.2697,0.1634,0.1064,0.2262
"1pm",0.2761,0.1568,0.119,0.232
"2pm",0.2645,0.1605,0.112,0.2333
"3pm",0.2636,0.1535,0.1101,0.2194
"4pm",0.264,0.1584,0.1101,0.2331
"5pm",0.2466,0.1484,0.111,0.223
"6pm",0.2319,0.1502,0.1119,0.2201
"7pm",0.2307,0.1588,0.1063,0.2319
"8pm",0.2274,0.166,0.1088,0.2356
"9pm",0.2229,0.1686,0.1121,0.2391
"10pm",0.2202,0.1669,0.1097,0.2403
"11pm",0.219,0.1674,0.1126,0.2394
"12pm",0.2198,0.1665,0.1123,0.2398
"1am",0.22,0.1663,0.1127,0.2404
"2am",0.2194,0.1659,0.1133,0.2374
"3am",0.2191,0.1661,0.1118,0.2373
