"11am",11011.176,9428.292,4096.578,2118.571,3880.122,8382.537,7285.149,2409.229,3276.3,2140.688,2390.807,5996.554,2949.45,2434.578,5210.821,1187.961,8515.563,4985.661,0,1435.155,979.488,3913.433,1568.52,2477.636,2326.194,0,1457.141,1264.621,0,4563.513,801.503,614.888,1100.787,6314.695,1049.676,1767.21,1039.085,0,0,1241.77,3898.871,1177.07,1478.46,1141.547
"12am",8699.568,8021.382,4013.653,1640.011,3274.937,6603.716,6252.385,1854.028,2543.838,1684.784,1979.809,4645.071,2400.549,1716.366,4147.826,1185.944,8007.917,4751.275,0,1367.026,903.002,2713.732,1062.686,1451.736,1519.211,0,1342.557,928.075,0,2952.924,0,0,834.939,5535.232,668.01,1330.075,1338.564,0,0,876.184,2763.004,1151.779,1235.837,791.976
"1pm",9775.326,9168.633,4028.86,1852.101,3867.355,8416.441,6890.337,2202.673,3267.62,1985.342,2014.371,5835.047,3189.34,1907.357,5158.161,1586.253,9315.219,5369.171,0,1455.913,1023.943,3619.209,1456.109,2222.671,2006.381,605.801,1414.233,1461.805,0,4081.438,0,0,1101.782,5438.836,750.09,1660.043,1614.383,575.33,0,1092.906,2466.919,1182.394,1008.074,974.71
"2pm",13004.304,10672.153,4273.744,1651.656,4719.065,8922.866,8008.645,3112.811,3871.432,2175.426,2375.531,5927.965,3664.574,2576.324,5759.997,2469.649,10752.089,5350.424,0,1544.922,1479.002,4391.937,1491.775,2501.286,2326.044,805.456,1549.924,1795.852,0,4843.917,880.265,456.514,1108.721,5606.648,976.413,2366.119,2219.704,620.045,498.322,1248.449,3043.61,1292.235,855.008,1450.42
"3pm",13681.023,10637.382,3653.14,1841.407,5194.944,9350.308,8090.379,2683.129,4204.056,2419.979,2584.832,5229.899,3899.043,2121.532,5830.488,2517.325,10526.654,4890.908,638.599,1777.071,1353.348,3956.785,1482.853,2512.174,2362.918,596.043,1240.57,1780.297,0,5106.385,964.45,0,1396.364,4900.253,852.898,2571.475,1904.78,768.689,571.07,1180.291,3019.147,1274.125,857.518,1466.837
"4pm",11139.61,9672.476,2704.286,1370.805,4522.304,7697.518,7246.021,2029.028,3920.349,1973.806,1524.432,4378.553,3119.909,1285.447,5216.27,1787.691,8032.079,3823.94,0,1530.492,1410.409,3491.773,1353.237,1847.077,1996.217,0,1216.964,1695.071,0,4262.151,874.573,0,1178.886,3567.692,812.85,2191.59,1582.27,929.191,0,0,3064.947,923.328,717.773,849.825
"5pm",7458.472,5999.026,1877.462,0,2992.523,4564.082,4151.645,1832.089,2531.749,1105.866,630.584,3094.58,2580.575,1212.365,3629.941,1675.768,6162.313,3316.035,0,1252.442,1128.93,1979.095,851.151,1487.839,1464.881,0,1081.071,1312.002,0,2229.086,0,0,903.721,3046.136,0,1532.833,1068.964,0,0,713.041,1402.037,0,0,611.256
"6pm",4653.679,2888.125,1019.814,0,2351.217,2580.542,2330.128,1390.061,1545.871,630.534,0,1180.887,1347.901,908.664,1457.183,929.01,3820.84,1682.382,0,875.64,667.273,1325.428,0,462.126,827.661,0,825.652,0,0,1291.37,0,0,0,2086.566,0,587.656,0,0,0,0,0,0,0,0
"7pm",4156.307,1489.332,0,0,1152.435,1836.918,1493.386,0,1278.607,797.962,0,595.451,975.063,0,1074.571,931.565,2159.161,1387.747,0,620.011,0,857.673,0,501.281,557.644,0,717.716,0,0,853.007,0,0,0,996.642,0,0,0,0,0,0,0,0,0,0
"8pm",3373.341,1316.237,0,0,0,1655.368,1119.844,0,1000.059,0,0,0,856.96,0,1378.098,0,1314.346,924.747,0,0,0,611.559,0,0,0,0,455.561,0,0,665.994,0,0,0,995.224,0,0,0,0,0,0,0,0,0,0
"9pm",2702.953,935.74,0,0,0,1343.422,858.263,0,934.969,0,0,0,0,0,1060.625,0,717.12,0,0,0,0,611.559,0,0,0,0,0,0,0,550.163,0,0,0,640.383,0,0,0,0,0,0,0,0,0,0
"10pm",1904.588,0,0,0,0,803.957,0,0,810.812,0,0,0,0,0,0,0,627.633,0,0,0,0,0,0,0,0,0,0,0,0,434.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",996.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
