"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","027","030","032","033","034","035","036","038","039","040","041","042","043","044","045","046","047","048","049"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023,13681.023
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.832,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,1208.819,0,0,0,0,0,0,0,0,0,0,1454.986,967.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726.233,0,0,0,0,0,0,0,0,0,0
"6am",760.591,693.638,998.895,0,699.003,1984.839,724.882,0,0,0,0,1289.021,898.794,870.675,784.421,0,2324.708,1668.932,0,0,0,737.254,0,700.301,0,0,0,0,0,562.475,0,0,0,2241.553,0,0,0,0,0,0,0,0,0,0
"7am",3114.909,4941.127,3027.781,1300.708,1874.004,5955.571,3403.082,985.966,1720.184,1616.27,1437.674,3672.558,2061.785,1677.962,3197.511,0,4611.233,3433.047,0,913.199,699.979,1903.43,979.928,1714.233,1638.908,0,1053.453,1136.656,0,2300.709,0,0,964.83,4515.914,649.672,754.676,537.897,0,0,869.143,2539.736,0,0,774.95
"8am",8679.311,8106.546,3991.193,1800.303,3327.608,9384.522,6586.473,2256.92,3344.717,2134.667,2454.749,6124.491,3469.156,2439.207,5021.489,1514.515,7722.368,4637.622,0,1544.613,968.618,3682.65,1738.682,2294.301,2674.531,0,1457.904,1085.764,0,3875.792,832.764,0,1194.753,6701.019,991.682,1714.049,844.675,0,0,1194.558,3567.307,1146.534,1320.147,840.759
"9am",10711.225,10723.512,4271.105,1828.467,4160.89,9398.94,8198.335,2615.168,3686.935,2427.22,2623.428,6634.799,3566.912,2513.766,6244.084,1659.601,9411.996,4946.822,0,1437.789,1250.808,4498.048,1755.905,2517.638,2952.025,556.482,1505.139,1397.976,794.036,4819.312,873.625,0,1274.925,7293.208,1026.862,1698.213,928.584,0,0,1202.871,3608.312,1257.618,1385.829,1057.839
"10am",12052.182,10180.607,4080.419,1995.916,4527.893,9385.558,8186.131,2976.263,4100.869,2360.259,2593.178,7017.24,3555.703,2415.108,6108.015,1219.13,9529.329,4965.15,0,1561.089,1339.446,4389.501,1674.014,2695.769,2906.805,539.953,1588.972,1386.993,760.824,4822.427,774.161,643.735,1479.981,7569.101,1063.888,2073.377,982.89,541.049,0,1328.44,4246.366,1193.834,1642.778,1217.142
