"district","hour","cs1","cs2","cs3","cs4","cs5"
"011","7am",3.543596,7.426804,42.1635,20.10667,26.759436
"012","7am",0,10.33873,45.57827,31.2819,12.8011
"013","7am",4.172717,11.655489,38.3824,29.94733,15.842071
"014","7am",7.244248,10.480646,50.16918,10.46486,21.641074
"015","7am",3.387446,14.358939,40.57744,26.41238,15.263791
"016","7am",1.703466,15.219563,40.06264,20.40971,22.60462
"017","7am",4.733191,24.947802,35.68948,24.3807,10.248829
"018","7am",0,14.855614,44.05396,21.7167,19.373728
"019","7am",1.288334,14.408738,36.24632,34.00557,14.051043
"020","7am",3.531306,11.000266,41.21012,25.04402,19.214283
"021","7am",2.563421,10.568104,44.61484,22.50124,19.752397
"022","7am",6.176439,21.931919,45.39159,17.51783,8.982228
"023","7am",0.463788,8.097628,44.99577,35.9072,10.535613
"024","7am",3.995358,28.605181,45.55769,16.7918,5.049975
"025","7am",5.391299,21.47323,37.59542,28.53496,7.005096
"026","7am",1.967365,22.352445,40.02927,26.20828,9.442648
"027","7am",5.832372,27.61103,31.85013,29.54063,5.165834
"028","7am",6.484257,19.662015,42.15085,21.10367,10.599211
"029","7am",1.940764,19.574566,47.52213,20.97392,9.988617
"030","7am",4.306635,19.190533,43.91209,18.45199,14.138754
"001","8am",4.9534442,20.597412,29.86958,35.91881,8.660752
"002","8am",3.3114365,18.387183,31.35165,38.14352,8.806218
"003","8am",3.8252345,19.080463,43.93845,21.4235,11.732348
"004","8am",4.6789983,18.755,38.73263,22.72726,15.106109
"005","8am",1.859531,14.501871,39.01953,36.27726,8.341807
"006","8am",2.9869852,20.355983,43.57774,21.89517,11.184121
"007","8am",3.0444186,28.153486,34.64466,22.02095,12.136493
"008","8am",1.8157527,13.067182,41.02089,32.56857,11.527601
"009","8am",3.135505,6.924957,36.95388,28.66749,24.318169
"010","8am",1.3902723,15.680646,33.69159,39.28719,9.950297
"011","8am",2.9938255,10.743767,46.71291,19.25957,20.289925
"012","8am",0,10.975255,44.12976,31.13737,13.757613
"013","8am",3.3789037,12.664935,34.7535,31.54565,17.657016
"014","8am",3.095721,8.822662,48.97523,12.64052,26.465858
"015","8am",3.3875998,14.359589,39.41381,22.5655,20.273505
"016","8am",1.9088835,12.003211,44.51409,26.72731,14.846508
"017","8am",5.0173061,25.138977,34.68138,24.70932,10.453019
"018","8am",0,14.682351,44.97857,20.04384,20.295243
"019","8am",1.2982927,17.064199,39.2047,31.51574,10.917066
"020","8am",3.8949704,11.477452,39.57461,23.12419,21.928783
"021","8am",2.5887487,10.541401,49.82402,23.75876,13.287066
"022","8am",5.952878,20.731624,43.60835,18.96419,10.742961
"023","8am",0.4927475,9.434068,45.9165,36.53252,7.624164
"024","8am",9.077841,25.075092,38.48346,21.20313,6.160475
