"district","hour","occ1","occ2","occ3","occ4","occ5"
"007","7am",32.75501,6.0853624,6.302222,51.00845,3.8489612
"008","7am",43.1056,2.9939391,1.150832,50.03994,2.7096863
"009","7am",52.64745,11.4348448,2.271367,29.57369,4.0726444
"010","7am",61.25403,5.3044392,3.299019,28.99619,1.1463191
"011","7am",42.29326,35.2590592,3.399923,17.93016,1.1175952
"012","7am",56.22107,6.9735206,1.988212,33.48864,1.3285607
"013","7am",49.45615,25.2412997,1.191941,21.72675,2.3838653
"014","7am",43.80294,15.8405138,5.75264,32.29999,2.3039138
"015","7am",66.61732,10.1302566,2.272571,19.7223,1.2575556
"016","7am",61.32097,6.8341133,8.032969,21.30148,2.5104716
"017","7am",46.98856,4.9184283,8.23167,33.59425,6.2670956
"018","7am",69.52183,0.6758188,3.448386,24.85237,1.5015907
"019","7am",54.15699,4.7957357,3.484108,34.88237,2.6808003
"020","7am",46.43944,5.4197276,1.47227,43.24316,3.4254019
"021","7am",43.57437,13.7281489,3.679862,35.05484,3.9627823
"022","7am",49.23893,4.1214751,4.535086,37.58604,4.5184679
"023","7am",56.85224,3.8652615,4.504275,33.84409,0.934135
"024","7am",53.07873,4.9266702,4.082816,33.07748,4.8343042
"025","7am",43.67493,1.6754874,4.378639,46.00093,4.2700193
"026","7am",51.10462,0.8783458,4.857926,42.44975,0.7093607
"027","7am",58.91687,3.2473267,3.046783,30.08696,4.7020669
"028","7am",37.65773,4.0133389,6.024073,47.55142,4.7534318
"029","7am",47.37291,3.5187199,7.03494,39.21201,2.861422
"030","7am",53.04559,6.6177555,5.026194,30.02827,5.2821983
"001","8am",49.77218,5.285619,8.5884404,34.3581,1.9956585
"002","8am",40.32687,9.865913,2.4424017,42.97669,4.3881224
"003","8am",49.50824,4.643045,2.6897642,38.50173,4.6572244
"004","8am",43.83613,2.691164,2.9921333,44.82901,5.6515641
"005","8am",36.24293,0,10.5840424,51.72637,1.4466616
"006","8am",50.89559,2.127341,2.8874861,38.30199,5.7875938
"007","8am",31.92649,3.335387,6.757442,53.8537,4.1269781
"008","8am",36.25386,2.305961,1.3222839,57.00452,3.1133765
"009","8am",55.85943,10.001062,2.2122422,27.96063,3.9666321
"010","8am",56.44044,3.730177,4.003876,34.43427,1.3912377
"011","8am",47.35233,32.928842,3.1267233,15.76928,0.8228259
"012","8am",54.9811,6.676775,2.4520227,34.56124,1.3288576
"013","8am",45.1268,33.315876,0.2245408,19.78181,1.5509695
