"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998";"9353.998"
"4am";"2549.460";"1281.994";"1979.898";"2470.084";"1120.649";"5386.773";"2383.390";"2779.337";"1538.017";"1286.488";"1399.570";" 462.490";"1347.239";"1083.047";"1086.623";" 901.410";" 594.386";" 844.170";"1204.732"
"5am";"2549.460";"1281.994";"1928.609";"2470.084";"1085.568";"5421.854";"2383.390";"2736.399";"1538.017";"1286.488";"1399.570";" 462.490";"1310.272";"1083.047";"1086.623";" 952.699";" 594.386";" 812.382";"1204.732"
"6am";"2500.445";"1254.669";"1928.609";"2470.084";"1108.816";"5458.274";"2383.390";"2736.399";"1514.769";"1265.411";"1399.570";" 462.490";"1363.801";"1083.047";"1048.731";" 952.699";" 594.386";" 846.892";"1204.732"
"7am";"2807.861";" 984.904";"1686.087";"2352.273";"1382.077";"6219.543";"2124.567";"2268.162";"1518.764";"1495.461";"1314.766";" 396.989";"1241.619";" 953.854";" 860.163";" 855.311";" 557.221";" 767.773";"1056.320"
"8am";"3551.369";" 715.319";"1389.124";"2105.551";"1375.331";"7171.433";"1837.071";"1610.811";"1418.479";"1212.497";"1133.566";" 363.645";"1169.204";" 998.511";" 673.970";"1014.423";" 507.035";" 795.074";" 987.229"
"9am";"3369.161";" 719.038";"1672.342";"1912.836";"1372.330";"7407.399";"2168.536";"1697.355";"1189.369";"1108.966";"1107.946";" 400.285";"1221.758";" 516.623";" 575.372";" 892.467";" 527.319";" 894.878";"1057.718"
"10am";"3675.635";" 594.770";"1584.688";"1783.902";"1388.516";"7590.272";"2039.760";"1708.292";"1183.946";"1494.696";"1231.689";" 504.494";"1397.311";" 624.863";" 605.905";" 913.199";" 535.402";" 970.311";" 924.182"
"11am";"3405.027";" 669.989";"1633.054";"1882.673";"1677.561";"7895.297";"1985.070";"2370.776";"1095.038";"1604.001";"1330.029";" 717.171";"1342.032";" 740.837";" 575.372";"1099.780";" 514.125";" 922.780";" 905.030"
