"district","hour","age1","age2","age3","age4"
"015","8am",407.04,864.96,4897.2,1551.84
"016","8am",636,585.12,2963.76,1030.32
"017","8am",699.6,432.48,2938.32,1373.76
"018","8am",852.24,661.44,2582.16,1284.72
"019","8am",597.84,470.64,2594.88,826.8
"020","8am",343.44,165.36,2289.6,1488.24
"021","8am",521.52,496.08,2912.88,1055.76
"022","8am",496.08,686.88,3892.32,2162.4
"023","8am",597.84,623.28,3332.64,1106.64
"024","8am",661.44,432.48,2391.36,1246.56
"025","8am",407.04,394.32,2760.24,1564.56
"026","8am",432.48,445.2,2353.2,1704.48
"027","8am",457.92,445.2,2811.12,1233.84
"028","8am",674.16,572.4,2747.52,890.4
"029","8am",928.56,2047.92,8178.96,636
"001","9am",1424.64,1831.68,9400.08,2544
"002","9am",3269.04,1106.64,5062.56,2264.16
"003","9am",521.52,559.68,3472.56,1577.28
"004","9am",1729.92,2213.28,8140.8,4413.84
"005","9am",3090.96,1399.2,6894.24,4121.28
"006","9am",1246.56,1221.12,6525.36,2289.6
"007","9am",1157.52,1424.64,7810.08,6118.32
"008","9am",1806.24,1004.88,4362.96,1729.92
"009","9am",572.4,407.04,2213.28,1500.96
"010","9am",432.48,445.2,2276.88,1831.68
"011","9am",610.56,585.12,2429.52,1119.36
"012","9am",1768.08,1157.52,6449.04,3676.08
"013","9am",1170.24,1704.48,6779.76,2976.48
"014","9am",686.88,610.56,3561.6,1335.6
"015","9am",419.76,839.52,4795.44,1513.68
"016","9am",597.84,585.12,2811.12,966.72
"017","9am",686.88,470.64,2900.16,1373.76
"018","9am",814.08,585.12,2391.36,1195.68
"019","9am",572.4,445.2,2467.68,801.36
"020","9am",330.72,152.64,2276.88,1399.2
"021","9am",521.52,470.64,2874.72,1043.04
"022","9am",496.08,648.72,3828.72,2086.08
"023","9am",572.4,572.4,3218.16,1017.6
"024","9am",661.44,407.04,2353.2,1208.4
"025","9am",381.6,343.44,2544,1488.24
"026","9am",419.76,445.2,2289.6,1704.48
"027","9am",470.64,432.48,2658.48,1195.68
"028","9am",674.16,572.4,2683.92,814.08
"029","9am",1004.88,2175.12,9031.2,814.08
"001","10am",1539.12,1806.24,9552.72,2569.44
"002","10am",3485.28,1157.52,5227.92,2251.44
"003","10am",483.36,597.84,3498,1653.6
"004","10am",1857.12,2238.72,8446.08,4630.08
"005","10am",3129.12,1361.04,6690.72,3981.36
"006","10am",1182.96,1221.12,6360,2264.16
"007","10am",1106.64,1386.48,7492.08,6029.28
"008","10am",1844.4,954,4350.24,1806.24
"009","10am",546.96,407.04,2098.8,1284.72
"010","10am",445.2,407.04,2353.2,1882.56
"011","10am",636,559.68,2518.56,1030.32
"012","10am",1717.2,1272,6690.72,3587.04
"013","10am",1081.2,1590,6665.28,2900.16
"014","10am",648.72,610.56,3498,1310.16
"015","10am",407.04,890.4,4859.04,1475.52
"016","10am",546.96,585.12,2645.76,941.28
"017","10am",648.72,483.36,2734.8,1195.68
"018","10am",763.2,636,2200.56,1132.08
"019","10am",534.24,445.2,2404.08,750.48
"020","10am",343.44,178.08,2200.56,1348.32
"021","10am",496.08,445.2,2658.48,928.56
"022","10am",496.08,636,3790.56,2009.76
"023","10am",559.68,534.24,3154.56,992.16
"024","10am",661.44,368.88,2340.48,1195.68
"025","10am",356.16,330.72,2442.24,1335.6
"026","10am",419.76,445.2,2162.4,1653.6
"027","10am",457.92,407.04,2607.6,1157.52
"028","10am",661.44,521.52,2569.44,788.64
"029","10am",1068.48,2327.76,9489.12,1106.64
"001","11am",1500.96,1958.88,9387.36,2391.36
"002","11am",3472.56,1119.36,5037.12,2238.72
"003","11am",483.36,508.8,3408.96,1577.28
"004","11am",1971.6,2175.12,8344.32,4553.76
"005","11am",3154.56,1424.64,6805.2,3968.64
"006","11am",1132.08,1182.96,6665.28,2327.76
"007","11am",1144.8,1475.52,7403.04,5902.08
"008","11am",1768.08,966.72,4388.4,1742.64
"009","11am",521.52,470.64,2251.44,1399.2
"010","11am",432.48,381.6,2302.32,1882.56
"011","11am",648.72,597.84,2505.84,1170.24
"012","11am",1857.12,1208.4,6741.6,3587.04
"013","11am",1106.64,1590,6563.52,2925.6
"014","11am",674.16,623.28,3498,1322.88
"015","11am",381.6,852.24,4960.8,1488.24
"016","11am",597.84,546.96,2683.92,1030.32
"017","11am",610.56,508.8,2696.64,1284.72
"018","11am",725.04,585.12,2315.04,1182.96
"019","11am",559.68,419.76,2391.36,763.2
"020","11am",343.44,178.08,2162.4,1373.76
"021","11am",470.64,445.2,2709.36,928.56
"022","11am",470.64,686.88,3828.72,2022.48
"023","11am",559.68,508.8,3256.32,1043.04
"024","11am",623.28,394.32,2251.44,1195.68
"025","11am",394.32,343.44,2493.12,1310.16
"026","11am",407.04,419.76,2226,1679.04
"027","11am",470.64,419.76,2620.32,1195.68
"028","11am",661.44,546.96,2620.32,801.36
"029","11am",1043.04,2315.04,9450.96,1221.12
"001","12am",1539.12,1882.56,8853.12,2454.96
"002","12am",3434.4,1132.08,4795.44,2315.04
"003","12am",457.92,546.96,3459.84,1640.88
"004","12am",1971.6,2162.4,8509.68,4464.72
"005","12am",3167.28,1386.48,6830.64,3714.24
"006","12am",1119.36,1221.12,6779.76,2327.76
"007","12am",1093.92,1462.8,7326.72,5863.92
"008","12am",1653.6,941.28,4223.04,1857.12
"009","12am",546.96,496.08,2429.52,1475.52
"010","12am",419.76,343.44,2276.88,1946.16
"011","12am",674.16,559.68,2569.44,1170.24
"012","12am",1818.96,1246.56,6767.04,3612.48
"013","12am",1106.64,1539.12,6601.68,2862
"014","12am",686.88,636,3447.12,1297.44
"015","12am",394.32,864.96,4909.92,1488.24
"016","12am",648.72,521.52,2722.08,1055.76
"017","12am",585.12,496.08,2836.56,1335.6
"018","12am",737.76,572.4,2340.48,1195.68
"019","12am",546.96,407.04,2391.36,763.2
"020","12am",356.16,190.8,2213.28,1411.92
"021","12am",445.2,432.48,2747.52,915.84
"022","12am",470.64,674.16,3816,2009.76
"023","12am",572.4,496.08,3205.44,1017.6
"024","12am",610.56,394.32,2378.64,1182.96
"025","12am",419.76,330.72,2531.28,1348.32
"026","12am",394.32,445.2,2302.32,1577.28
"027","12am",445.2,445.2,2582.16,1170.24
"028","12am",661.44,572.4,2594.88,801.36
"029","12am",1043.04,2302.32,9476.4,1310.16
"001","1pm",1551.84,1908,9501.84,2658.48
"002","1pm",3548.88,1170.24,5037.12,2226
"003","1pm",457.92,534.24,3472.56,1602.72
"004","1pm",2060.64,2302.32,8853.12,4922.64
"005","1pm",3269.04,1284.72,6398.16,3485.28
"006","1pm",1030.32,1221.12,6385.44,2111.52
"007","1pm",1017.6,1475.52,7301.28,5927.52
"008","1pm",1755.36,915.84,4121.28,1742.64
"009","1pm",521.52,432.48,2264.16,1322.88
"010","1pm",445.2,305.28,2378.64,1971.6
"011","1pm",648.72,559.68,2582.16,1348.32
"012","1pm",1780.8,1221.12,6665.28,3676.08
"013","1pm",1081.2,1500.96,6741.6,2874.72
"014","1pm",686.88,610.56,3421.68,1310.16
"015","1pm",407.04,890.4,4820.88,1424.64
"016","1pm",572.4,534.24,2747.52,928.56
"017","1pm",559.68,521.52,2963.76,1272
"018","1pm",725.04,623.28,2238.72,1195.68
"019","1pm",546.96,432.48,2391.36,750.48
"020","1pm",356.16,178.08,2047.92,1322.88
"021","1pm",445.2,407.04,2734.8,890.4
"022","1pm",496.08,674.16,3777.84,1920.72
"023","1pm",572.4,508.8,3040.08,992.16
"024","1pm",610.56,394.32,2276.88,1119.36
"025","1pm",407.04,292.56,2454.96,1157.52
"026","1pm",381.6,470.64,2200.56,1513.68
"027","1pm",470.64,432.48,2531.28,1106.64
"028","1pm",674.16,572.4,2633.04,775.92
"029","1pm",1081.2,2442.24,9832.56,1513.68
"001","2pm",1551.84,1908,9298.32,2683.92
"002","2pm",3408.96,1157.52,5024.4,2175.12
"003","2pm",470.64,508.8,3345.36,1564.56
"004","2pm",2022.48,2302.32,8420.64,4973.52
"005","2pm",3154.56,1284.72,6360,3523.44
"006","2pm",1081.2,1195.68,6347.28,2035.2
"007","2pm",1055.76,1462.8,7504.8,5647.68
"008","2pm",1755.36,1055.76,4235.76,1793.52
"009","2pm",572.4,407.04,2276.88,1272
"010","2pm",432.48,305.28,2238.72,1818.96
"011","2pm",699.6,534.24,2747.52,1704.48
"012","2pm",1755.36,1221.12,6741.6,3587.04
"013","2pm",1106.64,1526.4,6550.8,2683.92
"014","2pm",699.6,636,3485.28,1297.44
"015","2pm",394.32,852.24,4833.6,1411.92
"016","2pm",610.56,521.52,2938.32,954
"017","2pm",546.96,572.4,3141.84,1272
"018","2pm",737.76,699.6,2289.6,1182.96
"019","2pm",585.12,407.04,2391.36,737.76
"020","2pm",343.44,165.36,2060.64,1284.72
"021","2pm",496.08,419.76,2823.84,852.24
"022","2pm",483.36,648.72,3917.76,1971.6
"023","2pm",546.96,521.52,2925.6,966.72
"024","2pm",623.28,407.04,2353.2,1195.68
"025","2pm",407.04,318,2467.68,1170.24
"026","2pm",407.04,483.36,2238.72,1488.24
"027","2pm",470.64,419.76,2493.12,1106.64
"028","2pm",674.16,610.56,2696.64,775.92
"029","2pm",1132.08,2340.48,9578.16,1450.08
"001","3pm",966.72,1818.96,8560.56,2480.4
"002","3pm",2760.24,1093.92,4719.12,2047.92
"003","3pm",521.52,559.68,3485.28,1564.56
"004","3pm",1831.68,2162.4,7771.92,4528.32
"005","3pm",2925.6,1246.56,6360,3612.48
"006","3pm",1462.8,1386.48,6830.64,2289.6
"007","3pm",1322.88,1437.36,7492.08,5749.44
"008","3pm",1157.52,1004.88,4375.68,1793.52
"009","3pm",636,457.92,2582.16,1348.32
"010","3pm",496.08,330.72,2493.12,1908
"011","3pm",864.96,534.24,2747.52,1437.36
"012","3pm",1628.16,1246.56,6270.96,3599.76
"013","3pm",1513.68,1500.96,6906.96,2811.12
"014","3pm",674.16,674.16,3523.44,1335.6
"015","3pm",457.92,826.8,4782.72,1475.52
"016","3pm",686.88,597.84,3180,1055.76
"017","3pm",661.44,546.96,3345.36,1361.04
"018","3pm",826.8,661.44,2594.88,1272
"019","3pm",636,457.92,2645.76,737.76
"020","3pm",343.44,139.92,2162.4,1322.88
"021","3pm",559.68,483.36,3014.64,890.4
"022","3pm",432.48,661.44,3930.48,1971.6
"023","3pm",572.4,496.08,2874.72,979.44
"024","3pm",636,445.2,2467.68,1208.4
"025","3pm",432.48,419.76,2709.36,1335.6
"026","3pm",419.76,445.2,2315.04,1513.68
"027","3pm",521.52,419.76,2671.2,1132.08
"028","3pm",686.88,623.28,2785.68,826.8
"029","3pm",1017.6,1844.4,8217.12,1195.68
"001","4pm",763.2,1208.4,5978.4,2175.12
"002","4pm",2009.76,1144.8,4057.68,2022.48
"003","4pm",572.4,610.56,3358.08,1475.52
"004","4pm",1717.2,2009.76,7135.92,4197.6
"005","4pm",2454.96,1170.24,5978.4,4006.8
"006","4pm",1755.36,1399.2,7708.32,2391.36
"007","4pm",1564.56,1386.48,7530.24,5952.96
"008","4pm",1004.88,1055.76,4401.12,1920.72
"009","4pm",737.76,585.12,3243.6,1462.8
"010","4pm",546.96,318,2823.84,1920.72
"011","4pm",966.72,648.72,3358.08,1106.64
"012","4pm",1475.52,1361.04,6627.12,3650.64
"013","4pm",2136.96,1704.48,7771.92,2938.32
"014","4pm",763.2,725.04,3548.88,1361.04
"015","4pm",445.2,648.72,4273.92,1526.4
"016","4pm",826.8,661.44,3739.68,1157.52
"017","4pm",763.2,623.28,3930.48,1348.32
"018","4pm",966.72,852.24,3294.48,1246.56
"019","4pm",725.04,597.84,3052.8,750.48
"020","4pm",432.48,190.8,2429.52,1373.76
"021","4pm",610.56,699.6,3396.24,979.44
"022","4pm",356.16,674.16,3714.24,1984.32
"023","4pm",623.28,546.96,3078.24,1030.32
"024","4pm",686.88,534.24,2582.16,1221.12
"025","4pm",585.12,521.52,3256.32,1526.4
"026","4pm",457.92,419.76,2633.04,1640.88
"027","4pm",534.24,407.04,2862,1195.68
"028","4pm",686.88,636,3014.64,826.8
"029","4pm",737.76,1144.8,4922.64,648.72
"001","5pm",648.72,814.08,3790.56,2086.08
"002","5pm",1500.96,1004.88,3065.52,2060.64
"003","5pm",648.72,712.32,3345.36,1500.96
"004","5pm",1602.72,1895.28,6665.28,3994.08
"005","5pm",2264.16,1233.84,6309.12,4044.96
"006","5pm",1984.32,1615.44,8242.56,2531.28
"007","5pm",1679.04,1539.12,8280.72,5978.4
"008","5pm",928.56,890.4,4324.8,1844.4
"009","5pm",864.96,597.84,3790.56,1577.28
"010","5pm",636,407.04,2951.04,1869.84
"011","5pm",1055.76,648.72,3485.28,1119.36
"012","5pm",1500.96,1424.64,7059.6,3637.92
"013","5pm",2124.24,1653.6,8026.32,3001.92
