"district","hour","rev5","rev1","rev2","rev3","rev4"
"001","4am",18.82353,43.058824,19.05882,15.05882,4
"002","4am",21.66302,41.137856,21.22538,14.44201,1.531729
"003","4am",16.82785,42.166344,22.24371,13.34623,5.415861
"004","4am",21.01167,30.642023,29.57198,14.49416,4.280156
"005","4am",19.65423,20.10919,25.84167,24.56779,9.827116
"006","4am",19.38291,12.420886,29.74684,26.89873,11.550633
"007","4am",19.01639,33.967213,30.62295,14.03279,2.360656
"008","4am",17.48727,22.071307,32.25806,23.42954,4.75382
"009","4am",21.35177,9.831029,27.80338,31.95084,9.06298
"010","4am",18.32994,21.995927,30.14257,22.19959,7.331976
"011","4am",16.69691,15.426497,26.67877,26.49728,14.700544
"012","4am",18.95307,22.021661,30.95668,23.10469,4.963899
"013","4am",19.46688,11.712439,24.71729,29.96769,14.135703
"014","4am",25.57319,20.634921,23.98589,22.22222,7.583774
"015","4am",18.68687,20.875421,26.59933,26.59933,7.239057
"016","4am",19.39587,18.124006,28.93482,24.00636,9.538951
"017","4am",19.72686,15.326252,32.92868,23.52049,8.497724
"018","4am",19.51952,16.366366,38.43844,19.51952,6.156156
"019","4am",21.23552,20.07722,32.81853,21.04247,4.826255
"020","4am",19.67963,17.162471,35.69794,22.1968,5.263158
"021","4am",19.19721,17.452007,34.20593,19.54625,9.598604
"022","4am",19.49911,25.939177,25.76029,23.97138,4.830054
"023","4am",18.28154,27.056673,36.01463,14.07678,4.570384
"024","4am",18.81838,21.66302,40.04376,15.53611,3.938731
"025","4am",15.25705,21.06136,41.62521,17.2471,4.809287
"026","4am",16.42412,31.392931,35.13514,13.51351,3.534304
"027","4am",24.67532,22.727273,29.43723,17.74892,5.411255
"028","4am",18.35443,19.198312,40.92827,19.62025,1.898734
"029","4am",14.28571,14.285714,16.88312,42.85714,11.688312
"001","5am",19.04762,41.950113,19.04762,15.87302,4.081633
"002","5am",21.52174,41.086957,21.30435,14.78261,1.304348
"003","5am",16.79537,42.471042,22.20077,13.32046,5.212355
"004","5am",21.19725,30.421982,29.73503,14.42591,4.219823
"005","5am",19.81735,20.091324,25.84475,24.56621,9.680365
"006","5am",19.31365,12.370311,29.92817,26.81564,11.572227
"007","5am",19.08851,33.817701,30.91149,13.87054,2.311757
"008","5am",17.66724,21.955403,32.41852,23.15609,4.802744
"009","5am",21.27329,9.782609,27.79503,31.98758,9.161491
"010","5am",17.92261,22.199593,30.34623,21.99593,7.535642
"011","5am",16.48352,15.384615,27.10623,26.19048,14.835165
"012","5am",18.95307,22.111913,31.04693,23.10469,4.783394
"013","5am",19.6748,11.788618,24.79675,29.8374,13.902439
"014","5am",25.70922,20.567376,23.93617,22.16312,7.624113
"015","5am",18.61252,20.642978,25.71912,27.58037,7.445008
"016","5am",19.60784,18.137255,28.92157,23.85621,9.477124
"017","5am",19.19505,15.634675,33.12693,23.52941,8.513932
"018","5am",19.6347,16.590563,38.05175,19.4825,6.240487
"019","5am",21.4425,20.077973,32.55361,21.24756,4.678363
"020","5am",19.81567,17.281106,35.48387,22.11982,5.299539
"021","5am",19.57672,17.813051,33.5097,19.40035,9.700176
"022","5am",19.34901,26.220615,25.49729,24.23146,4.701627
"023","5am",18.36364,27.454545,36.18182,13.63636,4.363636
"024","5am",19.02655,21.460177,40.04425,15.48673,3.982301
"025","5am",15.41039,20.938023,41.87605,17.08543,4.690117
"026","5am",16.5272,31.589958,34.72803,13.59833,3.556485
"027","5am",24.67249,22.707424,29.47598,17.68559,5.458515
"028","5am",18.4322,19.279661,40.88983,19.27966,2.118644
"029","5am",16.94915,13.559322,22.88136,36.44068,10.169492
"001","6am",18.91892,36.486486,21.81467,16.79537,5.984556
"002","6am",21.32196,39.872068,20.89552,15.35181,2.558635
"003","6am",16.99219,41.796875,22.26563,13.86719,5.078125
"004","6am",21.33727,29.498525,29.49853,15.04425,4.621436
"005","6am",19.52555,20.346715,26.00365,24.45255,9.671533
"006","6am",19.13531,12.409928,30.26421,26.82146,11.369095
"007","6am",19.18367,34.285714,30.68027,13.60544,2.244898
"008","6am",17.54685,22.657581,32.53833,21.97615,5.28109
"009","6am",21.67488,9.852217,27.0936,32.0197,9.359606
"010","6am",18.08732,22.869023,30.35343,21.41372,7.276507
"011","6am",16.76413,16.569201,27.48538,25.53606,13.645224
"012","6am",19.37912,22.483537,30.85607,22.76576,4.515522
"013","6am",20.05055,12.131424,25.02106,29.57035,13.226622
"014","6am",25.35971,21.043165,24.28058,21.76259,7.553957
"015","6am",18.09524,19.047619,24.92063,29.04762,8.888889
"016","6am",20.48193,18.072289,28.57143,23.40792,9.466437
"017","6am",19.87076,16.478191,32.63328,23.42488,7.592892
"018","6am",19.96753,17.532468,37.98701,18.83117,5.681818
"019","6am",20.66806,20.876827,31.73278,22.3382,4.384134
"020","6am",19.18465,17.266187,36.21103,22.30216,5.035971
"021","6am",20.11278,18.421053,32.70677,19.3609,9.398496
"022","6am",19.48998,26.047359,25.68306,24.22587,4.553734
"023","6am",18.56061,27.651515,35.98485,13.06818,4.734848
"024","6am",19.81352,22.144522,38.22844,15.85082,3.962704
"025","6am",15.76087,21.92029,42.02899,16.12319,4.166667
"026","6am",16.7756,32.026144,34.42266,13.50763,3.267974
"027","6am",24.49438,23.146067,29.66292,17.52809,5.168539
"028","6am",18.24176,19.78022,41.0989,18.68132,2.197802
"029","6am",16.49485,12.714777,27.14777,32.64605,10.996564
