"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"6pm";"43.86207";"45.42254";"41.27466";"43.47826";"44.29161";"42.70650";"43.06987";"44.09091";"45.11278";"47.42901";"44.70094";"43.15789";"47.96855";"48.01325";"49.40978";"48.54482";"46.33333";"48.50895";"49.63397";"49.83108";"47.52322";"47.93388";"49.33993";"48.71355";"50.68259";"50.16779";"45.45455";"48.36193";"52.92398"
"7pm";"44.92350";"44.50355";"41.38973";"44.52381";"44.64534";"42.60870";"43.34471";"44.99253";"45.50898";"47.37255";"44.64475";"43.59244";"48.53333";"46.95222";"49.50166";"47.82110";"46.04200";"47.88462";"49.70930";"49.75450";"47.46544";"47.10744";"49.50980";"48.82155";"51.36054";"48.50993";"45.96376";"47.67081";"52.94118"
"8pm";"45.34075";"44.77352";"41.39466";"43.82716";"44.71429";"42.43986";"43.13501";"45.00000";"45.54745";"47.63033";"45.02315";"43.66492";"48.33111";"47.45223";"48.50394";"47.38636";"46.29032";"48.03738";"49.78784";"50.07949";"47.62634";"47.72727";"49.36709";"49.16944";"50.49834";"48.55305";"45.61258";"47.63359";"54.02685"
"9pm";"45.93373";"45.72426";"40.84720";"44.15423";"43.63636";"42.78438";"42.88991";"45.01511";"44.93759";"47.21099";"44.73358";"43.83562";"47.61905";"46.69739";"49.32331";"47.85632";"45.99686";"48.19495";"49.66079";"49.53560";"47.77948";"48.21151";"49.30448";"49.27769";"50.55821";"49.13112";"45.07513";"47.91045";"54.02299"
"10pm";"46.31083";"45.15571";"41.65414";"43.33748";"43.84000";"42.69103";"42.67877";"45.56575";"44.49036";"47.18430";"44.80103";"43.84695";"47.54316";"46.08696";"49.92743";"47.67442";"45.98765";"48.16112";"49.73475";"49.61832";"47.32006";"49.09091";"49.09366";"48.96661";"50.62696";"49.06542";"45.02924";"47.59124";"54.73251"
"11pm";"46.21711";"44.69178";"41.28167";"43.66544";"43.42949";"42.64463";"42.69406";"45.85890";"45.14364";"47.94872";"44.77807";"43.27122";"47.09763";"46.55172";"50.50072";"47.80600";"46.66667";"48.11644";"50.06623";"49.31921";"47.18417";"49.24699";"49.09910";"48.81517";"50.61728";"49.84663";"45.04580";"47.46744";"54.09091"
"12pm";"46.36210";"44.57627";"41.48148";"43.54244";"43.15287";"42.59868";"43.16877";"45.94181";"45.10870";"47.65158";"44.51697";"43.07851";"47.73333";"46.70487";"50.71429";"47.97688";"46.59607";"48.19897";"49.86807";"49.47368";"46.96049";"49.32735";"49.18033";"48.89241";"50.46440";"49.69325";"44.93355";"47.75687";"54.02844"
"1am";"46.75768";"44.76351";"41.21123";"43.70370";"43.15287";"42.62295";"43.31797";"45.94181";"44.98645";"47.47648";"44.70588";"43.16547";"47.86096";"46.63805";"50.85714";"47.86127";"46.52568";"48.19897";"49.73684";"49.47368";"46.96049";"49.40299";"48.96142";"48.89241";"50.38640";"49.54128";"44.89627";"47.75687";"53.65854"
"2am";"46.65493";"44.94949";"41.38439";"43.68812";"42.94872";"42.92683";"43.13725";"45.71865";"44.92558";"47.49363";"44.95413";"43.23770";"47.86096";"46.79030";"50.92725";"47.74566";"46.53614";"48.10345";"49.80289";"49.32127";"46.80851";"49.40476";"48.88559";"49.05363";"50.38640";"49.69419";"44.94196";"47.61216";"53.43137"
"3am";"46.88057";"44.94949";"41.23711";"43.67246";"42.88000";"42.85714";"43.13725";"45.71865";"44.86486";"47.54237";"44.95413";"43.17949";"47.79706";"46.72365";"50.92725";"47.80600";"46.53614";"48.10345";"49.80289";"49.39759";"46.81818";"49.47994";"48.88559";"49.05363";"50.38640";"49.69419";"44.94196";"47.61216";"53.00000"
