"hour","001","002","003","004","006","007","008","009","010","011","012","013","014"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0
"max",4933.388,4933.388,4933.388,4933.388,4933.388,4933.388,4933.388,4933.388,4933.388,4933.388,4933.388,4933.388,4933.388
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,0,0,0,0,0,0,0,0,0,0,0,0
"7am",2190.396,1074.937,1571.49,1092.161,668.232,447.995,1262.812,0,0,625.249,0,0,0
"8am",4285.228,2801.456,3454.24,1212.255,1309.035,955.388,1874.08,0,0,827.151,431.611,518.177,0
"9am",4709.386,2686.565,3678.522,1721.568,1461.532,1049.039,2508.423,0,0,923.618,577.53,501.305,572.789
"10am",4846.663,2747.147,3774.4,1805.045,1554.815,1217.128,2488.424,0,0,783.759,594.83,515.4,953.715
"11am",4592.858,2139.41,3040.076,1622.41,1306.173,1062.617,2078.065,0,0,715.624,602.054,512.768,390.61
"12am",3362.916,1209.854,1764.933,1014.678,747.716,432.227,1610.392,0,0,678.187,414.429,400.456,0
"1pm",4081.462,2431.106,2895.22,1282.765,1175.319,886.088,2045.135,0,0,930.863,469.832,451.111,0
"2pm",4933.388,2922.456,3448.545,1180.858,1876.632,1371.165,2203.85,743.014,367.415,756.162,900.213,421.719,882.992
"3pm",4789.305,2982.847,3535.654,1394.922,1776.461,1447.086,2152.616,0,387.339,691.63,942.444,582.899,789.267
"4pm",4243.073,3114.087,3309.382,1048.161,1621.516,869.501,1935.221,0,429.471,669.863,863.021,508.344,916.664
"5pm",2524.573,1791.731,2336.593,817.812,895.792,564.406,1361.28,0,0,422.947,705.093,372.213,721.126
"6pm",1083.758,670.256,993.231,990.77,528.052,0,948.658,0,0,0,263.109,0,0
"7pm",856.928,0,976.29,0,0,0,731.838,0,0,0,0,0,0
"8pm",569.874,520.969,872.828,0,0,0,365.783,0,0,0,0,0,0
"9pm",486.879,0,563.063,0,0,0,0,0,0,0,0,0,0
"10pm",338.719,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0
