"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892";"5921.74892"
"4am";" 381.3217";"2266.7858";"1231.3463";" 630.4668";"1229.2389";" 463.5861";" 739.1556";"1808.6133";"1192.3364";"1269.7244";"1258.0050";"2620.2859";" 807.1662";" 876.7596";" 488.8156";" 306.2992";" 657.6694";"1057.2262";" 827.3462";" 919.6610";"1750.9472";"1917.0414";" 822.3623";" 741.6997";"1920.5807";"1277.6746";"1498.2784";" 875.8980";"1238.1839";"2170.2753";"2956.8106"
"5am";" 381.3217";"2076.8385";"1210.5405";" 630.4668";"1229.2389";" 463.5861";" 748.6220";"1730.3265";"1200.1602";"1258.1524";"1068.9657";"2569.4854";" 807.1662";"1054.5832";" 455.8973";" 273.9483";" 766.8224";"1057.2262";" 967.6294";"1276.6549";"1643.3134";"1844.3380";" 822.3623";" 808.9106";"1781.8621";"1151.0557";"1498.2784";" 755.4158";"1203.1616";"2049.1738";"2956.8106"
"6am";" 370.6482";"1764.5403";"1275.7441";" 630.4668";"1066.8209";" 645.0288";" 869.7235";"1713.4214";"1244.8226";"1125.8043";"1033.8821";"2310.3343";" 764.5100";"1212.1365";" 412.4221";" 244.0493";" 766.8224";" 946.6710";"1075.1383";"1314.5814";"1136.4865";"1698.9309";" 822.3623";" 858.6643";"1781.8621";"1117.4562";"1498.2784";" 755.4158";"1231.3138";"2046.8423";"2869.0789"
"7am";" 390.7235";"1785.1243";"1293.0719";" 651.3140";"1025.3553";" 373.0740";" 732.5896";"1684.8524";"1144.1957";"1245.8885";" 942.9792";"2220.7638";" 764.5100";"1747.7856";" 415.5114";" 248.3130";" 808.8754";" 796.9196";"1231.2423";"1374.5871";" 867.8733";"1702.3171";" 822.3623";" 842.5544";"1681.5745";" 839.1289";"1271.9032";" 815.9293";"1183.0002";"1987.7927";"2643.0177"
"8am";" 626.1782";"1700.9252";"1338.0749";" 694.0829";" 998.7870";" 321.5463";" 796.8214";"1448.0324";" 906.8760";"1214.2178";" 964.4241";"2044.8934";" 615.1462";"2025.6396";" 360.0496";" 177.7469";" 713.5671";" 697.4693";"1335.6755";"1529.1151";" 950.1684";"1377.8384";" 782.1788";" 774.2292";"1584.1700";" 904.3945";"1203.5092";" 789.5875";"1194.8699";"1948.0150";"2643.0177"
"9am";" 764.8034";"1892.9742";"1581.0705";" 619.2048";" 807.5451";" 321.5463";" 892.6861";"1390.8036";" 870.7446";"1180.2055";" 913.1890";"1922.7055";" 510.7141";"2216.9853";" 342.8788";" 119.3831";" 721.7159";" 618.3101";"1342.4887";"2111.8719";"1021.6472";"1246.9584";" 699.5099";" 814.4127";"1503.2422";" 781.6202";"1076.3167";" 795.7249";" 969.4489";"2031.4215";"2508.1820"
"10am";" 910.0009";"1580.8157";"1603.4810";" 693.1085";" 659.8000";" 359.7505";" 932.4000";"1370.5391";" 989.3312";"1118.9682";" 809.2465";"1924.3517";" 564.3191";"2041.1299";" 363.5189";" 209.3431";" 730.1434";" 820.9541";"1203.2867";"2110.3604";"1028.5281";"1470.5489";" 706.1617";" 774.2292";"1489.6626";" 881.2874";"1076.3167";" 831.4248";"1171.2184";"1779.5614";"2263.0219"
"11am";" 879.5082";"1760.2418";"1289.0765";" 588.7270";" 681.7073";" 177.9670";" 759.2564";"1403.7351";" 996.6627";"1124.5853";" 936.1984";"2057.9245";" 661.8441";"1830.3970";" 306.2712";" 195.3839";" 686.5872";" 880.2599";"1176.5176";"1874.2314";"1056.8649";"1544.4837";" 686.1968";" 892.8944";"1649.0720";" 781.6202";"1252.4788";" 971.8402";"1089.6775";"1904.1326";"2392.1246"
