"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329";"56.0035512519329"
"4am";"19.503103";"11.930597";"26.516287";"21.160229";" 3.620991";"13.845125";" 6.419068";" 5.863737";"10.775142";"19.883956";"12.292745";"17.044759";"27.149086";" 6.713738";"10.742723";" 9.853967";"12.972921";"16.664379";"10.507284";"11.715838";"16.346968";"11.093085";"19.773487";"18.515192";"23.377354";"36.263962";"22.937507";"16.269904"
"5am";"19.495653";"11.857564";"26.641837";"21.019629";" 3.650787";"13.962553";" 6.519575";" 5.885557";"10.737474";"19.636404";"12.664454";"17.270475";"27.222360";" 6.995351";"10.818365";" 9.723362";"12.980679";"16.986030";"10.564745";"12.136121";"15.792223";"11.164796";"20.122511";"17.905539";"23.549000";"36.263962";"23.118601";"16.279944"
"6am";"20.222335";"11.915631";"25.948629";"21.571783";" 3.827910";"13.075014";" 6.497417";" 5.315520";"11.120689";"18.495822";"12.318319";"17.580616";"27.827337";" 6.524977";"10.536924";" 9.019406";"13.203551";"18.091320";"10.743900";"11.677437";"15.409892";"11.498251";"20.424056";"19.445733";"23.856648";"34.137147";"22.516190";"16.755934"
"7am";"21.188876";"13.645657";"25.567002";"18.251662";" 7.012656";"12.956509";" 9.569948";" 5.285351";"11.372213";"15.096734";"13.800737";"17.793595";"21.471607";" 5.429257";" 8.645656";" 8.814920";"13.234533";" 9.578636";" 8.176501";"10.439695";"13.931002";"12.668445";"21.869143";"19.724742";"19.631086";"29.436464";"18.616008";"12.924486"
"8am";"22.267207";"14.415863";"22.048190";"18.946927";"12.070385";"14.651684";" 8.268310";" 7.628605";" 9.860238";"11.820462";"18.454920";"16.891335";"16.591483";" 8.673555";"11.428571";" 8.689101";"12.486285";" 6.029993";" 7.216536";"11.899765";"10.514895";"10.585224";"17.180987";"14.069973";"16.939290";"26.308084";"14.554546";"10.970470"
"9am";"20.683344";"15.039776";"20.246894";"17.228339";"14.786405";"14.537720";" 7.638977";"10.151859";"10.442297";"10.025491";"21.285682";"16.921143";"17.190608";" 8.965362";"12.166755";" 8.556390";"12.135953";" 5.608890";" 7.140590";"13.590584";" 9.808943";" 9.430035";"16.597163";"13.184526";"14.040221";"27.892807";"12.950112";"11.831761"
"10am";"22.676303";"15.610280";"22.363770";"15.365672";"15.045748";"13.457528";" 8.018242";" 8.545955";" 9.613341";" 9.934886";"20.110543";"16.982658";"13.889567";" 9.193841";"10.804195";" 8.823035";"13.020884";" 3.488477";" 9.922534";"11.698454";" 9.259928";" 9.553416";"12.957477";"10.430439";"11.627378";"30.027456";"12.503656";"11.600646"
"11am";"22.072096";"14.173304";"24.394351";"15.260268";"14.359751";"17.056429";" 8.056348";" 8.507340";" 7.230067";"11.608890";"21.324593";"14.985424";"13.486423";" 9.985934";"10.290275";"10.471281";"11.307735";" 3.271997";" 9.657989";"12.170976";" 9.933209";" 9.327797";"12.503802";" 9.938371";"14.636110";"30.053130";"12.012125";" 9.445927"
