"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704";"1785.08704"
"max";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506";"10205.38506"
"4am";"6672.133";"4575.756";"7012.488";"4906.306";"5158.657";"4644.831";"5921.927";"5526.632";"3512.543";"4693.243";"5039.022";"5516.949";"4989.854";"4058.796";"4905.507";"3926.829";"5771.740";"3708.531";"3926.811";"7246.471";"5516.962";"4048.068";"4558.231";"2952.662";"5201.433";"4520.195";"4716.798";"4881.986";"4336.633";"4895.526"
"5am";"6672.133";"4599.296";"7012.488";"4868.521";"5109.009";"4644.831";"6002.287";"5450.533";"3494.231";"4441.868";"5199.704";"5782.065";"4989.854";"4042.284";"4905.507";"4265.802";"5771.740";"3685.796";"3957.937";"7266.234";"5471.656";"3757.885";"4527.105";"2876.110";"4991.438";"4549.214";"4775.748";"4881.986";"4129.719";"4895.526"
"6am";"6608.099";"4574.716";"7073.190";"4694.458";"5044.194";"4670.541";"5262.519";"5267.062";"3952.635";"4240.193";"5270.315";"5702.641";"5030.202";"4009.258";"5203.492";"4215.329";"5664.555";"3676.409";"3396.124";"7461.058";"5159.209";"3757.885";"4402.656";"2754.020";"4847.394";"4549.214";"4642.674";"4766.200";"3897.829";"5096.318"
"7am";"6345.343";"4030.791";"7238.362";"4775.168";"4268.978";"4465.426";"4973.525";"4776.933";"4441.513";"3981.739";"6849.957";"5541.355";"5683.093";"3861.928";"5233.094";"4965.490";"4938.808";"3202.177";"3117.994";"6880.677";"4927.808";"3429.521";"3765.733";"2820.575";"4935.205";"4323.002";"4265.153";"4463.240";"3583.163";"4862.088"
"8am";"6692.810";"4240.225";"7735.711";"5000.990";"3658.528";"4080.324";"4028.356";"4260.786";"4986.232";"3007.759";"7942.475";"5211.152";"6528.495";"3517.545";"3555.894";"7544.421";"4583.466";"3081.284";"3439.241";"5630.481";"5223.140";"3466.116";"3471.517";"2759.271";"5217.947";"3809.589";"3796.971";"3974.047";"3088.161";"4969.401"
"9am";"6390.510";"4468.591";"7847.309";"4662.465";"3666.479";"3923.239";"4021.013";"4382.119";"5324.757";"2927.099";"8656.056";"5054.360";"6354.994";"3228.845";"3561.711";"8457.064";"4490.834";"2968.035";"3825.833";"5965.255";"5506.590";"3113.488";"2788.455";"3055.664";"5255.373";"3970.771";"3731.023";"3982.114";"2732.180";"5329.932"
"10am";"6241.003";"4297.928";"8168.811";"4712.890";"3508.099";"3657.975";"3999.542";"4364.115";"5151.672";"2610.032";"9081.840";"5074.154";"6826.263";"3384.969";"3345.014";"9005.604";"4384.123";"2774.794";"3509.805";"6088.355";"5509.197";"3040.861";"2825.366";"3151.628";"4857.094";"3713.475";"3682.955";"3914.150";"2809.001";"5568.768"
"11am";"6182.401";"4078.020";"7940.464";"4710.323";"3763.763";"4040.189";"4248.936";"4166.400";"5188.598";"2846.204";"8883.589";"5418.790";"6351.522";"3276.350";"3498.608";"8342.867";"4160.060";"2703.411";"3784.522";"5753.814";"5827.830";"2898.485";"2937.272";"3248.843";"4667.299";"3684.407";"3474.209";"4038.525";"3233.967";"5030.314"
"12am";"6371.695";"4158.212";"7810.563";"4790.271";"3753.874";"3887.678";"4475.188";"4335.030";"5367.338";"3314.100";"9299.492";"5127.642";"6623.601";"3412.277";"3569.780";"7433.378";"4496.151";"3032.108";"4290.635";"5797.437";"5232.215";"3309.250";"3290.703";"3160.109";"4704.080";"3717.885";"3394.474";"4418.331";"3223.202";"4749.432"
"1pm";"6146.644";"3750.576";"7823.552";"4702.560";"3936.675";"4003.391";"4051.206";"4143.432";"5351.712";"3123.593";"9710.047";"5134.749";"6647.383";"3302.919";"2869.317";"8061.744";"4010.772";"2693.344";"4274.774";"5805.518";"5623.425";"3382.939";"3050.217";"3081.535";"4910.584";"3880.545";"3577.438";"4006.793";"3004.164";"5094.468"
"2pm";" 5766.231";" 4590.446";" 7579.267";" 4130.807";" 4099.735";" 3923.683";" 3939.676";" 4247.913";" 5305.630";" 3130.403";"10205.385";" 4580.516";" 6150.553";" 3154.187";" 2917.804";" 8801.368";" 3757.462";" 2403.332";" 3840.140";" 6313.147";" 5644.075";" 3214.278";" 2846.361";" 3360.047";" 5276.391";" 3742.510";" 3535.978";" 3984.949";" 3512.781";" 4785.801"
"3pm";"5895.549";"4281.901";"7716.481";"4199.720";"4333.306";"4005.501";"4234.004";"4029.168";"4720.828";"3336.275";"9042.752";"4810.087";"5792.407";"3238.389";"2922.375";"9082.957";"4028.354";"2528.837";"3797.741";"6130.856";"5812.814";"2842.784";"2777.667";"3456.680";"4879.698";"3247.876";"3707.663";"3993.179";"3715.576";"5174.525"
"4pm";"5907.523";"4700.056";"7414.306";"4494.492";"4338.006";"4224.440";"4229.481";"4731.332";"4842.882";"3479.512";"6664.950";"5134.227";"5639.885";"3525.809";"3291.628";"8116.744";"4273.814";"2708.402";"3829.651";"6367.846";"5202.556";"3127.570";"2872.101";"3577.470";"5022.865";"3685.672";"3577.759";"3956.473";"4080.170";"4747.667"
"5pm";"6544.622";"4314.116";"7028.786";"4517.654";"4973.228";"3977.129";"4413.878";"4476.095";"4875.963";"3901.860";"6690.853";"5698.814";"5633.036";"3493.547";"3091.551";"5456.247";"4692.747";"3038.969";"3053.109";"6352.164";"5939.460";"3575.789";"3288.008";"2911.124";"4747.368";"4045.085";"3736.833";"4239.352";"4216.535";"5225.823"
"6pm";"6575.672";"4119.884";"7338.326";"5061.271";"4903.735";"3829.879";"5550.956";"4883.234";"4254.116";"4232.500";"5880.286";"5339.242";"5502.623";"3622.385";"3693.406";"6124.203";"5139.297";"3153.458";"4078.148";"6793.435";"5592.963";"3837.170";"3839.930";"2941.304";"4763.251";"4327.154";"4439.840";"4617.354";"4457.646";"5115.966"
"7pm";"6540.389";"4181.541";"7254.317";"5267.623";"4949.342";"4447.014";"5868.432";"4940.739";"4035.857";"4518.795";"5712.660";"5807.685";"5461.924";"3988.402";"4414.238";"4658.651";"5136.831";"3339.922";"3808.894";"6931.650";"4907.215";"4044.788";"4275.035";"3032.210";"5026.796";"4650.730";"4345.772";"4856.615";"4734.632";"4934.074"
"8pm";"6523.726";"4587.205";"6921.482";"5120.670";"5118.521";"4779.792";"5868.432";"5196.140";"3565.138";"4607.764";"5612.463";"5572.313";"5839.133";"3981.012";"4470.186";"3972.139";"5533.125";"3643.374";"3912.720";"7313.850";"5332.347";"4008.390";"4464.672";"3207.366";"5059.839";"4661.914";"4399.296";"4860.486";"4870.552";"4760.680"
"9pm";"6582.785";"4587.205";"6858.680";"5120.670";"5242.492";"4667.821";"5928.702";"5525.818";"3487.031";"4674.226";"5384.066";"5575.761";"5629.966";"3893.652";"4779.903";"4110.643";"5753.908";"3712.584";"3957.115";"7465.071";"5458.351";"4013.049";"4635.879";"2897.893";"5184.479";"4612.528";"4339.263";"4969.358";"4870.552";"4755.397"
"10pm";"6666.654";"4648.661";"6844.966";"5059.214";"5171.332";"4738.981";"5928.702";"5525.818";"3487.031";"4674.226";"5068.934";"5882.340";"5541.508";"3948.728";"4866.108";"4072.943";"5771.740";"3469.618";"4017.117";"7424.673";"5380.201";"4049.447";"4673.514";"3037.595";"5196.494";"4633.078";"4670.729";"5021.259";"4614.943";"4755.465"
"11pm";"6796.380";"4673.241";"6844.966";"5034.634";"5148.597";"4738.981";"5928.702";"5525.818";"3512.543";"4674.226";"5043.422";"5825.377";"5581.627";"3948.728";"4951.673";"4112.730";"5771.740";"3469.618";"3966.277";"7276.164";"5414.668";"4076.665";"4673.514";"3037.595";"5196.494";"4633.078";"4670.729";"5021.259";"4614.943";"4755.465"
"12pm";"6796.380";"4673.241";"6844.966";"4985.665";"5144.714";"4738.981";"5928.702";"5601.916";"3512.543";"4727.078";"4992.746";"5724.505";"5645.663";"3999.403";"4951.673";"4112.730";"5771.740";"3492.353";"3987.723";"7377.035";"5414.668";"4076.665";"4673.514";"3037.595";"5196.494";"4702.851";"4670.729";"5021.259";"4614.943";"4755.465"
"1am";"6796.380";"4673.241";"6844.966";"4985.665";"5144.714";"4738.981";"5848.342";"5601.916";"3512.543";"4727.078";"4992.746";"5724.505";"5645.663";"3999.403";"4987.369";"4112.730";"5771.740";"3492.353";"3987.723";"7377.035";"5414.668";"4076.665";"4673.514";"3037.595";"5196.494";"4702.851";"4670.729";"5021.259";"4614.943";"4832.189"
