"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","016","018","019"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04,12060.04
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,701.748,0,0,0,0,0,0,0,0,0,0,0
"6am",0,0,0,0,0,1185.39,0,0,0,476.676,0,0,0,0,0,0,0
"7am",2540.648,0,1137.454,1085.52,1369.437,4899.422,756.79,0,520.39,1905.079,0,0,1142.928,1899.826,0,0,734.604
"8am",4845.364,442.464,1773.198,1973.692,2186.681,9738.081,1685.921,994.157,767.943,3286.657,637.008,0,2208.431,2832.941,946.901,0,1724.746
"9am",5776.74,705.722,1935.298,2568.061,2313.358,11753.853,1878.693,1313.617,997.79,3486.989,754.927,582.353,2195.384,2939.77,1778.68,384,1950.958
"10am",5755.687,601.374,1942.44,2832.585,2360.656,12060.04,1890.719,1581.858,954.59,3929.961,655.719,1075.449,2566.69,2983.925,2209.367,585.951,2096.455
"11am",5552.568,425.899,1867.552,2198.007,2053.706,11410.69,1613.777,1469.888,643.233,4192.977,598.77,704.945,2184.621,2958.472,1523.212,400.198,1971.031
"12am",4419.879,561.029,1500.151,1776.932,1652.499,8872.453,1311.522,913.116,780.297,2813.465,555.518,0,1568.53,2147.901,813.214,0,1225.102
"1pm",4732.28,653.605,1745.015,1780.486,2093.149,10397.615,2434.388,841.434,825.718,3513.019,554.418,490.219,2394.875,2738.324,1120.751,468.535,1990.259
"2pm",5232.565,709.825,1539.306,1899.268,2335.549,11440.611,1721.038,1347.577,790.001,3853.954,878.046,581.859,2681.301,2703.954,2336.567,621.17,2395.948
"3pm",5672.378,779.03,1805.904,1890.143,2265.434,11776.498,1708.624,1218.392,700.431,3348.043,824.488,758.535,2992.564,2119.698,2176.254,475.581,2290.932
"4pm",5156.144,720.132,1258.107,1985.932,1697.851,10538.208,1658.932,1314.114,809.092,2967.222,736.325,433.705,2881.994,2110.082,1673.478,389.773,1848.247
"5pm",3218.71,0,753.781,1639.984,908.648,6559.409,1297.851,826.316,0,1824.368,441.457,799.312,2320.006,1283.297,1932.03,0,1397.151
"6pm",1466.451,0,0,1641.655,840.682,3242.253,780.066,650.528,0,783.905,0,1378.876,1214.012,816.18,1316.823,0,957.27
"7pm",823.556,0,0,0,776.888,2601.554,0,0,629.04,857.199,0,0,0,0,615.517,0,757.069
"8pm",707.858,0,0,0,0,3459.395,0,0,0,712.918,0,0,0,0,0,0,0
"9pm",586.001,0,0,0,0,3137.951,0,0,0,0,0,0,0,0,0,0,0
"10pm",582.725,0,0,0,0,1776.507,0,0,0,0,0,0,0,0,0,0,0
"11pm",0,0,0,0,0,947.494,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
