"hour","001","002","003","004","005","006","007","008","009","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","028","029","030"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392,11536.9392
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,0,0,0,0,0,0,0,0,911.02894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.3942
"7am",0,0,1787.34235,0,0,0,0,0,1909.24292,6007.15366,1401.05511,2926.73394,1075.59061,2255.44527,3560.33134,0,2296.68534,953.82651,1124.72996,1832.04406,0,0,0,0,0,0,0,0,1445.71208
"8am",663.12338,0,2565.32206,1008.03709,0,1099.85828,0,0,2580.22694,9367.73199,3047.26311,5152.97778,1860.09921,3475.38956,7257.53231,1526.80856,3178.21133,2276.07489,1535.77994,2479.05187,1073.97542,1137.26682,1203.58203,1562.86424,0,1098.96142,1080.29023,0,2508.52717
"9am",663.12338,1379.05576,2958.2881,1215.9607,805.61615,1102.00541,1363.19679,0,3204.65497,10730.68943,3539.06464,5947.52371,1868.52839,3736.66769,8473.7644,1428.66586,3331.51314,2500.2534,2265.85198,3378.49952,1153.60774,1009.25155,1726.53097,1794.79902,0,1316.80204,1138.87689,0,3257.10819
"10am",725.66863,1499.26643,3384.18625,1164.78773,760.20394,1170.33926,1165.06242,0,3141.65209,11207.63645,4250.84251,6402.04242,2000.82533,3443.6885,9718.58009,1550.45152,3247.23711,2508.33879,2285.27555,3752.79539,1336.18435,1081.43051,1872.13974,1668.57593,0,1430.43549,1147.37242,0,3632.36972
"11am",667.06613,1345.43598,3373.25863,1273.59442,764.74849,0,1277.58744,0,3073.91515,10369.04332,4818.08168,5464.59235,1693.16921,2441.97318,8408.16284,1599.12597,2984.90226,2367.8174,1845.72511,3413.05771,1035.68129,1037.29751,1658.565,1059.68421,703.30151,915.98949,1068.92621,655.22982,3025.57506
"12am",0,0,2776.52706,882.44863,0,0,0,0,2818.38578,9577.4025,3115.34585,4317.91916,1492.92069,2542.71577,6637.25163,1238.55232,2102.82409,2019.3946,1837.91453,2894.02086,766.45742,0,1509.3958,1055.30013,0,1057.47251,1031.06051,0,2518.52231
"1pm",727.90239,886.87138,2968.47347,845.02152,607.55521,1041.87952,1544.42433,0,2913.8486,10696.49328,2968.65145,5479.4381,2051.28549,2571.32482,8084.75036,1390.24069,2438.42276,2451.34561,1858.42319,2997.14452,1064.72318,1020.91739,1394.73857,1200.56157,663.44814,831.95223,874.97733,0,2772.12386
"2pm",843.03902,1667.38656,3473.49533,915.83563,723.06877,1158.12722,1662.85926,541.63073,3051.67527,11536.9392,3486.38071,6219.97019,1941.57014,3157.30937,9304.22704,1566.27587,1539.95599,2265.91719,2648.2245,3247.9648,1187.45648,1173.03042,1803.91176,1577.1643,813.03759,1173.7634,1022.22531,1185.17525,2961.11225
"3pm",896.98669,1598.61183,3586.28256,975.05061,681.4255,981.46742,1320.72003,796.43165,2797.37627,9814.98835,3592.29029,5976.65219,2043.99385,3085.55074,10197.89464,1496.3732,1704.51739,2265.91719,2676.04092,3690.87273,1306.47078,1178.23876,1733.48991,1130.45951,836.31838,1151.98423,1048.45705,1160.89266,3069.29058
"4pm",712.87247,1544.46918,2689.3963,891.60592,791.68013,1113.32832,1275.78094,535.41818,2744.70675,6995.49995,3922.79513,5501.72514,1584.88237,3096.80546,8499.71454,800.76073,1381.77629,2451.01131,2565.04339,2597.85585,1311.57762,1060.73886,1504.1273,1093.33806,680.41356,980.78986,1025.07992,1179.97425,2194.38845
"5pm",0,0,1523.69551,681.78633,0,0,0,0,2414.26329,4191.10213,1572.28575,4226.68922,1007.27903,2226.30325,5716.44762,0,0,0,1579.40954,2248.07925,798.66495,0,717.21903,0,0,726.45637,0,0,1911.54234
"6pm",0,0,954.34067,0,0,0,0,0,1087.64572,2827.0506,1275.33381,1561.68431,0,1665.21857,4039.35501,0,0,0,905.17315,1431.23157,0,0,0,0,0,0,0,0,1355.60482
"7pm",0,0,0,0,0,0,0,0,0,2056.97843,648.41036,819.73711,0,1518.69223,1157.3384,0,0,0,0,0,0,0,0,0,0,0,0,0,827.20055
"8pm",0,0,0,0,0,0,0,0,0,2203.79546,0,725.09869,0,636.40091,0,0,0,0,513.46315,0,0,0,0,0,0,0,0,0,0
"9pm",0,0,0,0,0,0,0,0,0,1759.33883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
