"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","028","029","030","031","032","033","034","035","036","037","038","039","040","041","042","043","044","045","046","047","049","050","051","052","053","054","055","056","057","059","062","064","065","066"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057,30105.8057
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,1144.1556,0,0,0,1548.9904,0,1030.0961,0,0,0,0,954.9026,0,0,1222.6721,1068.4437,1668.5688,0,0,0,0,0,1238.6483,1446.7843,0,0,0,2365.4928,2295.5722,0,1091.7182,0,0,0,0,0,1628.3306,0,0,0,0,0,0,0,0,0,1299.1531,0,0,0,0,0,0,0,0,0,0,0,0,0
"7am",1912.0695,9855.9649,3852.1372,3289.5751,2532.8828,4168.801,2295.8569,1938.0403,1892.8494,904.8529,1256.579,0,3103.7707,925.996,0,4096.5576,2441.3238,3076.0481,1340.9804,2573.8265,3045.8397,0,6530.0555,8819.3313,5168.5127,0,1884.034,6081.7686,9048.8479,9209.6489,0,3117.9306,1572.9622,1156.8104,3087.9983,1154.6264,4074.2419,4707.3955,0,0,2269.8334,1564.5856,0,0,0,2909.8436,1938.9897,2864.8022,1233.2787,0,0,0,2342.2626,0,0,0,0,1149.5892,0,0,1771.3149
"8am",5234.9525,19383.3726,9917.7545,8855.3729,4020.8128,7298.2446,4058.4376,4073.0913,3659.2562,2076.3191,2060.4902,1165.53,6454.986,1922.7453,1789.6779,5567.2673,5871.5002,4664.4726,2400.97,3765.9701,5356.2536,1166.8742,14049.845,14101.4096,10156.6773,1506.926,4836.2295,17476.8041,17550.0124,19849.9185,1911.3179,5469.6072,3140.3855,3396.6118,3904.7819,1911.1221,6497.6725,9351.7416,1233.6473,1502.7217,3759.7022,2397.7417,1645.7781,2026.2943,1539.3141,7641.3335,3590.5829,4350.942,2276.7055,1102.565,0,1260.4994,5872.8263,0,2006.4944,0,0,1947.0581,1025.2309,1202.8108,3444.8008
"9am",7095.1221,26164.3925,11672.9779,11490.5175,5151.7951,7974.8998,4879.5405,4874.7733,4453.6713,2879.7371,2379.1904,1363.9401,8303.9702,2257.571,1982.5582,5956.7509,6640.5882,5025.4247,2733.6561,4686.3097,7017.9154,1638.0905,17872.6593,16956.8148,11431.2054,1831.2113,5342.6868,21883.571,20570.6094,25075.4298,2462.1866,6330.7282,4616.3668,3798.0028,4753.2986,2603.5232,7057.9618,9833.5711,1738.8542,1834.8046,5626.3895,2339.0547,2022.7953,2144.898,1667.3253,9500.3254,4003.2008,5710.6626,2749.0855,1577.8162,1414.2922,1303.3749,6398.6973,0,3192.6773,0,1053.4266,2276.1521,1077.1992,1282.7242,3300.4318
"10am",7460.5837,29951.1093,11742.418,12722.6617,5603.4619,7749.0311,4163.2982,5789.4573,4485.2297,2817.9641,2928.6289,1389.2682,8950.7234,2021.7589,2234.9551,6459.7655,8028.9931,5649.0887,2829.1136,5003.2539,8449.314,2098.9746,18682.9066,17967.2204,12092.1064,1919.2249,5626.1871,24323.3182,21550.9582,25964.8799,2818.3238,6889.6503,4460.2392,4007.1349,4775.8305,2419.6459,7452.1701,10421.2717,1989.1341,1823.8875,5804.8866,2846.606,1752.892,2707.47,1709.8976,10932.7273,4662.0776,7645.8174,2434.8388,1705.2522,1907.4521,1587.3355,6077.72,0,3425.1904,0,1240.5654,2547.3265,926.4949,1324.9834,3249.528
