"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"6pm";" 7530.24";" 7186.80";" 6398.16";"14144.64";"13152.48";"14220.96";"18075.12";" 8000.88";" 7123.20";" 5762.16";" 6321.84";"14068.32";"14717.04";" 6550.80";" 7008.72";" 7224.96";" 7517.52";" 7581.12";" 5545.92";" 5011.68";" 6385.44";" 6881.52";" 5495.04";" 5329.68";" 6728.88";" 5355.12";" 5355.12";" 5380.56";" 4502.88"
"7pm";" 7492.08";" 7021.44";" 6538.08";"13941.12";"13445.04";"14411.76";"18062.40";" 8255.28";" 7097.76";" 5914.80";" 6703.44";"14144.64";"14424.48";" 6588.96";" 6983.28";" 7415.76";" 7542.96";" 7555.68";" 5507.76";" 5037.12";" 6487.20";" 6754.32";" 5507.76";" 5418.72";" 6690.72";" 5367.84";" 5406.00";" 5329.68";" 4197.60"
"8pm";" 6843.36";" 6741.60";" 6665.28";"13368.72";"13534.08";"14780.64";"18100.56";" 8077.20";" 7212.24";" 5940.24";" 6639.84";"13928.40";"14717.04";" 6601.68";" 7034.16";" 7555.68";" 7784.64";" 7822.80";" 5622.24";" 5113.44";" 6678.00";" 6767.04";" 5660.40";" 5482.32";" 6881.52";" 5469.60";" 5495.04";" 5456.88";" 3383.52"
"9pm";" 6270.96";" 6372.72";" 6601.68";"12809.04";"13750.32";"15327.60";"18304.08";" 7530.24";" 7657.44";" 5825.76";" 6665.28";"13623.12";"15022.32";" 6767.04";" 7072.32";" 7733.76";" 8077.20";" 8039.04";" 5863.92";" 5189.76";" 6906.96";" 6754.32";" 5724.00";" 5507.76";" 7148.64";" 5622.24";" 5495.04";" 5596.80";" 2518.56"
"10pm";" 5673.12";" 5991.12";" 6410.88";"12834.48";"13877.52";"15620.16";"18444.00";" 7441.20";" 7771.92";" 5902.08";" 6779.76";"13712.16";"15314.88";" 6805.20";" 7174.08";" 7797.36";" 8128.08";" 8128.08";" 5940.24";" 5253.36";" 6996.00";" 6843.36";" 5736.72";" 5584.08";" 7352.16";" 5660.40";" 5533.20";" 5673.12";" 1793.52"
"11pm";" 5520.48";" 5825.76";" 6410.88";"12669.12";"13902.96";"15734.64";"18380.40";" 7352.16";" 7886.40";" 6003.84";" 6817.92";"13521.36";"15378.48";" 6868.80";" 7224.96";" 7797.36";" 8204.40";" 8204.40";" 6029.28";" 5253.36";" 7008.72";" 6805.20";" 5787.60";" 5609.52";" 7504.80";" 5762.16";" 5533.20";" 5698.56";" 1551.84"
"12pm";" 5456.88";" 5736.72";" 6423.60";"12694.56";"13801.20";"15772.80";"18507.60";" 7314.00";" 7899.12";" 6029.28";" 6830.64";"13559.52";"15403.92";" 6868.80";" 7250.40";" 7822.80";" 8229.84";" 8204.40";" 6029.28";" 5278.80";" 7046.88";" 6792.48";" 5787.60";" 5622.24";" 7568.40";" 5800.32";" 5533.20";" 5711.28";" 1310.16"
"1am";" 5431.44";" 5724.00";" 6449.04";"12720.00";"13839.36";"15823.68";"18533.04";" 7314.00";" 7899.12";" 6003.84";" 6856.08";"13584.96";"15391.20";" 6868.80";" 7237.68";" 7822.80";" 8242.56";" 8217.12";" 6042.00";" 5304.24";" 7046.88";" 6817.92";" 5800.32";" 5622.24";" 7581.12";" 5800.32";" 5558.64";" 5711.28";" 1221.12"
"2am";" 5355.12";" 5711.28";" 6436.32";"12707.28";"13826.64";"15836.40";"18545.76";" 7326.72";" 7924.56";" 6003.84";" 6856.08";"13572.24";"15429.36";" 6868.80";" 7237.68";" 7822.80";" 8242.56";" 8217.12";" 6042.00";" 5291.52";" 7046.88";" 6817.92";" 5800.32";" 5609.52";" 7593.84";" 5825.76";" 5545.92";" 5711.28";" 1195.68"
"3am";" 5329.68";" 5685.84";" 6436.32";"12720.00";"13839.36";"15823.68";"18545.76";" 7326.72";" 7924.56";" 6003.84";" 6856.08";"13559.52";"15442.08";" 6868.80";" 7250.40";" 7822.80";" 8242.56";" 8217.12";" 6042.00";" 5291.52";" 7059.60";" 6817.92";" 5813.04";" 5609.52";" 7568.40";" 5825.76";" 5545.92";" 5698.56";" 1195.68"
