"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94";"12367.94"
"4am";" 6793.134";" 3385.937";" 6167.768";" 7577.448";" 3934.181";" 8930.764";" 4679.805";"11036.313";" 4282.885";" 5407.279";"    0.000";"  168.298";"    0.000";"    0.000";"    0.000";"   50.977";"    0.000";"    0.000";"    0.000"
"5am";" 6836.072";" 3372.107";" 5893.909";" 7647.307";" 3899.100";" 9097.105";" 4679.805";"10993.375";" 4243.495";" 5407.279";"    0.000";"  168.298";"   13.830";"   21.451";"   39.390";"  102.266";"    0.000";"    0.000";"    0.000"
"6am";" 6807.032";" 3263.738";" 5667.213";" 7468.162";" 3873.327";" 8427.312";" 4665.838";"10661.663";" 4326.026";" 5226.294";"    0.000";"  168.298";"  151.341";"  730.333";"   39.390";"  181.950";"    0.000";"   34.510";"   25.420"
"7am";"6980.474";"2564.446";"5259.579";"6701.731";"3858.287";"9913.987";"4299.314";"8706.387";"4041.397";"5073.873";"  42.938";" 193.926";" 332.474";"1048.372";"  88.906";" 181.950";" 807.404";"  70.930";" 216.714"
"8am";" 7515.503";" 2158.843";" 4495.249";" 5802.274";" 3682.473";"11611.589";" 4090.529";" 7117.467";" 3518.574";" 4789.251";"  109.408";"  193.926";"  677.002";" 1602.576";"   67.225";"  445.080";"  829.085";"  174.637";"  768.189"
"9am";" 7549.656";" 2239.781";" 4346.916";" 5959.534";" 3485.732";"12315.618";" 4076.314";" 6978.744";" 2912.131";" 4470.616";"  128.119";"  312.391";"  721.259";" 1622.169";"   88.906";"  586.089";"  819.383";"  204.563";"  924.377"
"10am";" 7472.912";" 1953.152";" 4177.487";" 5587.032";" 3516.864";"12367.940";" 3891.120";" 6588.893";" 2786.817";" 4784.072";"  128.119";"  270.649";"  860.866";" 1751.732";"  100.948";"  883.960";"  819.383";"  311.072";" 1165.327"
"11am";" 7733.100";" 1944.998";" 4565.517";" 5343.006";" 3389.526";"12234.168";" 3655.323";" 7333.819";" 2761.089";" 4922.742";"  128.119";"  259.551";"  780.936";" 1615.418";"   61.071";"  711.361";"  831.362";"  267.262";" 1000.311"
"12am";" 7665.544";" 2747.754";" 5311.338";" 5577.880";" 3822.691";"10293.851";" 4202.973";" 8707.076";" 3069.818";" 4996.172";"   85.181";"   71.975";"  441.807";" 1158.801";"   39.390";"  170.430";"   23.958";"  246.683";"  669.904"
"1pm";" 7325.912";" 2228.435";" 4829.521";" 4830.887";" 3867.154";"10269.104";" 5035.804";" 7228.198";" 3169.822";" 4940.263";"   85.181";"  151.188";"  529.001";" 1529.597";"    0.000";"  352.657";"  831.362";"  228.986";" 1074.452"
"2pm";" 7359.463";" 2007.534";" 4111.764";" 4578.934";" 3791.533";"11166.295";" 3827.148";" 6822.176";" 2736.616";" 4935.699";"  164.394";"  170.277";"  804.309";" 1545.783";"   26.612";" 1178.133";"  999.865";"  288.030";" 1309.275"
"3pm";" 7307.050";" 1847.791";" 4636.591";" 4850.200";" 3539.704";"12283.999";" 3791.723";" 6881.690";" 2716.265";" 4350.697";"  131.309";"  350.283";"  676.890";"  923.270";"   49.516";"  813.788";" 1013.534";"  190.268";" 1321.948"
"4pm";" 7596.398";" 2165.386";" 4626.695";" 5269.450";" 3344.337";"10915.679";" 4083.098";" 8058.699";" 3177.501";" 4646.985";"  169.546";"  248.902";"  647.754";" 1002.095";"   27.835";"  595.092";" 1008.905";"  221.276";"  675.482"
"5pm";" 6036.023";" 2529.347";" 5035.125";" 6125.161";" 3206.934";"10359.495";" 4564.075";" 8452.312";" 3422.930";" 4777.175";"   96.008";"  180.103";"  674.073";"  790.675";"  306.996";" 1063.911";"  845.031";"  224.193";"  706.993"
