"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056";"5180.905056"
"4am";"4561.673";"4155.733";"4245.177";"4823.127";"3908.040";"4664.879";"4616.716";"4946.973";"4974.494";"4396.545";"4706.161";"4740.563";"3495.219";"5180.905";"4816.246";"4809.366";"4458.468";"5063.939";"4444.707";"5008.896";"4451.588"
"5am";"4513.511";"4141.972";"4155.733";"4774.964";"3859.877";"4547.913";"4506.631";"4878.170";"4878.170";"4341.502";"4644.238";"4699.280";"3385.133";"5084.580";"4733.682";"4747.443";"4327.741";"4974.494";"4375.904";"4871.289";"4334.622"
"6am";"4307.100";"4052.527";"4066.288";"4506.631";"3701.629";"4141.972";"4197.015";"4623.597";"4534.152";"4107.570";"4307.100";"4389.665";"3151.201";"4616.716";"4327.741";"4355.263";"3949.322";"4602.955";"4093.809";"4258.938";"3983.724"
"7am";"3564.022";"3357.612";"3226.885";"3426.415";"3178.723";"3220.005";"3412.655";"3522.740";"3570.903";"3515.860";"3667.228";"3515.860";"2731.500";"3584.663";"3330.090";"3474.578";"3323.210";"3866.758";"3309.449";"3591.544";"3275.048"
"8am";"3151.201";"2972.312";"2841.585";"2889.748";"2834.705";"2738.380";"2896.628";"2848.466";"3144.321";"3137.441";"3151.201";"2992.953";"2511.328";"3020.475";"2889.748";"3020.475";"3054.876";"3460.817";"2917.269";"3213.124";"2999.833"
"9am";"2827.825";"2724.619";"2573.252";"2614.534";"2697.098";"2490.687";"2676.457";"2717.739";"2889.748";"2979.192";"2992.953";"2765.902";"2353.080";"2848.466";"2635.175";"2779.662";"2869.107";"3233.765";"2614.534";"2958.551";"2724.619"
"10am";"2738.380";"2573.252";"2415.004";"2600.773";"2497.568";"2332.439";"2566.371";"2683.337";"2745.260";"2807.184";"2910.389";"2752.141";"2263.636";"2862.226";"2552.611";"2580.132";"2779.662";"3034.235";"2621.414";"2875.987";"2621.414"
"11am";"2772.782";"2690.218";"2614.534";"2772.782";"2511.328";"2518.209";"2697.098";"2958.551";"2910.389";"2896.628";"2992.953";"2731.500";"2291.157";"2986.073";"2710.859";"2676.457";"2752.141";"3144.321";"2814.064";"2931.030";"2724.619"
