"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2432,0.1944,0.1068,0.2704
"5am",0.2418,0.1907,0.1061,0.2695
"6am",0.241,0.185,0.1091,0.2679
"7am",0.2386,0.1768,0.1021,0.2635
"8am",0.2525,0.1826,0.0977,0.2511
"9am",0.2495,0.1853,0.0966,0.2512
"10am",0.2562,0.1878,0.0971,0.2503
"11am",0.2506,0.1935,0.0979,0.2543
"12am",0.2571,0.1956,0.1004,0.2614
"1pm",0.2581,0.1953,0.1028,0.2578
"2pm",0.2619,0.1973,0.1007,0.2538
"3pm",0.2571,0.195,0.1068,0.2532
"4pm",0.2501,0.191,0.1059,0.2638
"5pm",0.2362,0.1859,0.1016,0.2684
"6pm",0.2397,0.1897,0.1039,0.2653
"7pm",0.239,0.1914,0.1062,0.2698
"8pm",0.2402,0.1968,0.105,0.271
"9pm",0.2396,0.1973,0.1045,0.2704
"10pm",0.2418,0.1974,0.1062,0.2714
"11pm",0.2422,0.1959,0.1071,0.2699
"12pm",0.2421,0.1954,0.107,0.2701
"1am",0.242,0.1957,0.1071,0.2695
"2am",0.2421,0.1959,0.1069,0.2696
"3am",0.2422,0.1958,0.1068,0.2695
