"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.262517936464605,0.437235555724886,0.595854692194306,0.323959906900087,0.430685173823996
"5am",0.271559595845109,0.442135619830651,0.603035082627715,0.320844181926961,0.422799941657565
"6am",0.260762258418714,0.45615007204341,0.587752864408775,0.301911131676286,0.421355435540092
"7am",0.251498782575656,0.45032307822442,0.57719003193654,0.252062215064193,0.42846189124645
"8am",0.261069127117338,0.450155532888987,0.554791365684629,0.235530639163939,0.377806175635894
"9am",0.252013673166106,0.447157038995293,0.5606063399433,0.251048758926157,0.367469528077242
"10am",0.25171124021617,0.448949139412976,0.541391556077066,0.227731150413442,0.36189271129469
"11am",0.255863385403783,0.433228300933925,0.557485905806845,0.21623916596868,0.360432314027189
"12am",0.244883616127144,0.437043183524332,0.543256239419042,0.23766874457642,0.374438306052077
"1pm",0.248590343269044,0.412892224339978,0.547651866329649,0.268023529121526,0.348130910406151
"2pm",0.254244916734498,0.41571494795004,0.556252732627134,0.224407348320617,0.354497131623398
"3pm",0.252917165405402,0.416379574713537,0.550781462500346,0.224465334728036,0.356427440946217
"4pm",0.248760991968515,0.379629721032581,0.590603721305341,0.235421428513828,0.331485534554627
"5pm",0.276146509590782,0.391373367510352,0.596722384281369,0.252697033419023,0.357772583096239
"6pm",0.259883326870414,0.415365662240239,0.614920392832254,0.306115014374835,0.409431340534575
"7pm",0.250508940971681,0.436286328806765,0.611853843410319,0.31917204205336,0.442133873085246
"8pm",0.256937230451104,0.444595305087766,0.603842045023693,0.335835852757869,0.441239973261234
"9pm",0.257444771096777,0.442891484016509,0.600893391444249,0.335752254303749,0.443653899530518
"10pm",0.253791001914253,0.441422393397949,0.605572648157093,0.330733556003068,0.443639465576209
"11pm",0.248673324119478,0.434957433059347,0.608159275303922,0.323743721057343,0.441319048405262
"12pm",0.24990344670734,0.436412017569185,0.606053425697457,0.327812006236869,0.444388141615006
"1am",0.251860012837695,0.437301953524409,0.605469850401208,0.325253048467839,0.443055057419953
"2am",0.252684008073583,0.435679443830483,0.605786419632178,0.323980188381153,0.443090942895921
"3am",0.254072194937485,0.437052320133987,0.609181070418795,0.327315385640262,0.438493001705414
