"hour","age1","age2","age3","age4"
"4am",0.1642,0.1629,0.1342,0.1041
"5am",0.1649,0.1597,0.1334,0.1053
"6am",0.1793,0.1545,0.1301,0.1093
"7am",0.2468,0.1444,0.1315,0.1446
"8am",0.2542,0.1428,0.1358,0.1798
"9am",0.2631,0.1403,0.1343,0.1847
"10am",0.2661,0.1447,0.1366,0.1881
"11am",0.257,0.1439,0.1328,0.1911
"12am",0.2404,0.1421,0.1298,0.1859
"1pm",0.2451,0.1442,0.1292,0.1861
"2pm",0.254,0.1498,0.1337,0.1798
"3pm",0.2422,0.1457,0.1292,0.1702
"4pm",0.2293,0.1464,0.1209,0.1612
"5pm",0.2022,0.1557,0.1241,0.1342
"6pm",0.1874,0.1527,0.1288,0.1101
"7pm",0.1721,0.1568,0.1305,0.1002
"8pm",0.17,0.1561,0.1301,0.0978
"9pm",0.1668,0.1573,0.1307,0.0958
"10pm",0.1678,0.16,0.1327,0.0993
"11pm",0.1697,0.1595,0.1332,0.1007
"12pm",0.1711,0.1609,0.1352,0.1021
"1am",0.1708,0.1613,0.1356,0.1024
"2am",0.1707,0.1622,0.1356,0.1023
"3am",0.1695,0.1616,0.1346,0.1024
