"hour","act1","act2","act3","act4","act5"
"4am",0.4158,0.4992,0.97,0.5898,0
"5am",0.3497,0.392,0.9424,0.9778,0.5665
"6am",0.2796,0.3047,0.8377,0.8969,0.4875
"7am",0.2516,0.2597,0.497,0.7556,0.4097
"8am",0.2728,0.2513,0.4408,0.402,0.2635
"9am",0.2805,0.2546,0.4431,0.3678,0.2118
"10am",0.2857,0.2523,0.4475,0.3301,0.1885
"11am",0.3071,0.2568,0.4408,0.3986,0.2059
"12am",0.3204,0.2629,0.4432,0.5249,0.242
"1pm",0.3114,0.2653,0.4532,0.5272,0.1961
"2pm",0.2949,0.2599,0.4545,0.4437,0.1815
"3pm",0.2863,0.2584,0.4497,0.453,0.1719
"4pm",0.2979,0.2712,0.4816,0.4692,0.189
"5pm",0.2875,0.2853,0.591,0.4544,0.2055
"6pm",0.2616,0.2951,0.7178,0.5165,0.2208
"7pm",0.242,0.2903,0.8096,0.7024,0.2223
"8pm",0.2495,0.3285,0.9035,0.8795,0.26
"9pm",0.2934,0.4005,0.9668,0.9437,0.3086
"10pm",0.3283,0.4553,0.9863,0.9579,0.3434
"11pm",0.3488,0.5269,0.9791,0.3723,0
"12pm",0.3566,0.5307,0.9911,0.4199,0
"1am",0.3653,0.5634,0.435,0,0
"2am",0.3763,0.5708,0.4771,0,0
"3am",0.3758,0.5996,0.4806,0,0
