"hour","mode1","mode2","mode3"
"4am",0.3584,0.3855,0.2846
"5am",0.3605,0.3889,0.2879
"6am",0.387,0.3942,0.2767
"7am",0.4247,0.4051,0.2584
"8am",0.4548,0.4115,0.2465
"9am",0.4579,0.4055,0.2416
"10am",0.4544,0.4005,0.2401
"11am",0.4567,0.401,0.2403
"12am",0.433,0.4131,0.2542
"1pm",0.4282,0.4164,0.2532
"2pm",0.4337,0.4154,0.2562
"3pm",0.4289,0.4143,0.2549
"4pm",0.4203,0.4086,0.2575
"5pm",0.3972,0.401,0.2667
"6pm",0.3749,0.3944,0.2685
"7pm",0.3625,0.3903,0.2737
"8pm",0.3611,0.385,0.2741
"9pm",0.3603,0.3839,0.2786
"10pm",0.3599,0.3839,0.2796
"11pm",0.3616,0.3847,0.2791
"12pm",0.3607,0.3853,0.2804
"1am",0.3598,0.3854,0.2816
"2am",0.3598,0.3857,0.2819
"3am",0.36,0.3863,0.2826
