"hour","resarea1","resarea2","resarea3"
"4am",0.9867,0.9862,0.9879
"5am",0.9785,0.9751,0.9791
"6am",0.9532,0.9474,0.9584
"7am",0.8525,0.8159,0.8481
"8am",0.7716,0.6854,0.7277
"9am",0.7448,0.6437,0.6859
"10am",0.7374,0.6276,0.6683
"11am",0.7426,0.6349,0.6741
"12am",0.7571,0.6571,0.6932
"1pm",0.7482,0.645,0.6833
"2pm",0.744,0.6324,0.6747
"3pm",0.758,0.6506,0.6857
"4pm",0.7977,0.7047,0.7374
"5pm",0.8805,0.8157,0.8311
"6pm",0.9331,0.893,0.9018
"7pm",0.9557,0.9301,0.9408
"8pm",0.9674,0.9471,0.955
"9pm",0.9769,0.9592,0.9634
"10pm",0.9835,0.973,0.9751
"11pm",0.9884,0.9818,0.9842
"12pm",0.9896,0.9864,0.9892
"1am",0.9908,0.9882,0.9904
"2am",0.9912,0.9891,0.991
"3am",0.9924,0.99,0.9914
