"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.3167,0.2604,0.2503,0.1749,0.2434
"5am",0.3186,0.2585,0.2479,0.1725,0.242
"6am",0.3166,0.2593,0.2349,0.1638,0.2468
"7am",0.3084,0.2505,0.2038,0.147,0.2472
"8am",0.3132,0.2417,0.1932,0.14,0.2407
"9am",0.3146,0.2393,0.1889,0.1333,0.2503
"10am",0.3167,0.2388,0.1855,0.1353,0.2478
"11am",0.3144,0.2405,0.1888,0.1318,0.2533
"12am",0.3148,0.2433,0.191,0.1376,0.2585
"1pm",0.3159,0.2436,0.191,0.1365,0.2622
"2pm",0.3012,0.2349,0.1933,0.1381,0.2549
"3pm",0.2953,0.2369,0.1942,0.1423,0.2505
"4pm",0.3051,0.2327,0.2062,0.1376,0.2544
"5pm",0.3052,0.2338,0.2321,0.1528,0.2488
"6pm",0.3131,0.2441,0.241,0.1624,0.2457
"7pm",0.3159,0.2454,0.2464,0.1682,0.241
"8pm",0.3168,0.2517,0.2498,0.1686,0.2442
"9pm",0.3202,0.2553,0.2497,0.1738,0.2437
"10pm",0.3154,0.2605,0.2524,0.1764,0.2463
"11pm",0.3162,0.2593,0.2559,0.1775,0.2463
"12pm",0.3168,0.2607,0.2559,0.178,0.2457
"1am",0.3169,0.2608,0.2555,0.1778,0.2455
"2am",0.317,0.2609,0.2558,0.1776,0.2455
"3am",0.3172,0.2615,0.2558,0.1776,0.2452
