"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2737,0.2168,0.1371,0.287
"5am",0.2692,0.2128,0.1346,0.2858
"6am",0.2629,0.2085,0.1356,0.2898
"7am",0.2449,0.1874,0.1278,0.273
"8am",0.246,0.1771,0.115,0.2428
"9am",0.2391,0.1781,0.1154,0.2407
"10am",0.2401,0.177,0.1136,0.2408
"11am",0.241,0.1837,0.117,0.2437
"12am",0.2524,0.1832,0.1185,0.2542
"1pm",0.2537,0.1782,0.1166,0.2489
"2pm",0.2481,0.1819,0.1203,0.2433
"3pm",0.241,0.1792,0.1199,0.2412
"4pm",0.2479,0.1811,0.1162,0.2544
"5pm",0.2515,0.1911,0.1208,0.2657
"6pm",0.2645,0.2023,0.1384,0.2718
"7pm",0.2693,0.2053,0.1368,0.2783
"8pm",0.2705,0.2099,0.1323,0.2837
"9pm",0.2705,0.2116,0.1313,0.2856
"10pm",0.2748,0.2122,0.1305,0.2867
"11pm",0.276,0.2117,0.1319,0.2849
"12pm",0.276,0.213,0.1318,0.286
"1am",0.2754,0.2128,0.1317,0.2864
"2am",0.2754,0.2128,0.1318,0.287
"3am",0.2756,0.2127,0.1319,0.2865
