"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.3536,0.2954,0.2543,0.2044,0.2709
"5am",0.3512,0.2945,0.2511,0.2009,0.2696
"6am",0.3384,0.2914,0.24,0.1974,0.2726
"7am",0.3061,0.2728,0.2165,0.1746,0.2643
"8am",0.2936,0.2472,0.1977,0.1624,0.2332
"9am",0.2846,0.2432,0.1911,0.1573,0.2349
"10am",0.2838,0.2408,0.1897,0.1553,0.2381
"11am",0.2929,0.2424,0.1885,0.1562,0.2464
"12am",0.3077,0.2443,0.1924,0.157,0.2554
"1pm",0.3055,0.2401,0.1917,0.1537,0.2513
"2pm",0.2908,0.2379,0.1937,0.1521,0.2454
"3pm",0.2928,0.245,0.1998,0.1546,0.2354
"4pm",0.3128,0.2423,0.2059,0.1615,0.2438
"5pm",0.3238,0.256,0.2325,0.1824,0.253
"6pm",0.3369,0.2735,0.238,0.1898,0.2566
"7pm",0.3439,0.2841,0.2471,0.2006,0.2617
"8pm",0.3485,0.2871,0.2533,0.1994,0.2636
"9pm",0.3515,0.2901,0.2544,0.2009,0.2656
"10pm",0.3538,0.2941,0.2555,0.2038,0.2696
"11pm",0.3559,0.2936,0.2568,0.2045,0.2684
"12pm",0.3576,0.2954,0.2562,0.2049,0.2694
"1am",0.3577,0.2952,0.2557,0.2045,0.2698
"2am",0.3578,0.2952,0.2558,0.2046,0.2697
"3am",0.3577,0.2954,0.2558,0.2047,0.2695
