"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1288,0.2491,0.2548,0.1184,0.2778
"5am",0.1325,0.2496,0.2574,0.1201,0.2801
"6am",0.1309,0.27,0.2511,0.132,0.2778
"7am",0.1464,0.3461,0.2559,0.1741,0.2752
"8am",0.1783,0.3617,0.2606,0.2107,0.2845
"9am",0.1856,0.3731,0.2533,0.2148,0.2882
"10am",0.1916,0.3795,0.2491,0.2199,0.2986
"11am",0.1862,0.3745,0.2468,0.2214,0.2904
"12am",0.1804,0.3475,0.2587,0.2121,0.2809
"1pm",0.1795,0.35,0.2505,0.215,0.2738
"2pm",0.1723,0.3562,0.2508,0.2048,0.279
"3pm",0.1633,0.3449,0.2453,0.1948,0.2884
"4pm",0.1441,0.3189,0.2379,0.183,0.286
"5pm",0.1299,0.2835,0.228,0.1547,0.2765
"6pm",0.1235,0.266,0.24,0.1277,0.2787
"7pm",0.125,0.2565,0.2379,0.1178,0.285
"8pm",0.1256,0.2514,0.243,0.1144,0.2842
"9pm",0.1248,0.2467,0.2434,0.1129,0.283
"10pm",0.1232,0.249,0.2438,0.1169,0.2829
"11pm",0.1233,0.2486,0.243,0.1187,0.2809
"12pm",0.1246,0.2484,0.2468,0.1194,0.2813
"1am",0.1247,0.2486,0.2472,0.1192,0.2812
"2am",0.1254,0.2491,0.247,0.1191,0.2822
"3am",0.1248,0.248,0.2471,0.1193,0.2824
