"hour","sex1","sex2"
"4am",0.0652,0.0652
"5am",0.0667,0.0667
"6am",0.075,0.075
"7am",0.1042,0.1042
"8am",0.1107,0.1107
"9am",0.116,0.116
"10am",0.1185,0.1185
"11am",0.118,0.118
"12am",0.1099,0.1099
"1pm",0.1145,0.1145
"2pm",0.1148,0.1148
"3pm",0.1084,0.1084
"4pm",0.0968,0.0968
"5pm",0.0834,0.0834
"6pm",0.0734,0.0734
"7pm",0.0683,0.0683
"8pm",0.0648,0.0648
"9pm",0.0627,0.0627
"10pm",0.0641,0.0641
"11pm",0.0658,0.0658
"12pm",0.0662,0.0662
"1am",0.0668,0.0668
"2am",0.0666,0.0666
"3am",0.0669,0.0669
