"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016";"2463.166016"
"max";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832";"8538.516832"
"4am";"4830.007";"4265.818";"4369.024";"4967.614";"4052.527";"4830.007";"4816.246";"5139.623";"5180.905";"4547.913";"4823.127";"4988.255";"3570.903";"5490.521";"4967.614";"4988.255";"4554.793";"5201.546";"4596.075";"5263.469";"4637.357"
"5am";"4871.289";"4293.340";"4375.904";"4967.614";"4073.168";"4857.529";"4713.041";"5105.221";"5194.666";"4527.272";"4768.084";"4946.973";"3474.578";"5655.649";"4885.050";"4967.614";"4430.947";"5167.144";"4582.314";"5146.503";"4506.631"
"6am";"5180.905";"4424.066";"4485.990";"4933.212";"4210.775";"4933.212";"4513.511";"5187.785";"5132.743";"4479.109";"4575.434";"4651.118";"3268.167";"6089.112";"4534.152";"4609.836";"4086.929";"5091.460";"4389.665";"4664.879";"4183.254"
"7am";"7293.173";"4210.775";"4444.707";"4252.058";"5167.144";"4891.930";"4093.809";"4630.477";"5531.803";"4616.716";"4568.554";"3832.356";"2869.107";"6839.070";"3749.792";"4011.245";"3502.099";"4733.682";"3949.322";"4203.895";"3522.740"
"8am";"8256.422";"4527.272";"4946.973";"3983.724";"5751.974";"4781.845";"3791.074";"4183.254";"5923.983";"4747.443";"4809.366";"3350.731";"2676.457";"6887.232";"3522.740";"3749.792";"3302.569";"4609.836";"3687.869";"3921.801";"3323.210"
"9am";"8510.995";"5077.700";"5201.546";"3832.356";"5979.026";"4637.357";"3612.185";"4155.733";"6082.231";"4602.955";"5015.777";"3109.919";"2545.730";"7079.882";"3336.971";"3653.467";"3109.919";"4520.391";"3502.099";"3770.433";"3158.082"
"10am";"8538.517";"5442.358";"5208.426";"3873.638";"5923.983";"4458.468";"3584.663";"4093.809";"5979.026";"4637.357";"4988.255";"3158.082";"2463.166";"7245.011";"3261.287";"3557.142";"3013.594";"4403.425";"3536.501";"3660.347";"3006.714"
"11am";"8084.414";"5552.444";"5277.230";"3956.202";"5683.171";"4527.272";"3605.304";"4334.622";"5882.701";"4485.990";"5043.298";"3130.560";"2490.687";"7141.805";"3398.894";"3522.740";"2979.192";"4451.588";"3605.304";"3770.433";"3089.278"
"12am";"7994.969";"5469.880";"4995.136";"4031.886";"5793.256";"4506.631";"3694.749";"4327.741";"5800.137";"4589.195";"5091.460";"3041.116";"2463.166";"6770.266";"3515.860";"3522.740";"3061.757";"4479.109";"3605.304";"3846.117";"3054.876"
"1pm";"8380.269";"5717.573";"5208.426";"3832.356";"5807.017";"4651.118";"3350.731";"4141.972";"6040.949";"4541.032";"5063.939";"3006.714";"2476.927";"7251.891";"3371.372";"3481.458";"2951.671";"4430.947";"3350.731";"3777.313";"3006.714"
"2pm";"8297.705";"5504.282";"5125.862";"3859.877";"5669.410";"4699.280";"3502.099";"4141.972";"6047.829";"4651.118";"4878.170";"3047.996";"2614.534";"7224.370";"3440.176";"3474.578";"2992.953";"4410.306";"3529.621";"3866.758";"3089.278"
"3pm";"7781.678";"4940.093";"4885.050";"4107.570";"5559.324";"4699.280";"3825.476";"4183.254";"5992.787";"4637.357";"4795.605";"3323.210";"2807.184";"6873.472";"3646.587";"3852.997";"3185.603";"4568.554";"3653.467";"4011.245";"3206.244"
"4pm";"6040.949";"4905.691";"4671.759";"4492.870";"4761.204";"4541.032";"4135.092";"4382.784";"5531.803";"4286.459";"4905.691";"3908.040";"3185.603";"6261.120";"4107.570";"4066.288";"3694.749";"4664.879";"3983.724";"4334.622";"3742.911"
"5pm";"5462.999";"4788.725";"4547.913";"4685.520";"4444.707";"4747.443";"4348.382";"4554.793";"5105.221";"4458.468";"5091.460";"4279.579";"3281.928";"5449.239";"4430.947";"4472.229";"3859.877";"4823.127";"4252.058";"4637.357";"4107.570"
"6pm";"5449.239";"4774.964";"4520.391";"4630.477";"4561.673";"4795.605";"4472.229";"4623.597";"5180.905";"4437.827";"5091.460";"4258.938";"3233.765";"5462.999";"4554.793";"4499.750";"3914.920";"4850.648";"4362.143";"4699.280";"4210.775"
"7pm";"5373.555";"4816.246";"4479.109";"4678.639";"4623.597";"4678.639";"4396.545";"4609.836";"5325.392";"4561.673";"5194.666";"4341.502";"3268.167";"5421.717";"4568.554";"4568.554";"4045.647";"4836.887";"4403.425";"4713.041";"4190.134"
"8pm";"5201.546";"4465.348";"4424.066";"4713.041";"4430.947";"4809.366";"4485.990";"4788.725";"5456.119";"4492.870";"5098.341";"4520.391";"3302.569";"5352.914";"4692.400";"4602.955";"4093.809";"4891.930";"4506.631";"4788.725";"4224.536"
"9pm";"4905.691";"4286.459";"4272.699";"4905.691";"4238.297";"4774.964";"4541.032";"4830.007";"5297.871";"4527.272";"5002.016";"4671.759";"3419.535";"5339.153";"4788.725";"4719.921";"4169.493";"4967.614";"4575.434";"4885.050";"4430.947"
"10pm";"4809.366";"4238.297";"4252.058";"4891.930";"4093.809";"4781.845";"4554.793";"4891.930";"5256.589";"4541.032";"4905.691";"4761.204";"3453.937";"5407.957";"4864.409";"4850.648";"4224.536";"4967.614";"4589.195";"4933.212";"4520.391"
"11pm";"4781.845";"4169.493";"4286.459";"4905.691";"4066.288";"4774.964";"4678.639";"4946.973";"5242.828";"4465.348";"4816.246";"4795.605";"3474.578";"5352.914";"4946.973";"4836.887";"4286.459";"4995.136";"4589.195";"5008.896";"4554.793"
"12pm";"4747.443";"4210.775";"4293.340";"4919.452";"4031.886";"4781.845";"4685.520";"4960.734";"5201.546";"4465.348";"4802.486";"4809.366";"3495.219";"5366.675";"4946.973";"4830.007";"4313.981";"5002.016";"4561.673";"5015.777";"4554.793"
"1am";"4733.682";"4210.775";"4293.340";"4919.452";"4045.647";"4768.084";"4685.520";"4967.614";"5180.905";"4465.348";"4816.246";"4816.246";"3502.099";"5359.794";"4940.093";"4830.007";"4320.861";"5015.777";"4561.673";"5029.537";"4554.793"
"2am";"4719.921";"4197.015";"4307.100";"4926.332";"4052.527";"4768.084";"4685.520";"4953.853";"5180.905";"4465.348";"4823.127";"4816.246";"3502.099";"5352.914";"4940.093";"4830.007";"4320.861";"5029.537";"4554.793";"5022.657";"4554.793"
"3am";"4706.161";"4197.015";"4313.981";"4919.452";"4052.527";"4774.964";"4685.520";"4953.853";"5167.144";"4479.109";"4809.366";"4809.366";"3502.099";"5346.034";"4940.093";"4830.007";"4320.861";"5022.657";"4554.793";"5043.298";"4554.793"
