"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"12am";"77.4840518";"79.4773752";"82.9310358";"90.4073282";"83.3224862";"69.3228008";"76.5683396";"90.8127661";"87.1825234";"91.1862252";"85.4813877";"77.9999101";" 3.7742809";" 5.5034022";" 5.0697200";" 0.6969782";"14.4843255";"13.9675775";" 2.8324643";" 0.8163057";" 2.9700460";" 6.1337376";" 0.0000000";" 1.3537449";" 1.3515158";" 0.0000000";" 1.2409269";" 0.0000000";" 0.0000000";" 4.1581257";" 0.0000000";" 1.4122195";" 0.0000000";" 2.5055157";" 2.8880647";" 0.0000000";" 0.0000000";" 0.0000000";" 9.4234757";" 3.8461494";" 5.8285573";" 4.0108952";" 1.3794951";" 0.0000000";" 1.5599184";" 2.8979683";" 4.7975417";" 1.1057173";" 0.6881527";" 0.0000000";" 0.0000000";" 0.0000000"
"1pm";"77.4267641";"77.6141643";"81.8930089";"86.9596847";"81.6800403";"63.5403148";"75.0754700";"88.1013768";"85.4456723";"87.4620987";"83.3084418";"76.6384859";" 5.0749080";" 7.0634483";" 6.1877332";" 1.7472061";"17.7117573";"17.9167237";" 1.7196571";" 0.8182863";" 3.4492476";" 7.3490334";" 0.0000000";" 1.8905505";" 1.3738827";" 0.0000000";" 1.1541328";" 0.0000000";" 0.0000000";" 4.8213989";" 0.0000000";" 1.3789951";" 0.0000000";" 2.8871735";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 8.6707880";" 3.9682389";" 4.1943798";" 4.1488357";" 1.3956858";" 0.0000000";" 1.5580835";" 3.1158010";" 3.3270651";" 0.0000000";" 0.6522191";" 0.0000000";" 6.9090895";" 0.0000000"
"2pm";"75.2816266";"75.5573701";"81.4089689";"86.5381621";"80.0201462";"64.1609569";"70.5044150";"84.7270375";"84.9702117";"86.2835172";"80.2718590";"74.2900539";" 5.7965897";" 8.9778183";" 6.8470159";" 2.2866194";"25.0267712";"18.4978616";" 3.8487897";" 2.8010891";" 6.7170848";" 6.9713134";" 0.0000000";" 3.1880654";" 1.8701546";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 4.8328487";" 0.0000000";" 2.2809372";" 0.0000000";" 2.8659056";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 5.7798570";" 5.3113881";" 6.2085505";" 1.8958397";" 1.5839665";" 6.5016725";" 0.8040516";" 3.4875172";" 4.4233518";" 0.0000000";" 0.0000000";" 0.0000000";" 9.8449295";" 0.0000000"
"3pm";"74.6104551";"76.8326630";"83.9437890";"85.6930156";"78.9839364";"63.2033000";"71.4068441";"87.9764608";"85.3284206";"86.0983824";"77.3329383";"74.0608758";" 7.2594145";" 8.1831034";" 6.7135722";" 3.5160176";"24.8796535";"18.7317813";" 5.0763447";" 2.4954705";" 4.8870591";" 6.7316661";" 0.0000000";" 2.4834214";" 1.1531031";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.8986803";" 0.0000000";" 2.2445615";" 0.0000000";" 2.9489075";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 6.2983854";" 1.3264830";" 6.0035068";" 3.8362846";" 1.4569308";" 4.7995356";" 0.0000000";" 3.3929689";" 6.3551408";" 0.0000000";" 0.4116157";" 0.0000000";"12.2370179";" 0.0000000"
"4pm";"79.5596623";"79.9745988";"86.4685132";"90.5139975";"78.9115372";"71.0766221";"74.5375423";"90.9125664";"89.8746657";"90.9262919";"88.5169363";"79.8347410";" 7.4684812";" 3.1126917";" 5.2972735";" 2.9529627";"19.4378149";"14.4567895";" 1.9904514";" 0.8168891";" 3.3454953";" 5.9791289";" 0.0000000";" 1.5569363";" 0.5021839";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 1.2573356";" 0.0000000";" 3.0728869";" 0.0000000";" 0.0000000";" 4.9807562";" 0.0000000";" 5.5921161";" 1.3335176";" 4.5748588";" 3.8360513";" 1.3426044";" 4.7682725";" 0.0000000";" 2.1637760";" 3.8008022";" 0.0000000";" 0.4305370";" 0.0000000";" 6.0374219";" 0.0000000"
"5pm";"87.2179999";"87.0170512";"90.5111247";"95.2688625";"87.2181410";"83.6289449";"84.3095035";"90.6400453";"93.6296659";"95.8689419";"93.9251499";"88.4569904";" 6.5401116";" 2.0139526";" 2.3608059";" 3.4102020";"16.2876876";"10.0545554";" 1.8503827";" 0.0000000";" 3.0065846";" 2.8336618";" 0.0000000";" 0.9673486";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.8088715";" 0.0000000";" 1.1887071";" 0.0000000";" 1.2050913";" 0.0000000";" 0.0000000";" 0.0000000";" 0.8977699";" 4.3737940";" 2.3250393";" 2.6810301";" 0.0000000";" 1.3290685";" 2.5765100";" 0.0000000";" 1.1691213";" 2.5357439";" 0.6113461";" 0.4107509";" 0.0000000";" 0.0000000";" 0.0000000"
"6pm";"88.3540882";"94.0301723";"97.1145665";"97.8009356";"93.4067921";"88.9507210";"91.8045994";"94.8259396";"95.4589072";"96.2199715";"94.4821625";"94.7586230";" 3.3681373";" 1.3220725";" 1.1743167";" 3.2726893";" 8.7124449";" 5.4735270";" 0.0000000";" 0.0000000";" 1.9691516";" 1.2462455";" 0.0000000";" 0.5383243";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.7196281";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.9419796";" 2.1877875";" 1.0901924";" 0.8035218";" 0.0000000";" 1.1149792";" 2.1133453";" 0.0000000";" 0.0000000";" 1.2512137";" 0.5779061";" 0.4105705";" 0.0000000";" 0.0000000";" 0.0000000"
"7pm";"92.1611322";"95.9202713";"98.8058143";"98.1273468";"95.7511219";"90.6308650";"94.3373354";"97.8663959";"94.4436533";"96.5422307";"94.6196824";"97.6421134";" 3.6355967";" 0.0000000";" 0.8387489";" 3.1765537";" 5.8491255";" 5.2403787";" 1.3879660";" 0.0000000";" 0.9398412";" 0.0000000";" 0.0000000";" 0.5374375";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.8798024";" 4.0853152";" 1.0823506";" 0.7642566";" 0.0000000";" 0.0000000";" 1.8991156";" 0.0000000";" 0.0000000";" 0.6189842";" 0.5710076";" 0.5370321";" 0.0000000";" 0.0000000";" 0.0000000"
"8pm";"92.6230174";"97.0829270";"99.4233796";"98.6587101";"95.4409914";"92.0730044";"94.5758484";"98.5503743";"95.3631756";"99.4749306";"95.8118262";"98.0725338";" 2.9681207";" 0.0000000";" 1.3416701";" 2.4493430";" 2.6031500";" 4.1779257";" 1.3444139";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.5282660";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.8455414";" 3.9963442";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 6.0860899";" 0.0000000";" 0.0000000";" 2.0273437";" 0.5719452";" 0.5205278";" 0.0000000";" 0.0000000";" 0.0000000"
"9pm";"94.3930991";"98.3227974";"99.2132412";"98.6557838";"97.2303077";"93.5052746";"95.9236626";"98.6113729";"95.4482724";"99.7122754";"97.0372903";"97.7014236";" 1.2061477";" 0.0000000";" 1.3553528";" 0.8897661";" 1.7778197";" 2.3020422";" 1.3068712";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.5324665";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.8572534";" 2.0804590";" 0.0000000";" 0.0000000";" 0.7667576";" 0.0000000";" 6.0860899";" 0.0000000";" 0.0000000";" 1.9704880";" 0.5642907";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"10pm";" 96.8770232";" 98.7372619";" 99.2141449";" 99.5768020";" 98.4582750";" 96.2775270";" 98.1213530";" 99.2963028";" 96.4370593";" 99.4587812";"100.0000000";" 98.8395311";"  0.4475808";"  0.0000000";"  1.0578663";"  0.8673471";"  1.1822944";"  0.5840235";"  1.2954034";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5333845";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.8496660";"  1.4020319";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.8027006";"  0.0000000";"  0.0000000";"  1.3464416";"  0.5642907";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"11pm";" 98.4129328";" 99.1419922";" 99.2071549";" 99.5796511";" 99.0079168";" 97.5171047";" 99.2778313";" 99.3067030";" 98.8578401";" 99.4675535";"100.0000000";" 98.8437350";"  0.4487825";"  0.0000000";"  1.0656923";"  0.0000000";"  1.1718576";"  0.0000000";"  1.2469139";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5286999";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.8510659";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.7963971";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5642907";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"12pm";" 98.7738784";" 99.2402991";" 99.2071549";" 99.5847463";" 98.8407083";" 97.5004276";" 99.2813609";" 99.3142734";" 98.8521748";" 99.4583079";"100.0000000";" 98.8427771";"  0.4465275";"  0.0000000";"  1.0717635";"  0.0000000";"  0.5508291";"  0.0000000";"  1.2501776";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5241842";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.8510659";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.7963971";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5642907";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"1am";" 98.7679948";" 99.2402991";" 99.2115042";" 99.5847463";" 98.8407083";" 97.5004276";" 99.2753173";" 99.3227136";" 98.8521748";" 99.4537539";"100.0000000";" 98.8427771";"  0.4465275";"  0.0000000";"  1.0694988";"  0.0000000";"  0.5478095";"  0.0000000";"  1.2374687";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5178181";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.8510659";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.7963971";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5642907";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"2am";" 99.4895588";" 99.2434871";" 99.2115042";" 99.5847463";" 98.8407083";" 97.5004276";" 99.2753173";" 99.3227136";" 98.8521748";" 99.4537539";"100.0000000";" 99.0524988";"  0.4447245";"  0.0000000";"  1.0694988";"  0.0000000";"  0.5478095";"  0.0000000";"  1.2374687";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5178181";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.8484963";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.7870486";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5642907";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"3am";" 99.4874342";" 99.2434871";" 99.2158061";" 99.5847463";" 98.8488739";" 97.5004276";" 99.2753173";" 99.3227136";" 98.8451464";" 99.4537539";"100.0000000";" 99.0524988";"  0.0000000";"  0.0000000";"  1.0766834";"  0.0000000";"  0.5461791";"  0.0000000";"  1.2374687";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5178181";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.8484963";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.7870486";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5642907";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
