"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2628,0.1453,0.129,0.1968,0.3193
"5am",0.2584,0.1501,0.1287,0.1986,0.3202
"6am",0.2526,0.15,0.128,0.2,0.3107
"7am",0.2243,0.1569,0.1081,0.1731,0.2908
"8am",0.2093,0.1523,0.106,0.1444,0.2652
"9am",0.2105,0.151,0.1063,0.1366,0.2558
"10am",0.2163,0.1577,0.1042,0.13,0.2603
"11am",0.22,0.1564,0.1058,0.1484,0.2591
"12am",0.2215,0.1616,0.108,0.163,0.3032
"1pm",0.214,0.1444,0.1001,0.1561,0.2601
"2pm",0.2075,0.1337,0.0994,0.1409,0.2726
"3pm",0.204,0.1402,0.1014,0.133,0.2559
"4pm",0.2236,0.1378,0.0967,0.1547,0.3001
"5pm",0.2251,0.146,0.1007,0.1695,0.2647
"6pm",0.2475,0.1443,0.1112,0.1791,0.2841
"7pm",0.2471,0.141,0.1228,0.1819,0.3055
"8pm",0.2495,0.1469,0.1269,0.1832,0.3127
"9pm",0.2517,0.1454,0.1294,0.1871,0.3215
"10pm",0.2555,0.1413,0.1289,0.1901,0.3231
"11pm",0.2611,0.1414,0.1281,0.192,0.3192
"12pm",0.2607,0.1413,0.1309,0.1918,0.3223
"1am",0.2611,0.1428,0.1298,0.1909,0.3194
"2am",0.2614,0.1434,0.1301,0.1915,0.3197
"3am",0.2613,0.1432,0.1304,0.1899,0.3198
