"hour","act1","act2","act3","act4","act5"
"4am",0.386,0.4153,0.9432,0.6498,0
"5am",0.3135,0.3159,0.9423,0.9761,0.6133
"6am",0.262,0.2624,0.8524,0.889,0.5307
"7am",0.2021,0.2026,0.4622,0.6295,0.3705
"8am",0.2002,0.1941,0.4337,0.3164,0.2691
"9am",0.2133,0.1864,0.4338,0.307,0.2003
"10am",0.2131,0.1821,0.4319,0.2974,0.1998
"11am",0.2283,0.1893,0.4287,0.3857,0.2319
"12am",0.2546,0.2287,0.4335,0.4214,0.2236
"1pm",0.2351,0.1934,0.4263,0.4536,0.2119
"2pm",0.2229,0.1694,0.4312,0.3808,0.1801
"3pm",0.2226,0.175,0.4346,0.3527,0.1681
"4pm",0.2209,0.1964,0.4324,0.4016,0.1558
"5pm",0.2075,0.2013,0.5137,0.416,0.1629
"6pm",0.2018,0.2115,0.7824,0.4706,0.1878
"7pm",0.2003,0.2289,0.909,0.7732,0.2131
"8pm",0.237,0.3518,0.9077,0.9295,0.2138
"9pm",0.2327,0.4272,0.9656,0.9302,0.2229
"10pm",0.2685,0.4634,0.965,0.9575,0.2801
"11pm",0.2958,0.4844,0.9646,0.3391,0
"12pm",0.2981,0.4906,0.9648,0.3861,0
"1am",0.3296,0.5111,0.9648,0.3504,0
"2am",0.32,0.5384,0.9648,0.3666,0
"3am",0.3275,0.5718,0.9648,0.3716,0
