"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.213,0.1099,0.1571,0.3374
"5am",0.2176,0.1111,0.1576,0.3361
"6am",0.211,0.1106,0.1565,0.3333
"7am",0.1907,0.1084,0.1443,0.2904
"8am",0.1873,0.1111,0.1386,0.2438
"9am",0.1891,0.1098,0.1416,0.2358
"10am",0.198,0.1129,0.1508,0.2477
"11am",0.2012,0.1079,0.154,0.2528
"12am",0.2103,0.105,0.148,0.2684
"1pm",0.1869,0.107,0.1456,0.2551
"2pm",0.1665,0.1014,0.1365,0.2435
"3pm",0.1752,0.1023,0.1419,0.2482
"4pm",0.1779,0.1015,0.1401,0.2679
"5pm",0.1936,0.1109,0.1342,0.2826
"6pm",0.2003,0.1146,0.1515,0.3118
"7pm",0.207,0.1156,0.1574,0.3207
"8pm",0.2138,0.118,0.161,0.3231
"9pm",0.2115,0.1167,0.1653,0.3228
"10pm",0.2133,0.1177,0.1679,0.322
"11pm",0.2118,0.1135,0.1645,0.3213
"12pm",0.211,0.1125,0.1631,0.3277
"1am",0.2106,0.1134,0.1641,0.326
"2am",0.2099,0.1137,0.1642,0.3263
"3am",0.2092,0.1127,0.1632,0.3261
