"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.1965,0.1039,0.1195,0.2116
"5am",0.1978,0.1092,0.1233,0.2157
"6am",0.1918,0.1114,0.1275,0.2115
"7am",0.1875,0.1094,0.1218,0.2059
"8am",0.1868,0.105,0.1196,0.2012
"9am",0.1818,0.1082,0.1178,0.1917
"10am",0.1959,0.1069,0.1178,0.1939
"11am",0.194,0.1068,0.1194,0.1945
"12am",0.1998,0.1065,0.1263,0.1915
"1pm",0.1869,0.1111,0.1248,0.1965
"2pm",0.1787,0.1086,0.1123,0.2001
"3pm",0.1864,0.1076,0.1282,0.1995
"4pm",0.18,0.1043,0.1288,0.1941
"5pm",0.1857,0.0994,0.1142,0.1937
"6pm",0.1959,0.1046,0.1169,0.1962
"7pm",0.1984,0.1077,0.1173,0.2075
"8pm",0.1992,0.1138,0.1181,0.2127
"9pm",0.1954,0.112,0.1198,0.2141
"10pm",0.1985,0.1108,0.123,0.2096
"11pm",0.1983,0.1087,0.1205,0.2044
"12pm",0.197,0.1085,0.1209,0.2031
"1am",0.1965,0.1093,0.1212,0.2058
"2am",0.1958,0.1098,0.1212,0.2059
"3am",0.1949,0.1089,0.1211,0.2064
