"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1262,0.1845,0.2158,0.0929,0.2084
"5am",0.1278,0.1843,0.2128,0.097,0.209
"6am",0.1272,0.1947,0.2083,0.0958,0.2083
"7am",0.1344,0.3003,0.205,0.1212,0.1904
"8am",0.1444,0.3292,0.1988,0.1459,0.1862
"9am",0.1443,0.3445,0.1847,0.1418,0.1972
"10am",0.1466,0.3495,0.1917,0.1382,0.2008
"11am",0.1523,0.347,0.2016,0.1466,0.2066
"12am",0.1413,0.3123,0.2116,0.1443,0.2057
"1pm",0.1431,0.3065,0.2023,0.1481,0.2087
"2pm",0.1203,0.2917,0.2037,0.1277,0.2014
"3pm",0.1186,0.2707,0.1809,0.1263,0.2041
"4pm",0.1218,0.2617,0.1981,0.1256,0.2051
"5pm",0.1091,0.2045,0.1782,0.1004,0.2007
"6pm",0.1006,0.1742,0.2016,0.0985,0.208
"7pm",0.1167,0.1682,0.2198,0.0991,0.2065
"8pm",0.12,0.18,0.2236,0.0983,0.2044
"9pm",0.1224,0.1825,0.2255,0.0964,0.2045
"10pm",0.1255,0.1811,0.226,0.0996,0.2075
"11pm",0.1265,0.182,0.2259,0.095,0.2067
"12pm",0.1276,0.1782,0.229,0.0962,0.2076
"1am",0.1279,0.1766,0.2276,0.0961,0.2078
"2am",0.1278,0.1774,0.2281,0.0958,0.2076
"3am",0.1273,0.1771,0.2276,0.0954,0.2075
