"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2609,0.1473,0.1117,0.1537,0.232
"5am",0.2616,0.1557,0.1083,0.1534,0.2361
"6am",0.2597,0.1639,0.108,0.1504,0.2345
"7am",0.2451,0.1737,0.1082,0.1396,0.2156
"8am",0.2252,0.1626,0.1168,0.1232,0.1996
"9am",0.2171,0.1585,0.1108,0.1119,0.2047
"10am",0.2399,0.1615,0.106,0.1143,0.2069
"11am",0.2345,0.1623,0.1034,0.1232,0.201
"12am",0.2387,0.1707,0.1087,0.1331,0.2073
"1pm",0.2386,0.1622,0.1037,0.1209,0.2078
"2pm",0.2328,0.1517,0.1013,0.1182,0.2192
"3pm",0.2228,0.1515,0.0978,0.1085,0.2003
"4pm",0.2193,0.1417,0.0985,0.1242,0.2122
"5pm",0.2275,0.147,0.0929,0.1488,0.1923
"6pm",0.252,0.1378,0.1046,0.143,0.2012
"7pm",0.2548,0.1396,0.1078,0.1466,0.2037
"8pm",0.2541,0.1473,0.1087,0.1465,0.2128
"9pm",0.2521,0.1469,0.1097,0.1446,0.2205
"10pm",0.2562,0.1428,0.1132,0.1483,0.2206
"11pm",0.262,0.1423,0.114,0.1482,0.2205
"12pm",0.2612,0.1429,0.1131,0.1461,0.2243
"1am",0.2619,0.1447,0.1123,0.1456,0.2255
"2am",0.2621,0.1454,0.1124,0.1463,0.2257
"3am",0.262,0.145,0.1122,0.1452,0.2261
