"hour","resarea1","resarea2","resarea3"
"4am",0.9851,0.985,0.9854
"5am",0.9763,0.9737,0.9731
"6am",0.9567,0.9554,0.9568
"7am",0.8736,0.8532,0.8769
"8am",0.7992,0.7684,0.8124
"9am",0.7718,0.7362,0.7866
"10am",0.7665,0.7254,0.7789
"11am",0.7747,0.7494,0.7927
"12am",0.8056,0.795,0.8177
"1pm",0.7873,0.7598,0.7921
"2pm",0.7734,0.7365,0.7625
"3pm",0.7734,0.7356,0.7662
"4pm",0.8189,0.7842,0.8209
"5pm",0.8884,0.8649,0.8843
"6pm",0.9357,0.927,0.9367
"7pm",0.9583,0.9479,0.9525
"8pm",0.9651,0.957,0.9614
"9pm",0.9726,0.9698,0.9726
"10pm",0.9809,0.9813,0.9846
"11pm",0.9885,0.9894,0.9905
"12pm",0.9902,0.9908,0.9914
"1am",0.9902,0.9908,0.9914
"2am",0.9904,0.9917,0.9919
"3am",0.9906,0.9922,0.9924
