"hour","mode1","mode2","mode3"
"4am",0.347,0.2981,0.2548
"5am",0.3506,0.2974,0.254
"6am",0.3732,0.2926,0.2519
"7am",0.3941,0.2874,0.2265
"8am",0.3935,0.2786,0.1954
"9am",0.3997,0.2832,0.1985
"10am",0.3988,0.291,0.2031
"11am",0.4033,0.2893,0.2052
"12am",0.384,0.2927,0.227
"1pm",0.3876,0.2938,0.2224
"2pm",0.3831,0.2871,0.2203
"3pm",0.3727,0.2836,0.2207
"4pm",0.3744,0.2838,0.2147
"5pm",0.3742,0.2993,0.2386
"6pm",0.3387,0.2873,0.2423
"7pm",0.3394,0.2887,0.2388
"8pm",0.3502,0.2936,0.2442
"9pm",0.3508,0.2938,0.2471
"10pm",0.3498,0.2984,0.2524
"11pm",0.3474,0.2993,0.2538
"12pm",0.346,0.2987,0.2543
"1am",0.3443,0.2991,0.2561
"2am",0.3445,0.2996,0.2567
"3am",0.343,0.2992,0.2567
