"hour","sex1","sex2"
"4am",0.114682442916652,0.114682442916652
"5am",0.143080149950158,0.143080149950158
"6am",0.0674598932007479,0.0674598932007477
"7am",0.0336792603299004,0.0336792603299002
"8am",-0.00539244111020537,-0.00539244111020521
"9am",-0.0436731785624349,-0.0436731785624348
"10am",-0.0160390285009676,-0.0160390285009677
"11am",-0.0401022393010905,-0.0401022393010901
"12am",-0.00590645291466873,-0.00590645291466886
"1pm",-0.0331736292858595,-0.0331736292858593
"2pm",-0.043069003964295,-0.0430690039642949
"3pm",0.0108175083244876,0.0108175083244877
"4pm",0.0463274290280674,0.0463274290280673
"5pm",0.123313004284107,0.123313004284107
"6pm",0.131320863372888,0.131320863372888
"7pm",0.193151112584873,0.193151112584873
"8pm",0.170505785706924,0.170505785706924
"9pm",0.177493148044212,0.177493148044212
"10pm",0.175159422820857,0.175159422820857
"11pm",0.148222869259792,0.148222869259792
"12pm",0.161667972981328,0.161667972981328
"1am",0.165386024750444,0.165386024750444
"2am",0.176264728744815,0.176264728744816
"3am",0.165037629607916,0.165037629607916
