"hour","age1","age2","age3","age4"
"4am",0.1354,0.1279,0.1372,0.1133
"5am",0.1374,0.1173,0.1356,0.1162
"6am",0.1444,0.1175,0.1352,0.1143
"7am",0.2232,0.1252,0.1412,0.1206
"8am",0.2349,0.1103,0.1318,0.1433
"9am",0.2445,0.1192,0.1296,0.1392
"10am",0.2444,0.1109,0.142,0.1492
"11am",0.2513,0.1148,0.1344,0.1525
"12am",0.2227,0.1204,0.1294,0.1501
"1pm",0.2228,0.1359,0.1159,0.1447
"2pm",0.2165,0.133,0.1128,0.131
"3pm",0.2093,0.1327,0.1129,0.1209
"4pm",0.2075,0.1195,0.1173,0.1251
"5pm",0.1692,0.129,0.1221,0.1135
"6pm",0.145,0.1369,0.1254,0.1157
"7pm",0.1318,0.13,0.1283,0.121
"8pm",0.1377,0.1292,0.1297,0.123
"9pm",0.1404,0.1348,0.1325,0.1204
"10pm",0.136,0.1349,0.1354,0.1194
"11pm",0.1388,0.1338,0.1352,0.1169
"12pm",0.136,0.1327,0.136,0.1173
"1am",0.1345,0.1283,0.1356,0.117
"2am",0.1349,0.1275,0.1356,0.1171
"3am",0.1342,0.1286,0.1367,0.1172
