"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"5pm";"4131.2984";"2936.2273";"2399.7748";"3913.5386";"1688.0400";"1866.1799";"1689.7531";"1342.1600";"1763.7320";"2401.6055";"1276.1046";"2565.8210";"1559.8188";"2720.3786";"1804.8892";"1956.4746";"2858.5984";"1053.0454";"2384.5329";"1316.2240";" 865.1748";" 528.9348";" 635.9652";" 956.7159";" 910.8140";" 606.8949";" 901.5138";"1294.1634"
"6pm";"3685.2349";"2532.9792";"2066.0683";"3277.6545";"1618.9488";"1827.9336";"2009.8096";"1616.6836";"2089.0278";"3065.9845";"1170.2089";"3361.4458";"1757.6123";"2387.4712";"1567.2859";"1668.9424";"2592.2145";"1565.6894";"2864.3425";"1629.1112";"1186.3418";" 609.2195";" 733.0339";"1201.9202";"1218.1663";" 886.3935";" 963.7609";"1330.6184"
"7pm";"3399.9977";"2859.4190";"2203.4709";"3706.8408";"1370.5077";"1844.8631";"1993.1703";"1366.4587";"2172.1288";"3600.9111";"1458.3259";"3086.4869";"2197.6961";"2077.9470";"1320.6656";"1866.3047";"2772.0046";"1892.5905";"2820.2980";"2121.4749";"1155.5181";" 692.3211";" 784.5696";"1474.3716";"1481.5081";" 957.9821";"1146.5830";"1426.0506"
"8pm";"3768.3648";"2896.7505";"2514.7088";"3509.5847";"1170.4809";"1773.5113";"1917.2056";"1330.4852";"2466.9976";"3227.9302";"1506.9361";"2832.1062";"2177.4637";"2191.4242";"1217.9623";"1725.2280";"2941.9800";"1860.4406";"2874.3809";"2358.7475";"1114.2021";" 759.1368";" 814.2106";"1493.3757";"1574.5672";" 957.9821";"1222.0199";"1414.6284"
"9pm";"3643.2090";"3007.8395";"2275.8882";"3728.8258";"1113.6548";"1860.7289";"1818.3568";"1330.4852";"2466.9976";"3256.1819";"1508.1640";"2792.3550";"2014.7137";"2369.0545";"1210.7153";"1667.9758";"3077.7725";"1804.7861";"3053.9961";"2338.7862";"1114.2021";" 815.9630";" 814.2106";"1512.3799";"1617.1167";" 996.6948";"1222.0199";"1479.7714"
"10pm";"3375.9095";"2542.6773";"2323.1427";"3714.6579";"1169.5160";"1916.7618";"1848.8136";"1339.4704";"2410.9249";"3368.8697";"1585.3499";"3122.3548";"2079.2871";"2424.4624";"1208.7010";"1738.0440";"3049.0458";"1926.3753";"2984.4360";"2395.3953";"1182.3494";" 815.9630";" 814.2106";"1477.5998";"1617.1167";" 996.6948";"1222.0199";"1533.4741"
"11pm";"3013.0398";"2310.3049";"2503.5963";"3856.5990";"1245.5963";"1974.4890";"1737.3583";"1426.5129";"2523.9663";"3292.7070";"1585.3499";"2990.6201";"2241.8670";"2316.7236";"1316.4398";"1677.0524";"3121.0268";"1982.0298";"3159.0079";"2465.5635";"1182.3494";" 832.7402";" 814.2106";"1477.5998";"1617.1167";" 996.6948";"1193.1942";"1593.7536"
"12pm";"2960.0674";"2487.5509";"2503.5963";"3856.5990";"1179.9534";"1974.4890";"1737.3583";"1426.5129";"2523.9663";"3374.8225";"1547.2610";"2990.6201";"2307.8538";"2316.7236";"1316.4398";"1677.0524";"3386.4714";"1982.0298";"3159.0079";"2465.5635";"1182.3494";" 832.7402";" 814.2106";"1477.5998";"1524.0577";" 996.6948";"1193.1942";"1593.7536"
"1am";"2874.9456";"2553.6425";"2503.5963";"3856.5990";"1179.9534";"1974.4890";"1684.6970";"1426.5129";"2523.9663";"3374.8225";"1547.2610";"2971.1949";"2307.8538";"2316.7236";"1316.4398";"1677.0524";"3386.4714";"2027.1588";"3159.0079";"2465.5635";"1182.3494";" 832.7402";" 814.2106";"1518.8082";"1524.0577";"1023.6522";"1193.1942";"1593.7536"
"2am";"2874.9456";"2553.6425";"2503.5963";"3856.5990";"1179.9534";"1974.4890";"1684.6970";"1464.5267";"2523.9663";"3374.8225";"1547.2610";"2971.1949";"2307.8538";"2316.7236";"1316.4398";"1677.0524";"3386.4714";"2027.1588";"3159.0079";"2465.5635";"1182.3494";" 832.7402";" 814.2106";"1518.8082";"1524.0577";"1023.6522";"1193.1942";"1593.7536"
"3am";"2804.4117";"2553.6425";"2503.5963";"3856.5990";"1179.9534";"1974.4890";"1684.6970";"1464.5267";"2523.9663";"3374.8225";"1547.2610";"2971.1949";"2307.8538";"2316.7236";"1316.4398";"1747.5863";"3386.4714";"2027.1588";"3159.0079";"2465.5635";"1182.3494";" 832.7402";" 814.2106";"1518.8082";"1524.0577";"1023.6522";"1193.1942";"1593.7536"
