"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896";"3429.896"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0"
"5am";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0"
"6am";"538.201";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0"
"7am";"1773.250";" 626.546";" 846.414";" 551.451";"   0.000";"   0.000";"   0.000";"   0.000";" 660.307";"   0.000";"   0.000";" 465.663";" 572.096";" 691.623";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"3185.811";"1185.822";"1803.765";"1099.494";" 603.456";" 578.803";"   0.000";" 400.647";"1369.521";" 807.387";"   0.000";"1031.253";" 763.507";"1275.608";"   0.000";"   0.000";" 624.935";"   0.000"
"9am";"3287.834";"1331.785";"2056.916";"1212.633";" 659.274";" 715.023";"   0.000";"   0.000";"1302.411";" 924.124";"   0.000";"1383.542";" 884.975";"1186.157";"   0.000";" 564.460";" 629.137";"   0.000"
"10am";"3429.896";"1255.752";"2414.056";"1209.541";" 671.716";" 741.808";"   0.000";"   0.000";"1332.748";" 933.781";"   0.000";"1723.692";" 908.764";"1297.324";"   0.000";"   0.000";" 718.455";"   0.000"
"11am";"3400.593";"1170.824";"1878.408";"1186.143";" 578.413";" 740.959";"   0.000";"   0.000";"1511.157";" 907.582";"   0.000";"1374.270";" 882.449";"1234.902";"   0.000";"   0.000";" 536.158";"   0.000"
"12am";"2399.106";"1200.555";"1004.418";" 847.716";"   0.000";" 400.249";"   0.000";"   0.000";"1118.341";" 636.070";"   0.000";"1019.676";" 829.963";"1069.904";"   0.000";"   0.000";" 515.567";"   0.000"
"1pm";"2724.966";"1352.601";"1480.531";"1121.927";"   0.000";" 836.046";"   0.000";"   0.000";"1477.740";" 991.703";"   0.000";"1453.201";" 833.338";"1077.042";"   0.000";"   0.000";" 528.571";"   0.000"
"2pm";"2766.296";"1407.040";"1679.577";"1228.210";"   0.000";" 801.718";"   0.000";"   0.000";"1447.549";" 953.671";"   0.000";"1646.762";"1021.794";"1123.549";"   0.000";"   0.000";" 546.047";"   0.000"
"3pm";"3302.241";"1262.266";"1916.502";"1228.729";"   0.000";" 754.136";"   0.000";"   0.000";"1074.848";" 884.082";"   0.000";"1411.573";" 915.715";"1065.344";"   0.000";"   0.000";" 706.022";"   0.000"
"4pm";"2414.270";"1325.437";"1544.419";" 997.713";"   0.000";" 707.934";"   0.000";"   0.000";" 801.986";"1037.895";"   0.000";"1626.776";" 710.930";" 963.216";"   0.000";"   0.000";" 658.253";"   0.000"
"5pm";"1486.116";" 544.459";"1113.290";" 577.094";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 588.299";"   0.000";"1047.440";" 407.047";" 747.311";"   0.000";"   0.000";" 569.003";"   0.000"
"6pm";"1020.953";"   0.000";" 723.762";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 692.932";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"7pm";"593.380";"  0.000";"860.592";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"8pm";"  0.000";"  0.000";"749.009";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"9pm";"  0.000";"  0.000";"547.601";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"10pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"12pm";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"1am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
"2am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
