"district","hour","act1","act2","act3","act4","act5"
"018","8am",3460.817,901.3261,55.042816,20.641056,96.32493
"019","8am",2917.269,550.4282,0,6.880352,165.12845
"020","8am",3213.124,522.9068,27.521408,0,75.68387
"021","8am",2999.833,165.1284,0,6.880352,89.44458
"001","9am",2827.825,2999.8335,1603.122016,68.80352,743.07802
"002","9am",2724.619,1190.3009,13.760704,798.120832,288.97478
"003","9am",2573.252,1293.5062,626.112032,302.735488,330.2569
"004","9am",2614.534,949.4886,0,55.042816,137.60704
"005","9am",2697.098,2531.9695,172.0088,61.923168,337.13725
"006","9am",2490.687,1864.5754,34.40176,34.40176,144.48739
"007","9am",2676.457,598.5906,110.085632,34.40176,144.48739
"008","9am",2717.739,942.6082,192.649856,130.726688,103.20528
"009","9am",2889.748,1892.0968,688.0352,220.171264,275.21408
"010","9am",2979.192,1238.4634,27.521408,6.880352,261.45338
"011","9am",2992.953,1355.4293,68.80352,206.41056,261.45338
"012","9am",2765.902,240.8123,0,0,48.16246
"013","9am",2353.08,137.607,0,0,27.52141
"014","9am",2848.466,3502.0992,6.880352,357.778304,206.41056
"015","9am",2635.175,419.7015,48.162464,61.923168,110.08563
"016","9am",2779.662,536.6675,68.80352,68.80352,158.2481
"017","9am",2869.107,130.7267,0,0,61.92317
"018","9am",3233.765,928.8475,55.042816,68.80352,185.7695
"019","9am",2614.534,529.7871,0,13.760704,275.21408
"020","9am",2958.551,543.5478,27.521408,13.760704,116.96598
"021","9am",2724.619,185.7695,0,20.641056,137.60704
"001","10am",2738.38,3041.1156,1596.241664,48.162464,825.64224
"002","10am",2573.252,1210.942,13.760704,1279.745472,302.73549
"003","10am",2415.004,1334.7883,632.992384,399.060416,337.13725
"004","10am",2600.773,956.3689,6.880352,75.683872,151.36774
"005","10am",2497.568,2566.3713,178.889152,130.726688,378.41936
"006","10am",2332.439,1864.5754,34.40176,13.760704,137.60704
"007","10am",2566.371,598.5906,123.846336,68.80352,165.12845
"008","10am",2683.337,928.8475,192.649856,130.726688,96.32493
"009","10am",2745.26,1926.4986,674.274496,268.333728,261.45338
"010","10am",2807.184,1259.1044,41.282112,48.162464,344.0176
"011","10am",2910.389,1376.0704,68.80352,240.81232,261.45338
"012","10am",2752.141,240.8123,0,0,103.20528
"013","10am",2263.636,130.7267,0,0,48.16246
"014","10am",2862.226,3515.8599,6.880352,474.744288,213.29091
"015","10am",2552.611,405.9408,48.162464,41.282112,130.72669
"016","10am",2580.132,571.0692,75.683872,144.487392,144.48739
"017","10am",2779.662,123.8463,0,0,68.80352
"018","10am",3034.235,915.0868,68.80352,123.846336,192.64986
"019","10am",2621.414,529.7871,0,27.521408,302.73549
"020","10am",2875.987,522.9068,34.40176,6.880352,123.84634
"021","10am",2621.414,178.8892,0,13.760704,110.08563
"001","11am",2772.782,2924.1496,1479.27568,48.16246,605.47098
"002","11am",2690.218,1176.5402,13.760704,1245.34371,350.89795
"003","11am",2614.534,1293.5062,619.23168,385.29971,240.81232
"004","11am",2772.782,915.0868,6.880352,34.40176,123.84634
"005","11am",2511.328,2463.166,178.889152,68.80352,288.97478
"006","11am",2518.209,1802.6522,27.521408,0,116.96598
"007","11am",2697.098,522.9068,130.726688,48.16246,151.36774
"008","11am",2958.551,873.8047,185.769504,130.72669,103.20528
"009","11am",2910.389,1816.4129,632.992384,185.7695,199.53021
"010","11am",2896.628,1162.7795,34.40176,27.52141,268.33373
"011","11am",2992.953,1279.7455,68.80352,233.93197,316.49619
"012","11am",2731.5,240.8123,0,0,89.44458
"013","11am",2291.157,137.607,0,0,27.52141
"014","11am",2986.073,3378.2528,6.880352,364.65866,240.81232
"015","11am",2710.859,337.1372,48.162464,41.28211,151.36774
"016","11am",2676.457,522.9068,61.923168,82.56422,144.48739
"017","11am",2752.141,110.0856,0,0,68.80352
"018","11am",3144.321,915.0868,75.683872,68.80352,178.88915
"019","11am",2814.064,495.3853,0,27.52141,206.41056
"020","11am",2931.03,509.146,34.40176,0,165.12845
"021","11am",2724.619,165.1284,0,0,103.20528
"001","12am",2759.021,2772.78186,1589.361312,34.40176,591.71027
"002","12am",2635.175,1183.42054,13.760704,1190.300896,385.29971
"003","12am",2676.457,1252.22406,488.504992,261.453376,220.17126
"004","12am",2779.662,853.16365,13.760704,27.521408,288.97478
"005","12am",2593.893,2256.75546,158.248096,82.564224,529.7871
"006","12am",2552.611,1692.56659,13.760704,27.521408,172.0088
"007","12am",2814.064,509.14605,137.60704,27.521408,158.2481
"008","12am",2931.03,846.2833,165.128448,116.965984,178.88915
"009","12am",2889.748,1713.20765,626.112032,206.41056,199.53021
"010","12am",2889.748,1114.61702,27.521408,34.40176,385.29971
"011","12am",3047.996,1293.50618,55.042816,275.21408,337.13725
"012","12am",2703.978,213.29091,0,13.760704,41.28211
"013","12am",2298.038,96.32493,0,0,27.52141
"014","12am",2986.073,3137.44051,6.880352,275.21408,178.88915
"015","12am",2717.739,385.29971,55.042816,41.282112,206.41056
"016","12am",2676.457,495.38534,61.923168,89.444576,123.84634
"017","12am",2827.825,123.84634,0,0,48.16246
"018","12am",3206.244,880.68506,55.042816,55.042816,220.17126
"019","12am",2841.585,481.62464,0,41.282112,185.7695
"020","12am",3006.714,516.0264,27.521408,6.880352,165.12845
"021","12am",2731.5,137.60704,0,0,96.32493
"001","1pm",2573.252,3006.7138,1651.28448,110.085632,715.55661
"002","1pm",2387.482,1155.8991,13.760704,1692.566592,385.29971
"003","1pm",2401.243,1286.6258,447.22288,729.317312,282.09443
"004","1pm",2476.927,921.9672,13.760704,68.80352,288.97478
"005","1pm",2380.602,2463.166,151.367744,144.487392,536.66746
"006","1pm",2470.046,1843.9343,6.880352,68.80352,206.41056
"007","1pm",2373.721,564.1889,123.846336,41.282112,199.53021
"008","1pm",2580.132,894.4458,192.649856,213.290912,185.7695
"009","1pm",2793.423,1837.054,667.394144,323.376544,275.21408
"010","1pm",2690.218,1183.4205,41.282112,68.80352,419.70147
"011","1pm",2827.825,1327.9079,75.683872,337.137248,392.18006
"012","1pm",2511.328,275.2141,0,20.641056,103.20528
"013","1pm",2270.516,103.2053,0,6.880352,55.04282
"014","1pm",2814.064,3378.2528,6.880352,646.753088,220.17126
"015","1pm",2538.85,385.2997,55.042816,75.683872,220.17126
"016","1pm",2545.73,509.146,68.80352,178.889152,116.96598
"017","1pm",2710.859,116.966,0,6.880352,41.28211
"018","1pm",2965.432,921.9672,61.923168,103.20528,282.09443
"019","1pm",2545.73,495.3853,0,20.641056,220.17126
"020","1pm",2937.91,509.146,27.521408,6.880352,172.0088
"021","1pm",2607.653,144.4874,0,34.40176,110.08563
"001","2pm",2690.218,2986.07277,1596.241664,82.564224,660.51379
"002","2pm",2332.439,1114.61702,13.760704,1527.438144,350.89795
"003","2pm",2483.807,1231.58301,433.462176,681.154848,220.17126
"004","2pm",2600.773,887.56541,13.760704,27.521408,233.93197
"005","2pm",2483.807,2353.08038,137.60704,103.20528,460.98358
"006","2pm",2566.371,1788.89152,6.880352,68.80352,178.88915
"007","2pm",2593.893,557.30851,116.965984,34.40176,137.60704
"008","2pm",2621.414,860.044,185.769504,185.769504,199.53021
"009","2pm",2903.509,1795.77187,632.992384,275.21408,275.21408
"010","2pm",2793.423,1217.8223,34.40176,61.923168,399.06042
"011","2pm",2779.662,1334.78829,68.80352,268.333728,323.37654
"012","2pm",2600.773,268.33373,0,6.880352,89.44458
"013","2pm",2442.525,96.32493,0,0,41.28211
"014","2pm",2910.389,3302.56896,6.880352,571.069216,247.69267
"015","2pm",2621.414,399.06042,55.042816,41.282112,220.17126
"016","2pm",2600.773,495.38534,61.923168,137.60704,123.84634
"017","2pm",2765.902,110.08563,0,0,48.16246
"018","2pm",3082.398,915.08682,75.683872,75.683872,227.05162
