"district","hour","age1","age2","age3","age4"
"001","4am",639.8727,440.3425,2421.884,1327.9079
"002","4am",295.8551,240.8123,1933.379,1795.7719
"003","4am",405.9408,357.7783,2132.909,1472.3953
"004","4am",674.2745,371.539,2655.816,1265.9848
"005","4am",323.3765,350.898,2036.584,1341.6686
"006","4am",681.1548,529.7871,2669.577,949.4886
"007","4am",516.0264,447.2229,2497.568,1355.4293
"008","4am",653.6334,412.8211,2820.944,1252.2241
"009","4am",681.1548,557.3085,2848.466,1093.976
"010","4am",481.6246,584.8299,2029.704,1451.7543
"011","4am",577.9496,467.8639,2415.004,1362.3097
"012","4am",653.6334,460.9836,2855.346,1018.2921
"013","4am",337.1372,254.573,1960.9,1018.2921
"014","4am",681.1548,791.2405,2999.833,1018.2921
"015","4am",674.2745,412.8211,2772.782,1107.7367
"016","4am",529.7871,688.0352,2490.687,1279.7455
"017","4am",467.8639,543.5478,2683.337,860.044
"018","4am",571.0692,447.2229,2910.389,1272.8651
"019","4am",392.1801,440.3425,2476.927,1286.6258
"020","4am",584.8299,632.9924,3034.235,1011.4117
"021","4am",502.2657,302.7355,2504.448,1327.9079
"001","5am",632.9924,447.2229,2456.286,1334.7883
"002","5am",295.8551,247.6927,1960.9,1788.8915
"003","5am",405.9408,344.0176,2153.55,1472.3953
"004","5am",674.2745,371.539,2648.936,1272.8651
"005","5am",337.1372,344.0176,2050.345,1341.6686
"006","5am",688.0352,550.4282,2676.457,942.6082
"007","5am",516.0264,440.3425,2401.243,1355.4293
"008","5am",653.6334,399.0604,2800.303,1252.2241
"009","5am",681.1548,564.1889,2855.346,1093.976
"010","5am",474.7443,591.7103,2009.063,1451.7543
"011","5am",564.1889,460.9836,2380.602,1362.3097
"012","5am",646.7531,454.1032,2834.705,1011.4117
"013","5am",337.1372,240.8123,1878.336,1018.2921
"014","5am",708.6763,784.3601,3144.321,1018.2921
"015","5am",653.6334,412.8211,2717.739,1100.8563
"016","5am",529.7871,667.3941,2490.687,1279.7455
"017","5am",460.9836,509.146,2600.773,860.044
"018","5am",564.1889,440.3425,2882.867,1279.7455
"019","5am",405.9408,440.3425,2449.405,1286.6258
"020","5am",564.1889,632.9924,2944.791,1004.5314
"021","5am",495.3853,302.7355,2387.482,1321.0276
