"district","hour","rev5","rev1","rev2","rev3","rev4"
"001","4am",22.36467,18.376068,20.22792,20.94017,18.091168
"002","4am",17.25806,14.193548,25,26.6129,16.935484
"003","4am",17.95276,13.070866,25.82677,29.92126,13.228346
"004","4am",13.4349,15.235457,23.54571,34.07202,13.711911
"005","4am",19.01528,37.181664,22.41087,14.43124,6.960951
"006","4am",15.09972,17.806268,25.21368,28.77493,13.105413
"007","4am",15.14286,10.857143,28,31.71429,14.285714
"008","4am",12.58367,6.961178,21.95448,33.60107,24.899598
"009","4am",18.4595,13.678619,26.29482,27.62284,13.944223
"010","4am",18.60817,31.164902,27.9879,16.33888,5.900151
"011","4am",14.83595,19.828816,30.38516,22.53923,12.410842
"012","4am",13.65517,13.241379,30.2069,31.58621,11.310345
"013","4am",17.14836,12.716763,36.03083,25.43353,8.67052
"014","4am",15.16291,13.157895,24.43609,32.20551,15.037594
"015","4am",13.57341,13.98892,29.08587,31.99446,11.357341
"016","4am",15.03448,12.551724,33.10345,28.82759,10.482759
"017","4am",15.70997,11.02719,35.19637,26.13293,11.933535
"018","4am",11.11111,13.492063,33.86243,30.42328,11.111111
"019","4am",14.67066,16.616766,27.99401,29.94012,10.778443
"020","4am",12.67974,17.51634,33.85621,25.09804,10.849673
"021","4am",14.24332,18.249258,34.86647,26.26113,6.379822
"001","5am",22.31638,18.361582,20.62147,20.90395,17.79661
"002","5am",17.30769,14.102564,24.83974,27.08333,16.666667
"003","5am",18.08176,13.050314,25.78616,30.03145,13.050314
"004","5am",13.71191,15.235457,24.09972,33.51801,13.434903
"005","5am",19.08784,36.486486,22.63514,14.86486,6.925676
"006","5am",14.87252,17.563739,25.21246,28.32861,14.022663
"007","5am",15.32847,11.094891,27.88321,31.67883,14.014599
"008","5am",12.53369,7.008086,21.96765,33.69272,24.797844
"009","5am",18.54305,14.039735,26.22517,27.41722,13.774834
"010","5am",18.99696,30.699088,27.96353,16.2614,6.079027
"011","5am",14.86291,19.91342,30.88023,22.07792,12.265512
"012","5am",13.76912,13.212796,30.31989,31.84979,10.848401
"013","5am",16.83168,13.069307,35.44554,25.74257,8.910891
"014","5am",15.45012,13.260341,24.08759,32.60341,14.59854
"015","5am",13.66197,13.943662,29.15493,31.97183,11.267606
"016","5am",15.09695,12.603878,33.10249,28.67036,10.526316
"017","5am",15.68323,11.180124,35.55901,25.46584,12.111801
"018","5am",11.31824,13.315579,33.95473,30.75899,10.652463
"019","5am",14.86486,16.816817,27.32733,30.03003,10.960961
"020","5am",12.43316,17.780749,33.55615,25.40107,10.828877
"021","5am",13.74046,18.778626,34.96183,26.10687,6.412214
"001","6am",22.04515,17.79548,20.58433,22.04515,17.52988
